source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760000,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,152,11,success,False,False,11,0.2727272727272727,0.0,0.2727272727272727,13.818181818181818,10.0,1.1
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760097,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,131,10,success,False,False,10,0.30000000000000004,0.0,0.3,13.6,9.0,1.1111111111111112
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760194,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,127,10,success,False,False,10,0.30000000000000004,0.0,0.3,13.6,8.0,1.25
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760291,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,156,12,success,False,False,12,0.25,0.0,0.25,14.0,10.0,1.2
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760388,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,162,14,success,False,False,14,0.4285714285714286,0.0,0.42857142857142855,12.571428571428571,11.0,1.2727272727272727
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760485,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,False,320,24,target_drop_candidate,True,False,24,0.33333333333333337,0.0,0.3333333333333333,13.333333333333334,20.0,1.2
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760582,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,134,10,success,False,False,10,0.30000000000000004,0.0,0.3,13.6,9.0,1.1111111111111112
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760679,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,130,10,success,False,False,10,0.19999999999999996,0.0,0.2,14.4,9.0,1.1111111111111112
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760776,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,152,11,success,False,False,11,0.18181818181818177,0.0,0.18181818181818182,14.545454545454545,10.0,1.1
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760873,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,True,154,13,success,False,False,13,0.3846153846153846,0.0,0.38461538461538464,12.923076923076923,10.0,1.3
adaptive_confirmatory_20260813/adaptive_confirmatory_20260813__holdout_goal_mug__adaptive_horizon__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1,requery_l1_h8,goal_mug_task9_init0_adaptive_confirm,libero_goal_with_mug,9,0,760970,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.5,8.0,holdout,16,False,320,27,timeout_no_goal,False,False,27,0.5185185185185186,0.0,0.5185185185185185,11.851851851851851,20.0,1.35
