case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_selected_open_loop_steps
goal_mug_task9_init0_adaptive_confirm,max_value,action_l1,30,28,27,0.9333333333333333,0.9,-0.03333333333333333,1,2,27,1.0,10.766666666666667,10.866666666666667,1.0,1.0092879256965943,0.38723905723905727,0.0,0.0,16.0
goal_mug_task9_init0_adaptive_confirm,max_value,action_l1_replay,30,28,27,0.9333333333333333,0.9,-0.03333333333333333,1,2,27,1.0,10.766666666666667,10.866666666666667,1.0,1.0092879256965943,0.38723905723905727,0.0,0.0,16.0
goal_mug_task9_init0_adaptive_confirm,max_value,max_value_replay,30,28,28,0.9333333333333333,0.9333333333333333,0.0,0,0,30,1.0,10.766666666666667,10.766666666666667,1.0,1.0,0.0,0.0,0.0,16.0
goal_mug_task9_init0_adaptive_confirm,max_value,phase_l1_r0.3,30,28,29,0.9333333333333333,0.9666666666666667,0.03333333333333333,1,0,29,1.0,10.766666666666667,10.266666666666667,1.0,0.9535603715170279,0.2512289562289562,0.6972895622895624,0.0,16.0
goal_mug_task9_init0_adaptive_confirm,max_value,requery_l1_h8,30,28,27,0.9333333333333333,0.9,-0.03333333333333333,2,3,25,1.0,10.766666666666667,13.9,1.251967106967107,1.2910216718266254,0.39187674301580394,0.0,0.39187674301580394,12.864986055873569
long_milk_task9_init0_adaptive_confirm,max_value,action_l1,30,21,23,0.7,0.7666666666666667,0.06666666666666667,8,6,16,0.79052734375,21.3,20.133333333333333,1.0,0.945226917057903,0.4503906714200832,0.0,0.0,16.0
long_milk_task9_init0_adaptive_confirm,max_value,action_l1_replay,30,21,23,0.7,0.7666666666666667,0.06666666666666667,8,6,16,0.79052734375,21.3,20.133333333333333,1.0,0.945226917057903,0.4503906714200832,0.0,0.0,16.0
long_milk_task9_init0_adaptive_confirm,max_value,max_value_replay,30,21,21,0.7,0.7,0.0,0,0,30,1.0,21.3,21.3,1.0,1.0,0.0,0.0,0.0,16.0
long_milk_task9_init0_adaptive_confirm,max_value,phase_l1_r0.3,30,21,23,0.7,0.7666666666666667,0.06666666666666667,8,6,16,0.79052734375,21.3,20.133333333333333,1.0,0.945226917057903,0.24554664289958408,0.5440730837789661,0.0,16.0
long_milk_task9_init0_adaptive_confirm,max_value,requery_l1_h8,30,21,27,0.7,0.9,0.2,8,2,20,0.109375,21.3,23.1,1.2763749034762966,1.0845070422535212,0.4372909325808774,0.0,0.4372909325808774,12.501672539352978
long_mug_task4_init0_adaptive_confirm,max_value,action_l1,30,23,24,0.7666666666666667,0.8,0.03333333333333333,4,3,23,1.0,19.133333333333333,18.566666666666666,1.0,0.9703832752613241,0.40914862914862915,0.0,0.0,16.0
long_mug_task4_init0_adaptive_confirm,max_value,action_l1_replay,30,23,26,0.7666666666666667,0.8666666666666667,0.1,6,3,21,0.5078125,19.133333333333333,17.333333333333332,1.0,0.9059233449477352,0.43562770562770575,0.0,0.0,16.0
