feature,episodes,failures,cases,raw_auc_high_predicts_fail,case_controlled_auc_high_predicts_fail,case_controlled_oriented_auc,risk_direction
latent_action_first_step_copy_l2_std_mean_over_samples__max,36,18,3,0.7993827160493827,0.7006172839506173,0.7006172839506173,high
candidate_action_internal_consistency_mean__max,36,18,3,0.7993827160493827,0.7006172839506173,0.7006172839506173,high
latent_action_copy_std_mean_mean_over_samples__mean,36,18,3,0.7932098765432098,0.6851851851851852,0.6851851851851852,high
latent_action_copy_std_mean_mean_over_samples__max,36,18,3,0.7993827160493827,0.6759259259259259,0.6759259259259259,high
latent_action_first_step_copy_l2_std_mean_over_samples__delta,36,18,3,0.49074074074074076,0.35185185185185186,0.6481481481481481,low
candidate_action_internal_consistency_mean__delta,36,18,3,0.49074074074074076,0.35185185185185186,0.6481481481481481,low
candidate_action_internal_consistency_mean__mean,36,18,3,0.7469135802469136,0.6049382716049383,0.6049382716049383,high
latent_action_first_step_copy_l2_std_mean_over_samples__mean,36,18,3,0.7469135802469136,0.6049382716049383,0.6049382716049383,high
action_first_step_l2_std__mean,36,18,3,0.4444444444444444,0.595679012345679,0.595679012345679,high
candidate_action_consensus_first_mean__mean,36,18,3,0.45987654320987653,0.5925925925925926,0.5925925925925926,high
value_range__max,36,18,3,0.7098765432098766,0.5864197530864198,0.5864197530864198,high
latent_value_element_std_mean_mean_over_samples__mean,36,18,3,0.43209876543209874,0.5864197530864198,0.5864197530864198,high
candidate_action_consensus_first_mean__max,36,18,3,0.4166666666666667,0.5771604938271605,0.5771604938271605,high
action_first_step_l2_std__max,36,18,3,0.39814814814814814,0.558641975308642,0.558641975308642,high
latent_value_element_std_mean_mean_over_samples__max,36,18,3,0.42592592592592593,0.558641975308642,0.558641975308642,high
value_std__max,36,18,3,0.6820987654320988,0.5462962962962963,0.5462962962962963,high
candidate_value_mean__mean,36,18,3,0.6975308641975309,0.4660493827160494,0.5339506172839505,low
value_range__mean,36,18,3,0.6728395061728395,0.4691358024691358,0.5308641975308642,low
candidate_value_mean__max,36,18,3,0.7222222222222222,0.5308641975308642,0.5308641975308642,high
value_std__mean,36,18,3,0.6759259259259259,0.4783950617283951,0.5216049382716049,low
latent_action_copy_std_mean_mean_over_samples__delta,36,18,3,0.6604938271604939,0.4845679012345679,0.5154320987654322,low
latent_value_element_std_mean_mean_over_samples__delta,36,18,3,0.31790123456790126,0.5154320987654321,0.5154320987654321,high
action_first_step_l2_std__delta,36,18,3,0.6944444444444444,0.4876543209876543,0.5123456790123457,low
candidate_action_consensus_first_mean__delta,36,18,3,0.7006172839506173,0.4876543209876543,0.5123456790123457,low
candidate_value_mean__delta,36,18,3,0.7067901234567902,0.5061728395061729,0.5061728395061729,high
value_range__delta,36,18,3,0.2993827160493827,0.49691358024691357,0.5030864197530864,low
value_std__delta,36,18,3,0.30246913580246915,0.5,0.5,high
