case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_selected_open_loop_steps
long_mug_task4_init0_adaptive_screen,action_l1,action_l0.5,12,10,10,0.8333333333333334,0.8333333333333334,0.0,0,0,12,1.0,18.0,17.916666666666668,1.0,0.9953703703703705,0.20652958152958148,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,action_l1_replay,12,10,10,0.8333333333333334,0.8333333333333334,0.0,0,0,12,1.0,18.0,18.0,1.0,1.0,0.4474747474747474,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,action_l2,12,10,8,0.8333333333333334,0.6666666666666666,-0.16666666666666666,1,3,8,0.625,18.0,21.0,1.0,1.1666666666666667,0.601010101010101,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,consensus_l0.5,12,10,10,0.8333333333333334,0.8333333333333334,0.0,0,0,12,1.0,18.0,18.0,1.0,1.0,0.21666666666666665,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,consensus_l1,12,10,10,0.8333333333333334,0.8333333333333334,0.0,1,1,10,1.0,18.0,18.0,1.0,1.0,0.3767676767676767,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,consensus_l2,12,10,9,0.8333333333333334,0.75,-0.08333333333333333,0,1,11,1.0,18.0,19.416666666666668,1.0,1.0787037037037037,0.5114718614718615,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,difficulty_l1_t0.088588,12,10,10,0.8333333333333334,0.8333333333333334,0.0,1,1,10,1.0,18.0,18.0,1.0,1.0,0.19545454545454546,0.4166666666666667,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,difficulty_l1_t0.1,12,10,9,0.8333333333333334,0.75,-0.08333333333333333,0,1,11,1.0,18.0,19.5,1.0,1.0833333333333333,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,difficulty_l1_t0.2,12,10,9,0.8333333333333334,0.75,-0.08333333333333333,0,1,11,1.0,18.0,19.5,1.0,1.0833333333333333,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.088588_h12,12,10,12,0.8333333333333334,1.0,0.16666666666666666,2,0,10,0.5,18.0,15.25,1.0476190476190474,0.8472222222222222,0.21319444444444446,0.4166666666666667,0.21319444444444446,15.14722222222222
long_mug_task4_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.088588_h4,12,10,10,0.8333333333333334,0.8333333333333334,0.0,1,1,10,1.0,18.0,20.0,1.1822344322344323,1.1111111111111112,0.17054154995331464,0.4166666666666667,0.17054154995331464,13.953501400560226
long_mug_task4_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.088588_h8,12,10,10,0.8333333333333334,0.8333333333333334,0.0,1,1,10,1.0,18.0,19.0,1.101190476190476,1.0555555555555556,0.16749046840958606,0.4166666666666667,0.16749046840958606,14.660076252723314
long_mug_task4_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.1_h8,12,10,9,0.8333333333333334,0.75,-0.08333333333333333,0,1,11,1.0,18.0,19.5,1.0,1.0833333333333333,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.2_h8,12,10,9,0.8333333333333334,0.75,-0.08333333333333333,0,1,11,1.0,18.0,19.5,1.0,1.0833333333333333,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,margin_l1_v0.0005_u0,12,10,10,0.8333333333333334,0.8333333333333334,0.0,0,0,12,1.0,18.0,18.0,1.0,1.0,0.21565656565656566,0.21565656565656563,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,margin_l1_v0.002_u0,12,10,10,0.8333333333333334,0.8333333333333334,0.0,0,0,12,1.0,18.0,18.0,1.0,1.0,0.4186868686868686,0.4186868686868686,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,max_value,12,10,9,0.8333333333333334,0.75,-0.08333333333333333,0,1,11,1.0,18.0,19.5,1.0,1.0833333333333333,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,max_value_replay,12,10,9,0.8333333333333334,0.75,-0.08333333333333333,0,1,11,1.0,18.0,19.5,1.0,1.0833333333333333,0.0,0.0,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,phase_l1_r0.3,12,10,10,0.8333333333333334,0.8333333333333334,0.0,0,0,12,1.0,18.0,18.0,1.0,1.0,0.25707070707070706,0.6060606060606061,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,phase_l1_r0.5,12,10,10,0.8333333333333334,0.8333333333333334,0.0,0,0,12,1.0,18.0,18.0,1.0,1.0,0.40454545454545454,0.9191919191919192,0.0,16.0
long_mug_task4_init0_adaptive_screen,action_l1,requery_l1_h12,12,10,12,0.8333333333333334,1.0,0.16666666666666666,2,0,10,0.5,18.0,15.666666666666666,1.1067460317460316,0.8703703703703703,0.4083333333333334,0.0,0.4083333333333334,14.366666666666667
long_mug_task4_init0_adaptive_screen,action_l1,requery_l1_h4,12,10,11,0.8333333333333334,0.9166666666666666,0.08333333333333333,1,0,11,1.0,18.0,23.25,1.4443195693195694,1.2916666666666667,0.4105572186706501,0.0,0.4105572186706501,11.073313375952198
long_mug_task4_init0_adaptive_screen,action_l1,requery_l1_h8,12,10,12,0.8333333333333334,1.0,0.16666666666666666,2,0,10,0.5,18.0,17.75,1.239285714285714,0.9861111111111112,0.4045432719871575,0.0,0.4045432719871575,12.763653824102741
milk_task5_init0_adaptive_screen,action_l1,action_l0.5,12,7,6,0.5833333333333334,0.5,-0.08333333333333333,2,3,7,1.0,11.416666666666666,11.833333333333334,1.0,1.0364963503649636,0.30744047619047615,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,action_l1_replay,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.583333333333334,1.0,1.0145985401459856,0.4399470899470899,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,action_l2,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,5,4,3,1.0,11.416666666666666,11.333333333333334,1.0,0.9927007299270074,0.595238095238095,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,consensus_l0.5,12,7,4,0.5833333333333334,0.3333333333333333,-0.25,1,4,7,0.375,11.416666666666666,12.333333333333334,1.0,1.0802919708029197,0.2396825396825397,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,consensus_l1,12,7,3,0.5833333333333334,0.25,-0.3333333333333333,1,5,6,0.21875,11.416666666666666,12.916666666666666,1.0,1.1313868613138687,0.3697089947089947,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,consensus_l2,12,7,7,0.5833333333333334,0.5833333333333334,0.0,2,2,8,1.0,11.416666666666666,11.0,1.0,0.9635036496350365,0.5593253968253968,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,difficulty_l1_t0.088588,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.583333333333334,1.0,1.0145985401459856,0.4399470899470899,1.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,difficulty_l1_t0.1,12,7,6,0.5833333333333334,0.5,-0.08333333333333333,2,3,7,1.0,11.416666666666666,11.5,1.0,1.0072992700729928,0.4687169312169312,1.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,difficulty_l1_t0.2,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.583333333333334,1.0,1.0145985401459856,0.4399470899470899,1.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.088588_h12,12,7,3,0.5833333333333334,0.25,-0.3333333333333333,0,4,8,0.125,11.416666666666666,14.416666666666666,1.1101190476190474,1.2627737226277373,0.4079861111111111,1.0,0.4079861111111111,14.368055555555555
milk_task5_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.088588_h4,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,14.916666666666666,1.4517045454545456,1.3065693430656935,0.37877908340369637,1.0,0.37877908340369637,11.454650999155644
milk_task5_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.088588_h8,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,2,1,9,1.0,11.416666666666666,12.666666666666666,1.3125,1.1094890510948905,0.4396659075645144,1.0,0.4396659075645144,12.482672739483887
milk_task5_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.1_h8,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,2,1,9,1.0,11.416666666666666,12.666666666666666,1.3125,1.1094890510948905,0.4396659075645144,1.0,0.4396659075645144,12.482672739483887
milk_task5_init0_adaptive_screen,action_l1,difficulty_requery_l1_t0.2_h8,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,2,1,9,1.0,11.416666666666666,12.666666666666666,1.3125,1.1094890510948905,0.4396659075645144,1.0,0.4396659075645144,12.482672739483887
milk_task5_init0_adaptive_screen,action_l1,margin_l1_v0.0005_u0,12,7,6,0.5833333333333334,0.5,-0.08333333333333333,3,4,5,1.0,11.416666666666666,12.083333333333334,1.0,1.0583941605839418,0.2048941798941799,0.20489417989417988,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,margin_l1_v0.002_u0,12,7,9,0.5833333333333334,0.75,0.16666666666666666,4,2,6,0.6875,11.416666666666666,11.083333333333334,1.0,0.9708029197080293,0.3687169312169312,0.36871693121693117,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,margin_l1_v0.002_u0.5,12,7,9,0.5833333333333334,0.75,0.16666666666666666,4,2,6,0.6875,11.416666666666666,11.166666666666666,1.0,0.9781021897810219,0.3751984126984127,0.3751984126984127,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,margin_l1_v0.01_u0,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.25,1.0,0.9854014598540146,0.4208994708994709,0.4208994708994709,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,max_value,12,7,6,0.5833333333333334,0.5,-0.08333333333333333,1,2,9,1.0,11.416666666666666,11.666666666666666,1.0,1.0218978102189782,0.0,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,max_value_replay,12,7,6,0.5833333333333334,0.5,-0.08333333333333333,1,2,9,1.0,11.416666666666666,11.666666666666666,1.0,1.0218978102189782,0.0,0.0,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,phase_l1_r0.3,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.166666666666666,1.0,0.9781021897810219,0.2078042328042328,0.4616402116402116,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,phase_l1_r0.5,12,7,7,0.5833333333333334,0.5833333333333334,0.0,3,3,6,1.0,11.416666666666666,11.583333333333334,1.0,1.0145985401459856,0.2982804232804233,0.6231481481481481,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,phase_l1_r0.7,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,11.583333333333334,1.0,1.0145985401459856,0.3863756613756613,0.8809523809523808,0.0,16.0
milk_task5_init0_adaptive_screen,action_l1,requery_l1_h12,12,7,3,0.5833333333333334,0.25,-0.3333333333333333,0,4,8,0.125,11.416666666666666,14.416666666666666,1.1101190476190474,1.2627737226277373,0.4079861111111111,0.0,0.4079861111111111,14.368055555555555
milk_task5_init0_adaptive_screen,action_l1,requery_l1_h4,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,3,2,7,1.0,11.416666666666666,14.916666666666666,1.4517045454545456,1.3065693430656935,0.37877908340369637,0.0,0.37877908340369637,11.454650999155644
milk_task5_init0_adaptive_screen,action_l1,requery_l1_h8,12,7,8,0.5833333333333334,0.6666666666666666,0.08333333333333333,2,1,9,1.0,11.416666666666666,12.666666666666666,1.3125,1.1094890510948905,0.4396659075645144,0.0,0.4396659075645144,12.482672739483887
yellow_task8_init0_adaptive_screen,action_l1,action_l0.5,12,5,5,0.4166666666666667,0.4166666666666667,0.0,1,1,10,1.0,12.5,12.083333333333334,1.0,0.9666666666666667,0.1765873015873016,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,action_l1_replay,12,5,5,0.4166666666666667,0.4166666666666667,0.0,0,0,12,1.0,12.5,12.5,1.0,1.0,0.37129629629629624,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,action_l2,12,5,6,0.4166666666666667,0.5,0.08333333333333333,4,3,5,1.0,12.5,11.25,1.0,0.9,0.55,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,consensus_l0.5,12,5,6,0.4166666666666667,0.5,0.08333333333333333,2,1,9,1.0,12.5,11.75,1.0,0.94,0.25515873015873014,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,consensus_l1,12,5,4,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1,2,9,1.0,12.5,12.416666666666666,1.0,0.9933333333333333,0.4154761904761905,0.0,0.0,16.0
yellow_task8_init0_adaptive_screen,action_l1,consensus_l2,12,5,4,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1,2,9,1.0,12.5,12.666666666666666,1.0,1.0133333333333332,0.5268111518111518,0.0,0.0,16.0
