condition,factor,task_id,init_state_id,query_idx,candidates,mixed_pool,oracle_success,parallel_selected_idx,autoregressive_selected_idx,selector_switched,parallel_selected_success,autoregressive_selected_success,selector_rescue,selector_harm,parallel_pairwise_accuracy,autoregressive_pairwise_accuracy,parallel_autoregressive_value_spearman,parallel_value_range,autoregressive_value_range,action_signature_max_abs,terminal_outcome_agreement,future_proprio_l2_mean,future_proprio_l2_max
Object,Object,0,5,0,8,True,True,0,3,True,True,False,False,True,0.5,0.25,0.7380952380952381,0.055643558502197266,0.012011587619781494,0.0,1.0,0.02371778879911066,0.0357889389086002
Object,Object,0,6,0,8,False,True,6,6,False,True,True,False,False,,,0.4285714285714286,0.0033616721630096436,0.0027295351028442383,0.0,1.0,0.012924803014400816,0.014655815013860908
Object,Object,0,7,0,8,False,False,3,4,True,False,False,False,False,,,-0.3571428571428572,0.0018849670886993408,0.00227925181388855,0.0,1.0,0.013914706950192446,0.018287707510250384
Object,Object,0,8,0,8,True,True,1,3,True,False,True,True,False,0.5,0.5,0.19047619047619052,0.0037200450897216797,0.006286740303039551,0.0,1.0,0.015186224137712267,0.018808095130045166
Object,Object,0,9,0,8,True,True,6,6,False,True,True,False,False,0.8125,0.625,0.6904761904761906,0.006332516670227051,0.005045533180236816,0.0,1.0,0.012002643555692874,0.017300343780125092
Position-y0.3,Position,0,5,0,8,False,False,7,7,False,False,False,False,False,,,0.9761904761904763,0.00539746880531311,0.007844388484954834,0.0,1.0,0.012296939170644868,0.016016751368831805
Position-y0.3,Position,0,6,0,8,True,True,4,4,False,False,False,False,False,0.0,0.0,0.8571428571428572,0.005175173282623291,0.005713403224945068,0.0,1.0,0.011681747417775702,0.014373305083040832
Position-y0.3,Position,0,7,0,8,True,True,5,6,True,False,False,False,False,0.3333333333333333,0.16666666666666666,0.523809523809524,0.003436267375946045,0.006209075450897217,0.0,1.0,0.012647725387187496,0.017642983740262713
Position-y0.3,Position,0,8,0,8,False,False,5,6,True,False,False,False,False,,,-0.28571428571428575,0.0072901248931884766,0.004826664924621582,0.0,1.0,0.011466405538352138,0.015305504191981241
Position-y0.3,Position,0,9,0,8,False,False,0,0,False,False,False,False,False,,,0.8095238095238096,0.01075848937034607,0.002143174409866333,0.0,1.0,0.00997403910023151,0.013595645780706316
