method,scope,snapshots,macro_sr,pooled_sr,macro_delta,ci95_low,ci95_high,rescues,harms,mcnemar_p,oracle_sr,macro_regret,macro_drop_rate,within_pool_concordance,mixed_candidate_pairs
first_k4,All,194,0.5969620958751393,0.5618556701030928,-0.0005759940542549221,-0.05728944784865838,0.05273196322151429,6.0,8.0,0.79052734375,0.7159141583054627,0.11895206243032332,0.0454199182460052,,0
first_k4,Environment,40,0.825,0.825,0.05,0.0,0.125,3.0,1.0,0.625,0.925,0.1,0.025,,0
first_k4,Object,39,0.46153846153846156,0.46153846153846156,-0.02564102564102564,-0.18421052631578946,0.125,3.0,4.0,1.0,0.6923076923076923,0.23076923076923078,0.10256410256410256,,0
first_k4,Position,115,0.5043478260869565,0.5043478260869565,-0.02608695652173913,-0.06837606837606838,0.0,0.0,3.0,0.25,0.5304347826086957,0.02608695652173913,0.008695652173913044,,0
kdpe_endpoint,All,194,0.574070977331847,0.5412371134020618,-0.02346711259754738,-0.08087501975659869,0.03618233618233619,6.0,12.0,0.237884521484375,0.7159141583054627,0.14184318097361573,0.04831846897064288,0.4090909090909091,110
kdpe_endpoint,Environment,40,0.825,0.825,0.05,-0.05,0.15,3.0,1.0,0.625,0.925,0.1,0.025,0.3333333333333333,24
kdpe_endpoint,Object,39,0.41025641025641024,0.41025641025641024,-0.07692307692307693,-0.225,0.075,3.0,6.0,0.5078125,0.6923076923076923,0.28205128205128205,0.10256410256410256,0.4166666666666667,60
kdpe_endpoint,Position,115,0.48695652173913045,0.48695652173913045,-0.043478260869565216,-0.0862256371814093,-0.008695652173913044,0.0,5.0,0.0625,0.5304347826086957,0.043478260869565216,0.017391304347826087,0.46153846153846156,26
keystone,All,194,0.5767558528428094,0.5463917525773195,-0.02078223708658491,-0.07122507122507123,0.03465241768213629,4.0,9.0,0.266845703125,0.7159141583054627,0.13915830546265331,0.05940170940170939,,0
keystone,Environment,40,0.85,0.85,0.075,0.0,0.2,3.0,0.0,0.25,0.925,0.075,0.05,,0
keystone,Object,39,0.38461538461538464,0.38461538461538464,-0.10256410256410256,-0.225,0.0,1.0,5.0,0.21875,0.6923076923076923,0.3076923076923077,0.1282051282051282,,0
keystone,Position,115,0.4956521739130435,0.4956521739130435,-0.034782608695652174,-0.07758620689655173,0.0,0.0,4.0,0.125,0.5304347826086957,0.034782608695652174,0.0,,0
max_value,All,194,0.5975380899293943,0.5721649484536082,0.0,0.0,0.0,0.0,0.0,1.0,0.7159141583054627,0.11837606837606836,0.05897435897435898,0.5272727272727272,110
max_value,Environment,40,0.775,0.775,0.0,0.0,0.0,0.0,0.0,1.0,0.925,0.15,0.1,0.2916666666666667,24
max_value,Object,39,0.48717948717948717,0.48717948717948717,0.0,0.0,0.0,0.0,0.0,1.0,0.6923076923076923,0.20512820512820512,0.07692307692307693,0.4666666666666667,60
max_value,Position,115,0.5304347826086957,0.5304347826086957,0.0,0.0,0.0,0.0,0.0,1.0,0.5304347826086957,0.0,0.0,0.8846153846153846,26
no_gripper,All,194,0.5653102935711631,0.5360824742268041,-0.032227796358231135,-0.09224856321839081,0.026653085708212728,5.0,12.0,0.143463134765625,0.7159141583054627,0.15060386473429951,0.0454199182460052,0.4,110
no_gripper,Environment,40,0.85,0.85,0.075,0.0,0.15,3.0,0.0,0.25,0.925,0.075,0.025,0.5416666666666666,24
no_gripper,Object,39,0.358974358974359,0.358974358974359,-0.1282051282051282,-0.2894736842105263,0.02564102564102564,2.0,7.0,0.1796875,0.6923076923076923,0.3333333333333333,0.10256410256410256,0.3333333333333333,60
no_gripper,Position,115,0.48695652173913045,0.48695652173913045,-0.043478260869565216,-0.08620689655172414,-0.008771929824561403,0.0,5.0,0.0625,0.5304347826086957,0.043478260869565216,0.008695652173913044,0.4230769230769231,26
no_integration,All,194,0.5882014121144555,0.5567010309278351,-0.009336677814938686,-0.06818051444599432,0.05258620689655172,6.0,9.0,0.6072387695312499,0.7159141583054627,0.12771274619100706,0.03397435897435897,0.4636363636363636,110
no_integration,Environment,40,0.85,0.85,0.075,-0.025,0.2,4.0,1.0,0.375,0.925,0.075,0.025,0.5416666666666666,24
no_integration,Object,39,0.41025641025641024,0.41025641025641024,-0.07692307692307693,-0.20512820512820512,0.05128205128205128,2.0,5.0,0.453125,0.6923076923076923,0.28205128205128205,0.07692307692307693,0.38333333333333336,60
no_integration,Position,115,0.5043478260869565,0.5043478260869565,-0.02608695652173913,-0.05263157894736842,0.0,0.0,3.0,0.25,0.5304347826086957,0.02608695652173913,0.0,0.5769230769230769,26
no_rotation,All,194,0.5653102935711631,0.5360824742268041,-0.032227796358231135,-0.09224856321839081,0.026653085708212728,5.0,12.0,0.143463134765625,0.7159141583054627,0.15060386473429951,0.0454199182460052,0.4090909090909091,110
no_rotation,Environment,40,0.85,0.85,0.075,0.0,0.15,3.0,0.0,0.25,0.925,0.075,0.025,0.5416666666666666,24
no_rotation,Object,39,0.358974358974359,0.358974358974359,-0.1282051282051282,-0.2894736842105263,0.02564102564102564,2.0,7.0,0.1796875,0.6923076923076923,0.3333333333333333,0.10256410256410256,0.35,60
no_rotation,Position,115,0.48695652173913045,0.48695652173913045,-0.043478260869565216,-0.08620689655172414,-0.008771929824561403,0.0,5.0,0.0625,0.5304347826086957,0.043478260869565216,0.008695652173913044,0.4230769230769231,26
osc_density,All,194,0.5653102935711631,0.5360824742268041,-0.032227796358231135,-0.09224856321839081,0.026653085708212728,5.0,12.0,0.143463134765625,0.7159141583054627,0.15060386473429951,0.0454199182460052,0.4,110
osc_density,Environment,40,0.85,0.85,0.075,0.0,0.15,3.0,0.0,0.25,0.925,0.075,0.025,0.5416666666666666,24
osc_density,Object,39,0.358974358974359,0.358974358974359,-0.1282051282051282,-0.2894736842105263,0.02564102564102564,2.0,7.0,0.1796875,0.6923076923076923,0.3333333333333333,0.10256410256410256,0.3333333333333333,60
osc_density,Position,115,0.48695652173913045,0.48695652173913045,-0.043478260869565216,-0.08620689655172414,-0.008771929824561403,0.0,5.0,0.0625,0.5304347826086957,0.043478260869565216,0.008695652173913044,0.4230769230769231,26
osc_medoid,All,194,0.5653102935711631,0.5360824742268041,-0.032227796358231135,-0.09224856321839081,0.026653085708212728,5.0,12.0,0.143463134765625,0.7159141583054627,0.15060386473429951,0.0454199182460052,0.4,110
osc_medoid,Environment,40,0.85,0.85,0.075,0.0,0.15,3.0,0.0,0.25,0.925,0.075,0.025,0.5416666666666666,24
osc_medoid,Object,39,0.358974358974359,0.358974358974359,-0.1282051282051282,-0.2894736842105263,0.02564102564102564,2.0,7.0,0.1796875,0.6923076923076923,0.3333333333333333,0.10256410256410256,0.3333333333333333,60
osc_medoid,Position,115,0.48695652173913045,0.48695652173913045,-0.043478260869565216,-0.08620689655172414,-0.008771929824561403,0.0,5.0,0.0625,0.5304347826086957,0.043478260869565216,0.008695652173913044,0.4230769230769231,26
raw_medoid,All,194,0.5655239687848383,0.5360824742268041,-0.03201412114455592,-0.08011946729338035,0.021739437484647506,3.0,10.0,0.09228515625,0.7159141583054627,0.1503901895206243,0.045206243032329986,0.4090909090909091,110
raw_medoid,Environment,40,0.825,0.825,0.05,0.0,0.15,2.0,0.0,0.5,0.925,0.1,0.05,0.4583333333333333,24
raw_medoid,Object,39,0.38461538461538464,0.38461538461538464,-0.10256410256410256,-0.225,0.0,1.0,5.0,0.21875,0.6923076923076923,0.3076923076923077,0.07692307692307693,0.36666666666666664,60
raw_medoid,Position,115,0.48695652173913045,0.48695652173913045,-0.043478260869565216,-0.0862256371814093,-0.008695652173913044,0.0,5.0,0.0625,0.5304347826086957,0.043478260869565216,0.008695652173913044,0.46153846153846156,26
uniform_random_expected,All,194,0.5912393162393162,0.5567010309278351,-0.006298773690078038,-0.04982163597266819,0.035511886865592576,,,,0.7159141583054627,0.12467484206614642,0.04525966183574879,,0
uniform_random_expected,Environment,40,0.825,0.825,0.05,0.00625,0.10625,,,,0.925,0.1,0.04375,,0
uniform_random_expected,Object,39,0.44871794871794873,0.44871794871794873,-0.038461538461538464,-0.15625,0.07692307692307693,,,,0.6923076923076923,0.24358974358974358,0.08333333333333333,,0
uniform_random_expected,Position,115,0.5,0.5,-0.030434782608695653,-0.05603448275862069,-0.010775862068965518,,,,0.5304347826086957,0.030434782608695653,0.008695652173913044,,0
uniform_time,All,194,0.5682088442958008,0.5412371134020618,-0.02932924563359346,-0.08936781609195403,0.030072463768115943,5.0,11.0,0.210113525390625,0.7159141583054627,0.14770531400966183,0.0454199182460052,0.43636363636363634,110
uniform_time,Environment,40,0.85,0.85,0.075,0.0,0.15,3.0,0.0,0.25,0.925,0.075,0.025,0.5416666666666666,24
uniform_time,Object,39,0.358974358974359,0.358974358974359,-0.1282051282051282,-0.2894736842105263,0.02564102564102564,2.0,7.0,0.1796875,0.6923076923076923,0.3333333333333333,0.10256410256410256,0.36666666666666664,60
uniform_time,Position,115,0.4956521739130435,0.4956521739130435,-0.034782608695652174,-0.07692307692307693,0.0,0.0,4.0,0.125,0.5304347826086957,0.034782608695652174,0.008695652173913044,0.5,26
