planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value,0.0,libero_object_object,0,0,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,1,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,2,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,3,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,4,1,1,1.0,123.0,0.0
max_value,0.0,libero_object_object,0,5,1,1,1.0,180.0,0.0
max_value,0.0,libero_object_object,0,6,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,7,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,8,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,9,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,10,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,11,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,12,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,13,1,1,1.0,125.0,0.0
max_value,0.0,libero_object_object,0,14,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,15,1,1,1.0,221.0,0.0
max_value,0.0,libero_object_object,0,16,1,1,1.0,131.0,0.0
max_value,0.0,libero_object_object,0,17,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,18,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,19,1,0,0.0,280.0,0.0
