planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value,0.0,libero_object_object,0,0,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,1,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,2,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,3,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,4,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,5,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,6,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,7,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,8,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,9,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,10,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,11,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,12,1,1,1.0,154.0,0.0
max_value,0.0,libero_object_object,0,13,1,1,1.0,211.0,0.0
max_value,0.0,libero_object_object,0,14,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,15,1,1,1.0,174.0,0.0
max_value,0.0,libero_object_object,0,16,1,1,1.0,221.0,0.0
max_value,0.0,libero_object_object,0,17,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,18,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,19,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,20,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,21,1,1,1.0,272.0,0.0
max_value,0.0,libero_object_object,0,22,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,23,1,1,1.0,123.0,0.0
max_value,0.0,libero_object_object,0,24,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,25,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,26,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,27,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,28,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,29,1,1,1.0,176.0,0.0
max_value,0.0,libero_object_object,0,30,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,31,1,1,1.0,234.0,0.0
max_value,0.0,libero_object_object,0,32,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,33,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,34,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,35,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,36,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,37,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,38,1,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,39,1,0,0.0,280.0,0.0
