family,feature_count,target_variant,alpha,scheme,budget,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_control,80,direct_success,0.01,leave_one_task,0.1,0.1,0.00625,0.003749999999999999,6,2,0.5058510638297873,0.026810053296064614,-0.036875000000000005,0.39999999999999997,0.0078125
relative_control,80,direct_success,0.01,leave_one_task,0.2,0.2,0.0109375,0.0059375,17,10,0.5058510638297873,0.026810053296064614,-0.05625,0.39999999999999997,0.0078125
relative_control,80,direct_success,0.01,leave_one_task,0.3,0.3,0.009375,0.001875000000000003,24,18,0.5058510638297873,0.026810053296064614,-0.08874999999999998,0.39999999999999997,0.0078125
relative_control,80,direct_success,0.1,leave_one_task,0.1,0.1,0.0046875,0.0021874999999999998,6,3,0.5234042553191489,0.039989421304498424,-0.0375,0.3,0.0234375
relative_control,80,direct_success,0.1,leave_one_task,0.2,0.2,0.009375,0.004375,16,10,0.5234042553191489,0.039989421304498424,-0.05625,0.3,0.0234375
relative_control,80,direct_success,0.1,leave_one_task,0.3,0.3,0.0046875,-0.0028124999999999956,23,20,0.5234042553191489,0.039989421304498424,-0.08874999999999998,0.3,0.0234375
relative_control,80,direct_success,1.0,leave_one_task,0.1,0.1,0.0015625,-0.0009375000000000002,6,5,0.5396276595744681,0.05194624923998464,-0.038125,0.41039134083406165,0.078125
relative_control,80,direct_success,1.0,leave_one_task,0.2,0.2,0.0109375,0.0059375,17,10,0.5396276595744681,0.05194624923998464,-0.05812499999999998,0.41039134083406165,0.078125
relative_control,80,direct_success,1.0,leave_one_task,0.3,0.3,0.0078125,0.00031250000000000445,24,19,0.5396276595744681,0.05194624923998464,-0.08687499999999998,0.41039134083406165,0.078125
relative_control,80,direct_success,10.0,leave_one_task,0.1,0.1,0.0015625,-0.0009374999999999994,6,5,0.5852393617021276,0.08588867606206672,-0.05437499999999999,0.8720815992723809,0.1015625
relative_control,80,direct_success,10.0,leave_one_task,0.2,0.2,0.00625,0.0012500000000000007,17,13,0.5852393617021276,0.08588867606206672,-0.039999999999999994,0.8720815992723809,0.1015625
relative_control,80,direct_success,10.0,leave_one_task,0.3,0.3,0.0078125,0.00031250000000000445,23,18,0.5852393617021276,0.08588867606206672,-0.08687499999999998,0.8720815992723809,0.1015625
relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.1,0.1,0.003125,0.0006249999999999999,7,5,0.49042553191489363,0.007347970952385451,-0.05249999999999999,-0.19999999999999998,-0.03125
relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.2,0.2,0.0015625,-0.0034374999999999974,15,14,0.49042553191489363,0.007347970952385451,-0.08249999999999999,-0.19999999999999998,-0.03125
relative_control,80,direct_terminal_utility,0.01,leave_one_task,0.3,0.3,0.00625,-0.0012499999999999983,26,22,0.49042553191489363,0.007347970952385451,-0.08812499999999998,-0.19999999999999998,-0.03125
