family,feature_count,target_variant,alpha,leave_one_task__adjusted_gain,leave_one_task__raw_gain,leave_one_task__rescues,leave_one_task__harms,leave_one_task__rescue_vs_harm_auc,leave_one_task__effect_spearman,leave_one_task__worst_cell_adjusted_gain,leave_one_task__quintile_monotonic_rho,leave_one_task__quintile_top_minus_bottom,leave_one_level__adjusted_gain,leave_one_level__raw_gain,leave_one_level__rescues,leave_one_level__harms,leave_one_level__rescue_vs_harm_auc,leave_one_level__effect_spearman,leave_one_level__worst_cell_adjusted_gain,leave_one_level__quintile_monotonic_rho,leave_one_level__quintile_top_minus_bottom,leave_one_cell__adjusted_gain,leave_one_cell__raw_gain,leave_one_cell__rescues,leave_one_cell__harms,leave_one_cell__rescue_vs_harm_auc,leave_one_cell__effect_spearman,leave_one_cell__worst_cell_adjusted_gain,leave_one_cell__quintile_monotonic_rho,leave_one_cell__quintile_top_minus_bottom,within_cell_grouped5__adjusted_gain,within_cell_grouped5__raw_gain,within_cell_grouped5__rescues,within_cell_grouped5__harms,within_cell_grouped5__rescue_vs_harm_auc,within_cell_grouped5__effect_spearman,within_cell_grouped5__worst_cell_adjusted_gain,within_cell_grouped5__quintile_monotonic_rho,within_cell_grouped5__quintile_top_minus_bottom,min_transfer_adjusted_gain,min_transfer_auc,min_transfer_worst_cell,min_transfer_monotonic_rho
relative_oracle_interactions,172,direct_grounded,0.1,-0.0018749999999999995,0.003125,13,11,0.46289893617021277,-0.028497462486438044,-0.09124999999999997,-0.39999999999999997,-0.015625,-0.0018749999999999975,0.003125,15,13,0.43803191489361704,-0.051714225343036234,-0.15624999999999997,-0.6,-0.015625,0.0012500000000000007,0.00625,14,10,0.4863031914893617,0.0019921202196401845,-0.06812499999999999,0.3,0.015625,0.0278125,0.0328125,30,9,0.8118351063829787,0.3329091193268625,-0.029999999999999992,0.9999999999999999,0.515625,-0.0018749999999999995,0.43803191489361704,-0.15624999999999997,-0.6
relative_oracle_interactions,172,ridge_potential_success,1.0,-0.004999999999999997,0.0,13,13,0.4834441489361702,-0.0074179218733416265,-0.06624999999999998,-0.09999999999999999,-0.015625,0.0012500000000000005,0.00625,19,15,0.45226063829787233,-0.04461826512063114,-0.08187499999999999,-0.39999999999999997,-0.0390625,-0.001874999999999996,0.003125,16,14,0.4987367021276596,0.011371803598198442,-0.10874999999999999,0.0,-0.015625,0.0309375,0.0359375,32,9,0.8236037234042554,0.3619022704987978,-0.029999999999999992,0.9999999999999999,0.5546875,-0.004999999999999997,0.45226063829787233,-0.10874999999999999,-0.39999999999999997
relative_object_oracle_dynamic_slopes,374,direct_success,1.0,-0.004999999999999998,0.0,11,11,0.5486702127659574,0.04926627056478946,-0.07874999999999999,0.49999999999999994,0.0234375,0.0075000000000000015,0.0125,15,7,0.5208776595744681,0.040597200715973884,-0.036875,0.7,0.1328125,0.002812500000000002,0.0078125,16,11,0.44800531914893615,-0.03256424594038501,-0.13124999999999998,-0.10259783520851541,0.0,0.018437500000000002,0.0234375,26,11,0.7603723404255319,0.2633138594335123,-0.054374999999999986,0.9746794344808964,0.390625,-0.004999999999999998,0.44800531914893615,-0.13124999999999998,-0.10259783520851541
relative_object_oracle_dynamic_slopes,374,direct_terminal_utility,1.0,-0.006562499999999997,-0.0015625,10,11,0.5582446808510638,0.05733988085506486,-0.053749999999999985,0.7999999999999999,0.015625,0.0121875,0.0171875,17,6,0.5204787234042553,0.052168417254584785,-0.038125,0.49999999999999994,0.1171875,-0.0018749999999999978,0.003125,14,12,0.4523936170212766,-0.026565298884416385,-0.15874999999999997,-0.3,-0.03125,0.020000000000000004,0.025,27,11,0.7680851063829788,0.2667104428877783,-0.054374999999999986,0.8999999999999998,0.3984375,-0.006562499999999997,0.4523936170212766,-0.15874999999999997,-0.3
relative_oracle_interactions,172,ridge_potential_success,0.1,-0.006562499999999997,-0.0015625,12,13,0.4466755319148936,-0.038087141403450056,-0.09124999999999997,-0.41039134083406165,-0.03125,0.0012500000000000033,0.00625,20,16,0.4791223404255319,-0.020322619409748915,-0.05812499999999998,-0.39999999999999997,-0.0078125,-0.006562499999999996,-0.0015625,15,16,0.5013297872340425,0.010968026778113078,-0.136875,-0.09999999999999999,-0.0390625,0.0325,0.0375,33,9,0.8182180851063829,0.3556241403101147,-0.03687499999999999,0.9999999999999999,0.5234375,-0.006562499999999997,0.4466755319148936,-0.136875,-0.41039134083406165
relative_object_oracle_dynamic_slopes,374,direct_grounded,1.0,-0.006562499999999999,-0.0015625,9,10,0.5631648936170213,0.0621171091616149,-0.05249999999999999,0.7181848464596079,0.0234375,0.010624999999999999,0.015625,16,6,0.542154255319149,0.06555352680703834,-0.036250000000000004,0.6668859288553501,0.125,-0.00031249999999999784,0.0046875,14,11,0.47845744680851066,-0.0032939180131383054,-0.105625,0.09999999999999999,0.015625,0.015312500000000001,0.0203125,25,12,0.7658244680851064,0.2657490836970593,-0.07999999999999999,0.9746794344808964,0.3671875,-0.006562499999999999,0.47845744680851066,-0.105625,0.09999999999999999
relative_oracle_interactions,172,direct_terminal_utility,0.01,-0.0034374999999999983,0.0015625,13,12,0.4444148936170213,-0.04305090475892382,-0.09124999999999997,-0.39999999999999997,-0.0390625,-0.006562499999999999,-0.0015625,16,17,0.4271276595744681,-0.06306039923469542,-0.18375,-0.6,-0.03125,-0.0018749999999999971,0.003125,14,12,0.4690159574468085,-0.015415010654428693,-0.08187499999999999,-0.3,-0.0078125,0.0278125,0.0328125,30,9,0.8106382978723404,0.3295059652843644,-0.035625000000000004,0.9999999999999999,0.484375,-0.006562499999999999,0.4271276595744681,-0.18375,-0.6
relative_oracle_interactions,172,direct_grounded,1.0,-0.00031249999999999854,0.0046875,11,8,0.4857712765957447,-0.007357416172969191,-0.029375000000000002,0.0,0.0234375,-0.006562499999999999,-0.0015625,13,14,0.41648936170212764,-0.06707872460043016,-0.209375,-0.6,-0.0390625,-0.0049999999999999975,0.0,12,12,0.4875,0.001864404410877435,-0.105625,-0.051298917604257706,-0.03125,0.0325,0.0375,32,8,0.819281914893617,0.33998030424996795,-0.029999999999999992,0.9999999999999999,0.546875,-0.006562499999999999,0.41648936170212764,-0.209375,-0.6
relative_oracle_interactions,172,direct_grounded,0.01,-0.0034374999999999987,0.0015625,13,12,0.44720744680851066,-0.04050521248072355,-0.09124999999999997,-0.39999999999999997,-0.0390625,-0.008124999999999997,-0.003125,15,17,0.4406914893617021,-0.05059435071121624,-0.15624999999999997,-0.6,-0.0390625,0.0012500000000000022,0.00625,15,11,0.49148936170212765,0.006200581982343258,-0.06749999999999999,0.3,0.015625,0.026250000000000002,0.03125,29,9,0.8090425531914893,0.3297486663871901,-0.03624999999999999,0.9999999999999999,0.5,-0.008124999999999997,0.4406914893617021,-0.15624999999999997,-0.6
relative_oracle_interactions,172,direct_terminal_utility,0.1,-0.0018749999999999982,0.003125,13,11,0.4566489361702128,-0.030401701088472993,-0.06562499999999998,-0.3354101966249684,0.0,-0.008124999999999999,-0.003125,13,15,0.425,-0.0626632893084138,-0.18375,-0.6,-0.0546875,-0.0018749999999999978,0.003125,14,12,0.46954787234042555,-0.014438046316658338,-0.10749999999999997,-0.3,-0.0078125,0.029375000000000002,0.034375,31,9,0.8139627659574468,0.33201428734199423,-0.036875,0.9999999999999999,0.53125,-0.008124999999999999,0.425,-0.18375,-0.6
relative_oracle_interactions,172,ridge_potential_success,10.0,0.005937500000000002,0.0109375,16,9,0.5361702127659574,0.0336714204689548,-0.026874999999999993,0.3,0.0546875,-0.008124999999999999,-0.003125,13,15,0.40006648936170214,-0.0970088339376995,-0.184375,-0.7,-0.1171875,0.005937500000000003,0.0109375,17,10,0.5127659574468085,0.025277852624239615,-0.05687499999999999,-0.09999999999999999,-0.015625,0.035625,0.040625,35,9,0.8220744680851064,0.37003433448336737,-0.028749999999999998,0.9999999999999999,0.578125,-0.008124999999999999,0.40006648936170214,-0.184375,-0.7
relative_oracle_interactions,172,direct_success,0.01,-0.008124999999999997,-0.003125,12,14,0.4589095744680851,-0.030347493735557618,-0.13249999999999998,-0.8720815992723809,-0.03125,-0.009687499999999996,-0.0046875,14,17,0.42699468085106385,-0.062424694823233234,-0.23499999999999996,-0.49999999999999994,-0.0546875,-0.006562499999999999,-0.0015625,13,14,0.4646276595744681,-0.022476750356950365,-0.13249999999999998,-0.3,-0.0078125,0.0278125,0.0328125,30,9,0.8091755319148937,0.3302652788869443,-0.06124999999999999,0.9999999999999999,0.515625,-0.009687499999999996,0.42699468085106385,-0.23499999999999996,-0.8720815992723809
relative_oracle_additive,97,direct_success,10.0,-0.0018749999999999975,0.003125,10,8,0.5305851063829787,0.04637603306616492,-0.04687499999999999,0.49999999999999994,0.0390625,-0.008124999999999997,-0.003125,11,13,0.35651595744680853,-0.11303424001973639,-0.15624999999999994,-0.39999999999999997,-0.1796875,-0.009687499999999996,-0.0046875,9,12,0.42925531914893617,-0.03821330917299074,-0.13749999999999998,-0.41039134083406165,-0.0703125,0.026250000000000002,0.03125,26,6,0.8025265957446809,0.3138593413947518,-0.059375,0.8999999999999998,0.4921875,-0.009687499999999996,0.35651595744680853,-0.15624999999999994,-0.41039134083406165
relative_oracle_additive,97,direct_terminal_utility,10.0,-0.0003124999999999968,0.0046875,12,9,0.5105053191489362,0.032420514322806356,-0.07312499999999998,0.6324555320336759,0.0390625,-0.009687499999999996,-0.0046875,11,14,0.34547872340425534,-0.12354841317649738,-0.15624999999999994,-0.3,-0.1953125,-0.008124999999999997,-0.003125,9,11,0.4152925531914894,-0.04887983784438512,-0.13937499999999997,-0.3,-0.09375,0.026250000000000002,0.03125,26,6,0.8,0.308321156838564,-0.060625,0.9999999999999999,0.4921875,-0.009687499999999996,0.34547872340425534,-0.15624999999999994,-0.3
relative_oracle_additive,97,ridge_potential_success,10.0,-0.0018749999999999971,0.003125,11,9,0.5319148936170213,0.04962433850300203,-0.07312499999999998,0.8999999999999998,0.09375,-0.011249999999999993,-0.00625,13,17,0.36003989361702127,-0.12071545707550178,-0.28624999999999995,-0.3,-0.1875,-0.009687499999999998,-0.0046875,9,12,0.4348404255319149,-0.030481219441822537,-0.11312499999999999,-0.3,-0.09375,0.029374999999999995,0.034375,27,5,0.8099734042553192,0.3281334191454634,-0.060625,0.9999999999999999,0.4921875,-0.011249999999999993,0.36003989361702127,-0.28624999999999995,-0.3
relative_object_oracle_dynamic_slopes,374,ridge_potential_success,1.0,-0.011249999999999996,-0.00625,11,15,0.5592420212765957,0.0576271014870465,-0.18187499999999995,0.3,0.0859375,-0.0018749999999999995,0.003125,11,9,0.4348404255319149,-0.03575482940596185,-0.054374999999999986,-0.35909242322980395,-0.0546875,-0.009687499999999996,-0.0046875,13,16,0.48523936170212767,-0.005260788782301864,-0.18437499999999998,-0.44721359549995787,0.0,0.0278125,0.0328125,31,10,0.770345744680851,0.28054371350942864,-0.05499999999999998,0.8999999999999998,0.4609375,-0.011249999999999996,0.4348404255319149,-0.18437499999999998,-0.44721359549995787
relative_oracle_additive,97,direct_success,0.1,-0.0034374999999999987,0.0015625,14,13,0.4417553191489362,-0.04158484225962152,-0.07812499999999999,-0.3,-0.0703125,-0.0003124999999999982,0.0046875,15,12,0.3916223404255319,-0.09696833046855861,-0.06812499999999999,-0.3,-0.1484375,-0.011249999999999996,-0.00625,9,13,0.3901595744680851,-0.07445749518515388,-0.168125,-0.3,-0.125,0.023125,0.028125,25,7,0.7996010638297872,0.3097227454408381,-0.08499999999999999,0.9999999999999999,0.453125,-0.011249999999999996,0.3901595744680851,-0.168125,-0.3
relative_oracle_additive,97,direct_grounded,0.01,-0.009687499999999998,-0.0046875,15,18,0.4253989361702128,-0.06342753085216775,-0.13624999999999998,-0.3,-0.1171875,-0.0034374999999999974,0.0015625,16,15,0.39002659574468085,-0.10443046539147796,-0.13124999999999998,-0.39999999999999997,-0.1328125,-0.011249999999999996,-0.00625,9,13,0.38683510638297874,-0.0837573415042575,-0.168125,-0.7,-0.09375,0.0278125,0.0328125,27,6,0.7985372340425532,0.30725343625083673,-0.034374999999999996,0.9999999999999999,0.4765625,-0.011249999999999996,0.38683510638297874,-0.168125,-0.7
relative_oracle_interactions,172,ridge_potential_success,0.01,-0.012812499999999994,-0.0078125,11,16,0.4271276595744681,-0.056248351029005265,-0.11687499999999998,-0.8720815992723809,-0.0625,-0.00031249999999999713,0.0046875,20,17,0.48045212765957446,-0.026491645424714026,-0.04187499999999999,-0.39999999999999997,-0.0234375,-0.009687499999999996,-0.0046875,13,16,0.5007978723404255,0.009597087427167946,-0.13874999999999998,0.0,-0.0546875,0.03875,0.04375,37,9,0.8182180851063829,0.35294246457689044,-0.02874999999999999,0.9999999999999999,0.5546875,-0.012812499999999994,0.4271276595744681,-0.13874999999999998,-0.8720815992723809
relative_oracle_interactions,172,direct_success,0.1,-0.006562499999999996,-0.0015625,12,13,0.4740691489361702,-0.01699318381544235,-0.13249999999999998,-0.41039134083406165,-0.0234375,-0.012812499999999996,-0.0078125,12,17,0.42220744680851063,-0.0637043168814478,-0.23437499999999994,-0.6,-0.0859375,-0.008124999999999997,-0.003125,13,15,0.46117021276595743,-0.025867173884748622,-0.15875,-0.39999999999999997,-0.046875,0.026249999999999996,0.03125,30,10,0.8118351063829787,0.3330873465326601,-0.03625,0.9999999999999999,0.5234375,-0.012812499999999996,0.42220744680851063,-0.23437499999999994,-0.6
relative_oracle_additive,97,direct_grounded,0.1,0.0012500000000000024,0.00625,15,11,0.43111702127659574,-0.04847574666810684,-0.07312499999999998,-0.35909242322980395,-0.0625,-0.0018749999999999978,0.003125,15,13,0.3793882978723404,-0.10805414480151816,-0.06812499999999999,-0.39999999999999997,-0.125,-0.012812499999999996,-0.0078125,8,13,0.3828457446808511,-0.08156646099059425,-0.168125,-0.35909242322980395,-0.1328125,0.026249999999999996,0.03125,26,6,0.7949468085106383,0.30430734875223886,-0.061250000000000006,0.9999999999999999,0.4765625,-0.012812499999999996,0.3793882978723404,-0.168125,-0.39999999999999997
relative_oracle_additive,97,direct_success,1.0,-0.0034374999999999983,0.0015625,12,11,0.45784574468085104,-0.02159259557795937,-0.07249999999999998,-0.46169025843831935,-0.0234375,-0.00031249999999999887,0.0046875,14,11,0.37486702127659577,-0.10648172090520765,-0.06937499999999999,-0.39999999999999997,-0.1171875,-0.012812499999999996,-0.0078125,8,13,0.3946808510638298,-0.06977430842267673,-0.168125,-0.3,-0.125,0.023124999999999996,0.028125,24,6,0.7958776595744681,0.3069696689715601,-0.08499999999999999,0.9999999999999999,0.4609375,-0.012812499999999996,0.37486702127659577,-0.168125,-0.46169025843831935
relative_object_oracle_dynamic_slopes,374,direct_grounded,0.1,-0.00031249999999999887,0.0046875,9,6,0.5585106382978723,0.05980590475095011,-0.03874999999999999,0.6,0.0859375,0.0028125,0.0078125,12,7,0.5110372340425532,0.03078361652946771,-0.060624999999999984,0.49999999999999994,0.0859375,-0.014374999999999994,-0.009375,9,15,0.4506648936170213,-0.033119460646003136,-0.21312499999999995,-0.49999999999999994,-0.0859375,0.021562500000000002,0.0265625,28,11,0.7492021276595745,0.25336927414412735,-0.05499999999999998,0.9999999999999999,0.359375,-0.014374999999999994,0.4506648936170213,-0.21312499999999995,-0.49999999999999994
relative_oracle_additive,97,direct_terminal_utility,1.0,-0.0018749999999999975,0.003125,13,11,0.443218085106383,-0.031188529029275013,-0.07374999999999998,-0.3,-0.0625,0.0012500000000000018,0.00625,13,9,0.3646276595744681,-0.11546042972446408,-0.06937499999999999,-0.39999999999999997,-0.1328125,-0.014374999999999994,-0.009375,7,13,0.38324468085106383,-0.08094307643206737,-0.19499999999999998,-0.41039134083406165,-0.1484375,0.023125,0.028125,24,6,0.7912234042553191,0.3028638726499846,-0.08562499999999999,0.9999999999999999,0.4609375,-0.014374999999999994,0.3646276595744681,-0.19499999999999998,-0.41039134083406165
relative_object_oracle_dynamic_slopes,374,direct_terminal_utility,0.1,-0.00031249999999999974,0.0046875,8,5,0.5570478723404255,0.06023052901545391,-0.03874999999999999,0.7,0.1171875,0.0121875,0.0171875,16,5,0.5162234042553191,0.0344031893218628,-0.03874999999999999,0.09999999999999999,0.1171875,-0.014374999999999995,-0.009375,9,15,0.4283244680851064,-0.04784743416840586,-0.21125,-0.35909242322980395,-0.1171875,0.0246875,0.0296875,29,10,0.7534574468085107,0.25445547451125744,-0.03125,0.9999999999999999,0.375,-0.014374999999999995,0.4283244680851064,-0.21125,-0.35909242322980395
relative_oracle_interactions,172,direct_terminal_utility,1.0,0.00125,0.00625,12,8,0.48125,-0.009839455877670338,-0.029375000000000002,0.0,0.0234375,-0.014374999999999999,-0.009375,10,16,0.4038563829787234,-0.08045726356465152,-0.23687499999999995,-0.6,-0.0859375,-0.008124999999999997,-0.003125,11,13,0.467686170212766,-0.015966118742401714,-0.10749999999999997,-0.09999999999999999,-0.0546875,0.026250000000000002,0.03125,29,9,0.8212765957446808,0.340258732926306,-0.03625,0.9999999999999999,0.5078125,-0.014374999999999999,0.4038563829787234,-0.23687499999999995,-0.6
relative_oracle_additive,97,direct_terminal_utility,0.1,0.0012500000000000035,0.00625,15,11,0.42992021276595743,-0.04947611872645429,-0.07312499999999998,-0.39999999999999997,-0.0625,-0.0003124999999999975,0.0046875,15,12,0.37460106382978725,-0.10985736060948355,-0.06812499999999999,-0.39999999999999997,-0.140625,-0.014374999999999999,-0.009375,8,14,0.381781914893617,-0.08332778929857956,-0.19374999999999995,-0.6668859288553501,-0.1328125,0.027812499999999997,0.0328125,26,5,0.79375,0.30595944103086437,-0.03499999999999999,0.9999999999999999,0.484375,-0.014374999999999999,0.37460106382978725,-0.19374999999999995,-0.6668859288553501
