quintile,states,mean_effect,mean_score,family,feature_count,target_variant,alpha,scheme,budget
0,128,0.046875,-0.6189619077078853,relative_control,80,direct_success,0.01,leave_one_task,0.1
1,128,-0.1171875,-0.2746751358250067,relative_control,80,direct_success,0.01,leave_one_task,0.1
2,128,-0.0546875,-0.10425391703257186,relative_control,80,direct_success,0.01,leave_one_task,0.1
3,128,-0.0390625,0.0958173867312778,relative_control,80,direct_success,0.01,leave_one_task,0.1
4,128,0.0546875,0.4092821235443792,relative_control,80,direct_success,0.01,leave_one_task,0.1
0,128,0.046875,-0.6189619077078853,relative_control,80,direct_success,0.01,leave_one_task,0.2
1,128,-0.1171875,-0.2746751358250067,relative_control,80,direct_success,0.01,leave_one_task,0.2
2,128,-0.0546875,-0.10425391703257186,relative_control,80,direct_success,0.01,leave_one_task,0.2
3,128,-0.0390625,0.0958173867312778,relative_control,80,direct_success,0.01,leave_one_task,0.2
4,128,0.0546875,0.4092821235443792,relative_control,80,direct_success,0.01,leave_one_task,0.2
0,128,0.046875,-0.6189619077078853,relative_control,80,direct_success,0.01,leave_one_task,0.3
1,128,-0.1171875,-0.2746751358250067,relative_control,80,direct_success,0.01,leave_one_task,0.3
2,128,-0.0546875,-0.10425391703257186,relative_control,80,direct_success,0.01,leave_one_task,0.3
3,128,-0.0390625,0.0958173867312778,relative_control,80,direct_success,0.01,leave_one_task,0.3
4,128,0.0546875,0.4092821235443792,relative_control,80,direct_success,0.01,leave_one_task,0.3
0,128,0.0234375,-0.6037670283766757,relative_control,80,direct_success,0.1,leave_one_task,0.1
1,128,-0.125,-0.27622985225634095,relative_control,80,direct_success,0.1,leave_one_task,0.1
2,128,-0.015625,-0.10271832872744158,relative_control,80,direct_success,0.1,leave_one_task,0.1
3,128,-0.0390625,0.10018430614638929,relative_control,80,direct_success,0.1,leave_one_task,0.1
4,128,0.046875,0.39848563360440675,relative_control,80,direct_success,0.1,leave_one_task,0.1
0,128,0.0234375,-0.6037670283766757,relative_control,80,direct_success,0.1,leave_one_task,0.2
1,128,-0.125,-0.27622985225634095,relative_control,80,direct_success,0.1,leave_one_task,0.2
2,128,-0.015625,-0.10271832872744158,relative_control,80,direct_success,0.1,leave_one_task,0.2
3,128,-0.0390625,0.10018430614638929,relative_control,80,direct_success,0.1,leave_one_task,0.2
4,128,0.046875,0.39848563360440675,relative_control,80,direct_success,0.1,leave_one_task,0.2
