utility,method,factor,snapshots,mean_selected_utility,mean_regret,top1_accuracy
local_utility_v1,cosmos_value,Environment,98,-0.01020408163265306,0.0,1.0
local_utility_v1,cosmos_value,Object,98,0.0,0.0,1.0
local_utility_v1,cosmos_value,Position,69,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Environment,98,-0.01020408163265306,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Object,98,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Position,69,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Environment,98,-0.01020408163265306,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Object,98,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Position,69,0.0,0.0,1.0
local_utility_v1,oracle,Environment,98,-0.01020408163265306,0.0,1.0
local_utility_v1,oracle,Object,98,0.0,0.0,1.0
local_utility_v1,oracle,Position,69,0.0,0.0,1.0
local_utility_v1,random,Environment,98,-0.01020408163265306,0.0,1.0
local_utility_v1,random,Object,98,0.0,0.0,1.0
local_utility_v1,random,Position,69,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Environment,98,-0.01020408163265306,0.0,1.0
local_utility_v1,value_minus_internal_action,Object,98,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Position,69,0.0,0.0,1.0
dense_utility_v2,cosmos_value,Environment,98,0.19002477196431325,0.0037158258377002745,0.2755102040816326
dense_utility_v2,cosmos_value,Object,98,0.3330426781523565,0.02058497628486296,0.4387755102040816
dense_utility_v2,cosmos_value,Position,69,0.2474171031592185,0.003912306002741758,0.36231884057971014
dense_utility_v2,factor_oof_candidate_ridge,Environment,98,0.1925849543339671,0.0011556434680463912,0.46938775510204084
dense_utility_v2,factor_oof_candidate_ridge,Object,98,0.33157509821790226,0.022052556219317176,0.3163265306122449
dense_utility_v2,factor_oof_candidate_ridge,Position,69,0.24796433745534582,0.003365071706614445,0.43478260869565216
dense_utility_v2,grouped_oof_candidate_ridge,Environment,98,0.19070272408557581,0.003037873716437692,0.35714285714285715
dense_utility_v2,grouped_oof_candidate_ridge,Object,98,0.32825297944128873,0.025374674995930695,0.32653061224489793
dense_utility_v2,grouped_oof_candidate_ridge,Position,69,0.24610729604796502,0.0052221131139952226,0.2608695652173913
dense_utility_v2,oracle,Environment,98,0.19374059780201347,0.0,1.0
dense_utility_v2,oracle,Object,98,0.35362765443721944,0.0,1.0
dense_utility_v2,oracle,Position,69,0.2513294091619603,0.0,1.0
dense_utility_v2,random,Environment,98,0.18998700752779998,0.003753590274213523,0.24489795918367346
dense_utility_v2,random,Object,98,0.33844523071498,0.015182423722239423,0.24489795918367346
dense_utility_v2,random,Position,69,0.2468180033906935,0.004511405771266752,0.2753623188405797
dense_utility_v2,value_minus_internal_action,Environment,98,0.18936507120425558,0.004375526597757939,0.22448979591836735
dense_utility_v2,value_minus_internal_action,Object,98,0.34035099921926515,0.013276655217954226,0.3673469387755102
dense_utility_v2,value_minus_internal_action,Position,69,0.24437467036850496,0.006954738793455254,0.11594202898550725
terminal_utility_v1,cosmos_value,Environment,20,1.275,0.05,0.9
terminal_utility_v1,cosmos_value,Object,17,2.6470588235294117,0.35294117647058826,0.8823529411764706
terminal_utility_v1,cosmos_value,Position,13,2.0,0.038461538461538464,0.9230769230769231
terminal_utility_v1,factor_oof_candidate_ridge,Environment,20,1.325,0.0,1.0
terminal_utility_v1,factor_oof_candidate_ridge,Object,17,2.411764705882353,0.5882352941176471,0.8235294117647058
terminal_utility_v1,factor_oof_candidate_ridge,Position,2,3.0,0.0,1.0
terminal_utility_v1,grouped_oof_candidate_ridge,Environment,20,1.275,0.05,0.9
terminal_utility_v1,grouped_oof_candidate_ridge,Object,17,2.411764705882353,0.5882352941176471,0.8235294117647058
terminal_utility_v1,grouped_oof_candidate_ridge,Position,13,2.0,0.038461538461538464,0.9230769230769231
terminal_utility_v1,oracle,Environment,20,1.325,0.0,1.0
terminal_utility_v1,oracle,Object,17,3.0,0.0,1.0
terminal_utility_v1,oracle,Position,13,2.0384615384615383,0.0,1.0
terminal_utility_v1,random,Environment,20,1.275,0.05,0.9
terminal_utility_v1,random,Object,17,2.6470588235294117,0.35294117647058826,0.8823529411764706
terminal_utility_v1,random,Position,13,2.0,0.038461538461538464,0.9230769230769231
terminal_utility_v1,value_minus_internal_action,Environment,20,1.275,0.05,0.9
terminal_utility_v1,value_minus_internal_action,Object,17,2.588235294117647,0.4117647058823529,0.8823529411764706
terminal_utility_v1,value_minus_internal_action,Position,13,2.0,0.038461538461538464,0.9230769230769231
