target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
local_vof,grouped_oof_ridge,0.1,265,27,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.2,265,53,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.3,265,80,0.0,0.0,0.0,
local_vof,random,0.1,265,27,0.0,0.0,0.0,
local_vof,random,0.2,265,53,0.0,0.0,0.0,
local_vof,random,0.3,265,80,0.0,0.0,0.0,
local_vof,oracle,0.1,265,27,0.0,0.0,0.0,
local_vof,oracle,0.2,265,53,0.0,0.0,0.0,
local_vof,oracle,0.3,265,80,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.1,265,27,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.2,265,53,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.3,265,80,0.0,0.0,0.0,
local_vof,value_range,0.1,265,27,0.0,0.0,0.0,
local_vof,value_range,0.2,265,53,0.0,0.0,0.0,
local_vof,value_range,0.3,265,80,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.1,265,27,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.2,265,53,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.3,265,80,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.1,265,27,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.2,265,53,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.3,265,80,0.0,0.0,0.0,
dense_vof_v2,grouped_oof_ridge,0.1,265,27,0.02971115540596956,0.003027174324381804,0.5925925925925926,0.6717299094348275
dense_vof_v2,grouped_oof_ridge,0.2,265,53,0.02294909615784126,0.004589819231568253,0.5471698113207547,0.6717299094348275
dense_vof_v2,grouped_oof_ridge,0.3,265,80,0.012421637344386291,0.003749928254909069,0.5625,0.6717299094348275
dense_vof_v2,random,0.1,265,27,-0.010483398122159156,-0.0010681198086728196,0.4074074074074074,0.5026940272841912
dense_vof_v2,random,0.2,265,53,-0.014368829590316377,-0.0028737659180632755,0.39622641509433965,0.5026940272841912
dense_vof_v2,random,0.3,265,80,-0.006325807056791989,-0.0019096776020504117,0.4625,0.5026940272841912
dense_vof_v2,oracle,0.1,265,27,0.08652780972282871,0.008816040990627832,1.0,1.0
dense_vof_v2,oracle,0.2,265,53,0.051683480987083065,0.010336696197416612,1.0,1.0
dense_vof_v2,oracle,0.3,265,80,0.03653106477699233,0.011028245970412779,1.0,1.0
dense_vof_v2,factor_phase_oof_mean,0.1,265,27,0.017123902539394234,0.001744699504013752,0.5555555555555556,0.7740169666399175
dense_vof_v2,factor_phase_oof_mean,0.2,265,53,0.022688210890190685,0.004537642178038137,0.7169811320754716,0.7740169666399175
dense_vof_v2,factor_phase_oof_mean,0.3,265,80,0.01418881241426298,0.004283415068456749,0.7375,0.7740169666399175
dense_vof_v2,value_range,0.1,265,27,-0.018942672720193968,-0.001930008163944291,0.2222222222222222,0.382809813137682
