target,factor,phase,states,mean_vof,median_vof,positive_rate,negative_rate
local_vof,Environment,approach,40,0.0,0.0,0.0,0.0
local_vof,Environment,grasp,40,0.0,0.0,0.0,0.0
local_vof,Environment,transport,20,0.0,0.0,0.0,0.0
local_vof,Object,approach,36,0.0,0.0,0.0,0.0
local_vof,Object,grasp,35,0.0,0.0,0.0,0.0
local_vof,Object,release,1,0.0,0.0,0.0,0.0
local_vof,Object,transport,28,0.0,0.0,0.0,0.0
local_vof,Position,approach,40,0.0,0.0,0.0,0.0
local_vof,Position,grasp,17,0.0,0.0,0.0,0.0
local_vof,Position,transport,15,0.0,0.0,0.0,0.0
dense_vof_v2,Environment,approach,40,-0.04316901298631462,-0.04261064308318087,0.0,1.0
dense_vof_v2,Environment,grasp,40,0.01019828981895753,0.005736210730960865,0.95,0.05
dense_vof_v2,Environment,transport,20,0.014012087675874299,0.012058730977301674,1.0,0.0
dense_vof_v2,Object,approach,36,-0.024609157443444572,-0.013439495977161375,0.16666666666666666,0.8333333333333334
dense_vof_v2,Object,grasp,35,0.02802615960091142,0.0035346032502341362,0.5714285714285714,0.42857142857142855
dense_vof_v2,Object,release,1,0.0,0.0,0.0,0.0
dense_vof_v2,Object,transport,28,-0.00282821121011814,-0.0026198817992301995,0.35714285714285715,0.6428571428571429
dense_vof_v2,Position,approach,40,-0.0003228684594496677,-0.0001029822700691907,0.475,0.525
dense_vof_v2,Position,grasp,17,-0.006862338450395431,0.0,0.47058823529411764,0.47058823529411764
dense_vof_v2,Position,transport,15,-0.004450085306824936,-0.005084819206594482,0.4,0.6
terminal_vof,Environment,approach,8,0.4375,0.0,0.25,0.0
terminal_vof,Environment,grasp,8,0.0625,0.0,0.125,0.0
terminal_vof,Environment,transport,4,0.0,0.0,0.0,0.0
terminal_vof,Object,approach,8,-0.4375,0.0,0.0,0.25
terminal_vof,Object,grasp,5,-0.1,0.0,0.0,0.2
terminal_vof,Object,transport,6,0.0,0.0,0.0,0.0
terminal_vof,Position,approach,8,0.0,0.0,0.0,0.0
terminal_vof,Position,grasp,2,0.0,0.0,0.0,0.0
terminal_vof,Position,transport,3,0.0,0.0,0.0,0.0
