factor,target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
Environment,local_vof,grouped_oof_ridge,0.1,100,10,0.0,0.0,0.0,
Environment,local_vof,grouped_oof_ridge,0.2,100,20,0.0,0.0,0.0,
Environment,local_vof,grouped_oof_ridge,0.3,100,30,0.0,0.0,0.0,
Environment,local_vof,random,0.1,100,10,0.0,0.0,0.0,
Environment,local_vof,random,0.2,100,20,0.0,0.0,0.0,
Environment,local_vof,random,0.3,100,30,0.0,0.0,0.0,
Environment,local_vof,oracle,0.1,100,10,0.0,0.0,0.0,
Environment,local_vof,oracle,0.2,100,20,0.0,0.0,0.0,
Environment,local_vof,oracle,0.3,100,30,0.0,0.0,0.0,
Environment,local_vof,factor_phase_oof_mean,0.1,100,10,0.0,0.0,0.0,
Environment,local_vof,factor_phase_oof_mean,0.2,100,20,0.0,0.0,0.0,
Environment,local_vof,factor_phase_oof_mean,0.3,100,30,0.0,0.0,0.0,
Environment,local_vof,value_range,0.1,100,10,0.0,0.0,0.0,
Environment,local_vof,value_range,0.2,100,20,0.0,0.0,0.0,
Environment,local_vof,value_range,0.3,100,30,0.0,0.0,0.0,
Environment,local_vof,action_first_step_l2_std,0.1,100,10,0.0,0.0,0.0,
Environment,local_vof,action_first_step_l2_std,0.2,100,20,0.0,0.0,0.0,
Environment,local_vof,action_first_step_l2_std,0.3,100,30,0.0,0.0,0.0,
Environment,local_vof,planning_predicted_proprio_error,0.1,100,10,0.0,0.0,0.0,
Environment,local_vof,planning_predicted_proprio_error,0.2,100,20,0.0,0.0,0.0,
Environment,local_vof,planning_predicted_proprio_error,0.3,100,30,0.0,0.0,0.0,
Environment,dense_vof_v2,grouped_oof_ridge,0.1,100,10,0.026142733284216187,0.0026142733284216183,1.0,0.9802955665024631
Environment,dense_vof_v2,grouped_oof_ridge,0.2,100,20,0.018901013698599957,0.0037802027397199917,1.0,0.9802955665024631
Environment,dense_vof_v2,grouped_oof_ridge,0.3,100,30,0.015656640777238096,0.004696992233171429,0.9666666666666667,0.9802955665024631
Environment,dense_vof_v2,random,0.1,100,10,-0.037279718703686196,-0.0037279718703686193,0.4,0.4486863711001642
Environment,dense_vof_v2,random,0.2,100,20,-0.031088312582902473,-0.006217662516580494,0.35,0.4486863711001642
Environment,dense_vof_v2,random,0.3,100,30,-0.02196112496433626,-0.006588337489300877,0.4666666666666667,0.4486863711001642
Environment,dense_vof_v2,oracle,0.1,100,10,0.04285627776482527,0.004285627776482527,1.0,1.0
Environment,dense_vof_v2,oracle,0.2,100,20,0.03034513188661462,0.006069026377322924,1.0,1.0
Environment,dense_vof_v2,oracle,0.3,100,30,0.02425535166169641,0.007276605498508924,1.0,1.0
Environment,dense_vof_v2,factor_phase_oof_mean,0.1,100,10,0.012385064373476622,0.0012385064373476623,1.0,0.9720853858784894
Environment,dense_vof_v2,factor_phase_oof_mean,0.2,100,20,0.014012087675874299,0.00280241753517486,1.0,0.9720853858784894
Environment,dense_vof_v2,factor_phase_oof_mean,0.3,100,30,0.011352869820766977,0.003405860946230093,0.9333333333333333,0.9720853858784894
Environment,dense_vof_v2,value_range,0.1,100,10,-0.026721020661533285,-0.0026721020661533285,0.0,0.23111658456486042
Environment,dense_vof_v2,value_range,0.2,100,20,-0.026814030504565135,-0.0053628061009130265,0.1,0.23111658456486042
Environment,dense_vof_v2,value_range,0.3,100,30,-0.021898566515009803,-0.006569569954502941,0.26666666666666666,0.23111658456486042
Environment,dense_vof_v2,action_first_step_l2_std,0.1,100,10,-0.004305332173376477,-0.00043053321733764764,0.6,0.49137931034482757
Environment,dense_vof_v2,action_first_step_l2_std,0.2,100,20,-0.008663014233287941,-0.0017326028466575882,0.55,0.49137931034482757
Environment,dense_vof_v2,action_first_step_l2_std,0.3,100,30,-0.013368811366635196,-0.004010643409990558,0.4666666666666667,0.49137931034482757
Environment,dense_vof_v2,planning_predicted_proprio_error,0.1,100,10,0.0077079190160191935,0.0007707919016019194,1.0,0.9564860426929392
Environment,dense_vof_v2,planning_predicted_proprio_error,0.2,100,20,0.008686269530909143,0.0017372539061818288,1.0,0.9564860426929392
Environment,dense_vof_v2,planning_predicted_proprio_error,0.3,100,30,0.009767519816643217,0.002930255944992965,1.0,0.9564860426929392
Object,local_vof,grouped_oof_ridge,0.1,100,10,0.0,0.0,0.0,
Object,local_vof,grouped_oof_ridge,0.2,100,20,0.0,0.0,0.0,
Object,local_vof,grouped_oof_ridge,0.3,100,30,0.0,0.0,0.0,
Object,local_vof,random,0.1,100,10,0.0,0.0,0.0,
Object,local_vof,random,0.2,100,20,0.0,0.0,0.0,
Object,local_vof,random,0.3,100,30,0.0,0.0,0.0,
Object,local_vof,oracle,0.1,100,10,0.0,0.0,0.0,
Object,local_vof,oracle,0.2,100,20,0.0,0.0,0.0,
Object,local_vof,oracle,0.3,100,30,0.0,0.0,0.0,
Object,local_vof,factor_phase_oof_mean,0.1,100,10,0.0,0.0,0.0,
Object,local_vof,factor_phase_oof_mean,0.2,100,20,0.0,0.0,0.0,
Object,local_vof,factor_phase_oof_mean,0.3,100,30,0.0,0.0,0.0,
Object,local_vof,value_range,0.1,100,10,0.0,0.0,0.0,
Object,local_vof,value_range,0.2,100,20,0.0,0.0,0.0,
Object,local_vof,value_range,0.3,100,30,0.0,0.0,0.0,
Object,local_vof,action_first_step_l2_std,0.1,100,10,0.0,0.0,0.0,
Object,local_vof,action_first_step_l2_std,0.2,100,20,0.0,0.0,0.0,
Object,local_vof,action_first_step_l2_std,0.3,100,30,0.0,0.0,0.0,
Object,local_vof,planning_predicted_proprio_error,0.1,100,10,0.0,0.0,0.0,
Object,local_vof,planning_predicted_proprio_error,0.2,100,20,0.0,0.0,0.0,
Object,local_vof,planning_predicted_proprio_error,0.3,100,30,0.0,0.0,0.0,
Object,dense_vof_v2,grouped_oof_ridge,0.1,100,10,0.026789118083685413,0.0026789118083685413,0.6,0.7165798611111112
Object,dense_vof_v2,grouped_oof_ridge,0.2,100,20,0.03095638677396108,0.006191277354792216,0.55,0.7165798611111112
Object,dense_vof_v2,grouped_oof_ridge,0.3,100,30,0.0321528838093325,0.00964586514279975,0.6333333333333333,0.7165798611111112
Object,dense_vof_v2,random,0.1,100,10,0.009521192189935824,0.0009521192189935824,0.3,0.5347222222222222
Object,dense_vof_v2,random,0.2,100,20,-0.00559295134154045,-0.00111859026830809,0.35,0.5347222222222222
Object,dense_vof_v2,random,0.3,100,30,0.0016859249680050241,0.0005057774904015072,0.4,0.5347222222222222
Object,dense_vof_v2,oracle,0.1,100,10,0.13789346366252833,0.013789346366252833,1.0,1.0
Object,dense_vof_v2,oracle,0.2,100,20,0.09425514895966945,0.018851029791933892,1.0,1.0
Object,dense_vof_v2,oracle,0.3,100,30,0.06431481253378121,0.019294443760134367,1.0,1.0
Object,dense_vof_v2,factor_phase_oof_mean,0.1,100,10,-0.010174918072642486,-0.0010174918072642486,0.6,0.6508246527777778
Object,dense_vof_v2,factor_phase_oof_mean,0.2,100,20,-0.008882688557886115,-0.001776537711577223,0.4,0.6508246527777778
Object,dense_vof_v2,factor_phase_oof_mean,0.3,100,30,0.01858364579646384,0.005575093738939152,0.5333333333333333,0.6508246527777778
Object,dense_vof_v2,value_range,0.1,100,10,-0.008675986662933627,-0.0008675986662933627,0.2,0.3795572916666667
Object,dense_vof_v2,value_range,0.2,100,20,-0.023528290569149617,-0.004705658113829923,0.15,0.3795572916666667
Object,dense_vof_v2,value_range,0.3,100,30,-0.017370172156922572,-0.005211051647076772,0.2,0.3795572916666667
Object,dense_vof_v2,action_first_step_l2_std,0.1,100,10,-0.015834978680869954,-0.0015834978680869954,0.3,0.5234375
Object,dense_vof_v2,action_first_step_l2_std,0.2,100,20,-0.009132965412801253,-0.0018265930825602506,0.35,0.5234375
Object,dense_vof_v2,action_first_step_l2_std,0.3,100,30,-0.0038611991938714953,-0.0011583597581614486,0.4,0.5234375
Object,dense_vof_v2,planning_predicted_proprio_error,0.1,100,10,0.04014873566702943,0.004014873566702943,0.5,0.6688368055555556
Object,dense_vof_v2,planning_predicted_proprio_error,0.2,100,20,0.03740277071018085,0.00748055414203617,0.5,0.6688368055555556
Object,dense_vof_v2,planning_predicted_proprio_error,0.3,100,30,0.02214537229609601,0.006643611688828802,0.4666666666666667,0.6688368055555556
Position,local_vof,grouped_oof_ridge,0.1,14,2,0.0,0.0,0.0,
Position,local_vof,grouped_oof_ridge,0.2,14,3,0.0,0.0,0.0,
Position,local_vof,grouped_oof_ridge,0.3,14,5,0.0,0.0,0.0,
Position,local_vof,random,0.1,14,2,0.0,0.0,0.0,
Position,local_vof,random,0.2,14,3,0.0,0.0,0.0,
Position,local_vof,random,0.3,14,5,0.0,0.0,0.0,
Position,local_vof,oracle,0.1,14,2,0.0,0.0,0.0,
Position,local_vof,oracle,0.2,14,3,0.0,0.0,0.0,
Position,local_vof,oracle,0.3,14,5,0.0,0.0,0.0,
Position,local_vof,factor_phase_oof_mean,0.1,14,2,0.0,0.0,0.0,
Position,local_vof,factor_phase_oof_mean,0.2,14,3,0.0,0.0,0.0,
Position,local_vof,factor_phase_oof_mean,0.3,14,5,0.0,0.0,0.0,
Position,local_vof,value_range,0.1,14,2,0.0,0.0,0.0,
Position,local_vof,value_range,0.2,14,3,0.0,0.0,0.0,
Position,local_vof,value_range,0.3,14,5,0.0,0.0,0.0,
Position,local_vof,action_first_step_l2_std,0.1,14,2,0.0,0.0,0.0,
Position,local_vof,action_first_step_l2_std,0.2,14,3,0.0,0.0,0.0,
Position,local_vof,action_first_step_l2_std,0.3,14,5,0.0,0.0,0.0,
Position,local_vof,planning_predicted_proprio_error,0.1,14,2,0.0,0.0,0.0,
Position,local_vof,planning_predicted_proprio_error,0.2,14,3,0.0,0.0,0.0,
Position,local_vof,planning_predicted_proprio_error,0.3,14,5,0.0,0.0,0.0,
Position,dense_vof_v2,grouped_oof_ridge,0.1,14,2,-0.014091984556244403,-0.0020131406508920578,0.0,0.4666666666666667
Position,dense_vof_v2,grouped_oof_ridge,0.2,14,3,-0.006418235287382129,-0.0013753361330104562,0.3333333333333333,0.4666666666666667
Position,dense_vof_v2,grouped_oof_ridge,0.3,14,5,0.003677434675228704,0.0013133695268673941,0.4,0.4666666666666667
