target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
local_vof,grouped_oof_ridge,0.1,272,28,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.2,272,55,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.3,272,82,0.0,0.0,0.0,
local_vof,random,0.1,272,28,0.0,0.0,0.0,
local_vof,random,0.2,272,55,0.0,0.0,0.0,
local_vof,random,0.3,272,82,0.0,0.0,0.0,
local_vof,oracle,0.1,272,28,0.0,0.0,0.0,
local_vof,oracle,0.2,272,55,0.0,0.0,0.0,
local_vof,oracle,0.3,272,82,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.1,272,28,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.2,272,55,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.3,272,82,0.0,0.0,0.0,
local_vof,value_range,0.1,272,28,0.0,0.0,0.0,
local_vof,value_range,0.2,272,55,0.0,0.0,0.0,
local_vof,value_range,0.3,272,82,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.1,272,28,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.2,272,55,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.3,272,82,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.1,272,28,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.2,272,55,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.3,272,82,0.0,0.0,0.0,
dense_vof_v2,grouped_oof_ridge,0.1,272,28,0.022913762819219367,0.002358769701978464,0.6071428571428571,0.6859625305457507
dense_vof_v2,grouped_oof_ridge,0.2,272,55,0.014570179222420671,0.0029461759457100624,0.5636363636363636,0.6859625305457507
dense_vof_v2,grouped_oof_ridge,0.3,272,82,0.012362745881511282,0.003727004273102666,0.6097560975609756,0.6859625305457507
dense_vof_v2,random,0.1,272,28,-0.010240744578508557,-0.0010541942948464691,0.39285714285714285,0.49763779527559054
dense_vof_v2,random,0.2,272,55,-0.013853375500956498,-0.0028012340167375273,0.4,0.49763779527559054
dense_vof_v2,random,0.3,272,82,-0.006176246936697545,-0.0018619567970926422,0.4634146341463415,0.49763779527559054
dense_vof_v2,oracle,0.1,272,28,0.084203428570587,0.008667999999913368,1.0,1.0
dense_vof_v2,oracle,0.2,272,55,0.05027580397438393,0.01016606330364381,1.0,1.0
dense_vof_v2,oracle,0.3,272,82,0.03590620939380101,0.010824666067248833,1.0,1.0
dense_vof_v2,factor_phase_oof_mean,0.1,272,28,0.01611931660933787,0.0016593414156671335,0.5357142857142857,0.777626934564214
dense_vof_v2,factor_phase_oof_mean,0.2,272,55,0.02293013344635247,0.004636607865990389,0.7272727272727273,0.777626934564214
dense_vof_v2,factor_phase_oof_mean,0.3,272,82,0.014762514376172434,0.00445046389281669,0.7439024390243902,0.777626934564214
dense_vof_v2,value_range,0.1,272,28,-0.018201658257006464,-0.001873700114691842,0.25,0.39633450991039915
dense_vof_v2,value_range,0.2,272,55,-0.01608441534232733,-0.0032523633964264822,0.32727272727272727,0.39633450991039915
dense_vof_v2,value_range,0.3,272,82,-0.014004289705596992,-0.004221881455363799,0.34146341463414637,0.39633450991039915
dense_vof_v2,action_first_step_l2_std,0.1,272,28,-0.003413649367236983,-0.00035140508192145416,0.5,0.5254412163996742
dense_vof_v2,action_first_step_l2_std,0.2,272,55,-0.002532996958263647,-0.0005121868849430168,0.4727272727272727,0.5254412163996742
dense_vof_v2,action_first_step_l2_std,0.3,272,82,-0.0019641770837096244,-0.0005921416208242251,0.5,0.5254412163996742
dense_vof_v2,planning_predicted_proprio_error,0.1,272,28,0.018090892674879705,0.0018622977753552637,0.6071428571428571,0.7171870757534619
