target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
local_vof,grouped_oof_ridge,0.1,100,10,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.2,100,20,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.3,100,30,0.0,0.0,0.0,
local_vof,random,0.1,100,10,0.0,0.0,0.0,
local_vof,random,0.2,100,20,0.0,0.0,0.0,
local_vof,random,0.3,100,30,0.0,0.0,0.0,
local_vof,oracle,0.1,100,10,0.0,0.0,0.0,
local_vof,oracle,0.2,100,20,0.0,0.0,0.0,
local_vof,oracle,0.3,100,30,0.0,0.0,0.0,
local_vof,value_range,0.1,100,10,0.0,0.0,0.0,
local_vof,value_range,0.2,100,20,0.0,0.0,0.0,
local_vof,value_range,0.3,100,30,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.1,100,10,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.2,100,20,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.3,100,30,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.1,100,10,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.2,100,20,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.3,100,30,0.0,0.0,0.0,
dense_vof_v2,grouped_oof_ridge,0.1,100,10,0.03133275761559358,0.0031332757615593577,0.5,0.7586805555555556
dense_vof_v2,grouped_oof_ridge,0.2,100,20,0.036260010547841906,0.007252002109568381,0.55,0.7586805555555556
dense_vof_v2,grouped_oof_ridge,0.3,100,30,0.04892919758929259,0.014678759276787776,0.6666666666666666,0.7586805555555556
dense_vof_v2,random,0.1,100,10,0.009521192189935824,0.0009521192189935824,0.3,0.5347222222222222
dense_vof_v2,random,0.2,100,20,-0.00559295134154045,-0.00111859026830809,0.35,0.5347222222222222
dense_vof_v2,random,0.3,100,30,0.0016859249680050241,0.0005057774904015072,0.4,0.5347222222222222
dense_vof_v2,oracle,0.1,100,10,0.13789346366252833,0.013789346366252833,1.0,1.0
dense_vof_v2,oracle,0.2,100,20,0.09425514895966945,0.018851029791933892,1.0,1.0
dense_vof_v2,oracle,0.3,100,30,0.06431481253378121,0.019294443760134367,1.0,1.0
dense_vof_v2,value_range,0.1,100,10,-0.008675986662933627,-0.0008675986662933627,0.2,0.3795572916666667
dense_vof_v2,value_range,0.2,100,20,-0.023528290569149617,-0.004705658113829923,0.15,0.3795572916666667
dense_vof_v2,value_range,0.3,100,30,-0.017370172156922572,-0.005211051647076772,0.2,0.3795572916666667
dense_vof_v2,action_first_step_l2_std,0.1,100,10,-0.015834978680869954,-0.0015834978680869954,0.3,0.5234375
dense_vof_v2,action_first_step_l2_std,0.2,100,20,-0.009132965412801253,-0.0018265930825602506,0.35,0.5234375
dense_vof_v2,action_first_step_l2_std,0.3,100,30,-0.0038611991938714953,-0.0011583597581614486,0.4,0.5234375
dense_vof_v2,planning_predicted_proprio_error,0.1,100,10,0.04014873566702943,0.004014873566702943,0.5,0.6688368055555556
dense_vof_v2,planning_predicted_proprio_error,0.2,100,20,0.03740277071018085,0.00748055414203617,0.5,0.6688368055555556
dense_vof_v2,planning_predicted_proprio_error,0.3,100,30,0.02214537229609601,0.006643611688828802,0.4666666666666667,0.6688368055555556
terminal_vof,grouped_oof_ridge,0.1,19,2,0.0,0.0,0.0,
terminal_vof,grouped_oof_ridge,0.2,19,4,0.0,0.0,0.0,
terminal_vof,grouped_oof_ridge,0.3,19,6,0.0,0.0,0.0,
terminal_vof,random,0.1,19,2,-0.25,-0.02631578947368421,0.0,
terminal_vof,random,0.2,19,4,-0.125,-0.02631578947368421,0.0,
terminal_vof,random,0.3,19,6,-0.16666666666666666,-0.05263157894736842,0.0,
terminal_vof,oracle,0.1,19,2,0.0,0.0,0.0,
terminal_vof,oracle,0.2,19,4,0.0,0.0,0.0,
terminal_vof,oracle,0.3,19,6,0.0,0.0,0.0,
terminal_vof,value_range,0.1,19,2,-1.75,-0.18421052631578946,0.0,
terminal_vof,value_range,0.2,19,4,-0.875,-0.18421052631578946,0.0,
terminal_vof,value_range,0.3,19,6,-0.5833333333333334,-0.18421052631578946,0.0,
terminal_vof,action_first_step_l2_std,0.1,19,2,-1.75,-0.18421052631578946,0.0,
terminal_vof,action_first_step_l2_std,0.2,19,4,-0.875,-0.18421052631578946,0.0,
terminal_vof,action_first_step_l2_std,0.3,19,6,-0.5833333333333334,-0.18421052631578946,0.0,
terminal_vof,planning_predicted_proprio_error,0.1,19,2,0.0,0.0,0.0,
terminal_vof,planning_predicted_proprio_error,0.2,19,4,-0.125,-0.02631578947368421,0.0,
terminal_vof,planning_predicted_proprio_error,0.3,19,6,-0.08333333333333333,-0.02631578947368421,0.0,
