utility,method,factor,snapshots,mean_selected_utility,mean_regret,top1_accuracy
local_utility_v1,cosmos_value,Environment,12,0.0,0.0,1.0
local_utility_v1,cosmos_value,Object,12,0.0,0.0,1.0
local_utility_v1,cosmos_value,Position,24,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Environment,12,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Object,12,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Position,24,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Environment,12,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Object,12,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Position,24,0.0,0.0,1.0
local_utility_v1,oracle,Environment,12,0.0,0.0,1.0
local_utility_v1,oracle,Object,12,0.0,0.0,1.0
local_utility_v1,oracle,Position,24,0.0,0.0,1.0
local_utility_v1,random,Environment,12,0.0,0.0,1.0
local_utility_v1,random,Object,12,0.0,0.0,1.0
local_utility_v1,random,Position,24,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Environment,12,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Object,12,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Position,24,0.0,0.0,1.0
dense_utility_v2,cosmos_value,Environment,12,0.20275473256382018,0.0026624760655947874,0.08333333333333333
dense_utility_v2,cosmos_value,Object,12,0.3495606771957289,0.0017572464837293429,0.3333333333333333
dense_utility_v2,cosmos_value,Position,24,0.21537030061207998,0.007246079811434499,0.08333333333333333
dense_utility_v2,factor_oof_candidate_ridge,Environment,12,0.20398176886708766,0.0014354397623272885,0.08333333333333333
dense_utility_v2,factor_oof_candidate_ridge,Object,12,0.3511049338591587,0.00021298982029961666,0.5833333333333334
dense_utility_v2,factor_oof_candidate_ridge,Position,24,0.21792739610725478,0.00468898431625969,0.125
dense_utility_v2,grouped_oof_candidate_ridge,Environment,12,0.20092889325225496,0.004488315377159995,0.0
dense_utility_v2,grouped_oof_candidate_ridge,Object,12,0.3509560723484388,0.00036185133101952066,0.3333333333333333
dense_utility_v2,grouped_oof_candidate_ridge,Position,24,0.21687416950454844,0.005742210918966037,0.25
dense_utility_v2,oracle,Environment,12,0.20541720862941495,0.0,1.0
dense_utility_v2,oracle,Object,12,0.3513179236794583,0.0,1.0
dense_utility_v2,oracle,Position,24,0.22261638042351448,0.0,1.0
dense_utility_v2,random,Environment,12,0.2030851469098985,0.0023320617195164675,0.08333333333333333
dense_utility_v2,random,Object,12,0.34786343292431127,0.0034544907551470327,0.16666666666666666
dense_utility_v2,random,Position,24,0.21661090990986917,0.006005470513645306,0.125
dense_utility_v2,value_minus_internal_action,Environment,12,0.20392302767480072,0.0014941809546142526,0.25
dense_utility_v2,value_minus_internal_action,Object,12,0.3486153930509058,0.0027025306285524686,0.25
dense_utility_v2,value_minus_internal_action,Position,24,0.2155418696192866,0.007074510804227896,0.16666666666666666
h32_dense_utility_v2,cosmos_value,Environment,12,0.3161423185209093,0.003230418109181798,0.16666666666666666
h32_dense_utility_v2,cosmos_value,Object,12,0.5154013234959162,0.0016972841300102227,0.25
h32_dense_utility_v2,cosmos_value,Position,24,0.3607257148483136,0.0014180522006799615,0.7083333333333334
h32_dense_utility_v2,factor_oof_candidate_ridge,Environment,12,0.31685711218773993,0.002515624442351199,0.4166666666666667
h32_dense_utility_v2,factor_oof_candidate_ridge,Object,12,0.5156099873791484,0.0014886202467779945,0.3333333333333333
h32_dense_utility_v2,factor_oof_candidate_ridge,Position,24,0.3611406770009255,0.0010030900480681247,0.75
h32_dense_utility_v2,grouped_oof_candidate_ridge,Environment,12,0.3159893915909273,0.003383345039163791,0.08333333333333333
h32_dense_utility_v2,grouped_oof_candidate_ridge,Object,12,0.5153297821554583,0.0017688254704681106,0.25
h32_dense_utility_v2,grouped_oof_candidate_ridge,Position,24,0.3604547304697574,0.0016890365792361663,0.6666666666666666
h32_dense_utility_v2,oracle,Environment,12,0.31937273663009114,0.0,1.0
h32_dense_utility_v2,oracle,Object,12,0.5170986076259264,0.0,1.0
h32_dense_utility_v2,oracle,Position,24,0.3621437670489936,0.0,1.0
h32_dense_utility_v2,random,Environment,12,0.317050482162234,0.0023222544678570614,0.25
h32_dense_utility_v2,random,Object,12,0.5149285424360622,0.002170065189864232,0.25
h32_dense_utility_v2,random,Position,24,0.3587319088744989,0.0034118581744946586,0.5
h32_dense_utility_v2,value_minus_internal_action,Environment,12,0.31652956998463755,0.0028431666454535854,0.3333333333333333
h32_dense_utility_v2,value_minus_internal_action,Object,12,0.5155174929948068,0.0015811146311196557,0.3333333333333333
h32_dense_utility_v2,value_minus_internal_action,Position,24,0.35875704197130315,0.003386725077690419,0.5416666666666666
terminal_utility_v1,cosmos_value,Object,1,3.0,0.0,1.0
terminal_utility_v1,oracle,Object,1,3.0,0.0,1.0
terminal_utility_v1,random,Object,1,3.0,0.0,1.0
terminal_utility_v1,value_minus_internal_action,Object,1,3.0,0.0,1.0
