utility,method,factor,snapshots,mean_selected_utility,mean_regret,top1_accuracy
local_utility_v1,cosmos_value,Environment,11,0.0,0.0,1.0
local_utility_v1,cosmos_value,Object,12,0.0,0.0,1.0
local_utility_v1,cosmos_value,Position,24,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Environment,11,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Object,12,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Position,24,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Environment,11,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Object,12,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Position,24,0.0,0.0,1.0
local_utility_v1,oracle,Environment,11,0.0,0.0,1.0
local_utility_v1,oracle,Object,12,0.0,0.0,1.0
local_utility_v1,oracle,Position,24,0.0,0.0,1.0
local_utility_v1,random,Environment,11,0.0,0.0,1.0
local_utility_v1,random,Object,12,0.0,0.0,1.0
local_utility_v1,random,Position,24,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Environment,11,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Object,12,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Position,24,0.0,0.0,1.0
dense_utility_v2,cosmos_value,Environment,11,0.22189385731607525,0.0027406439874278206,0.09090909090909091
dense_utility_v2,cosmos_value,Object,12,0.3495606771957289,0.0017572464837293429,0.3333333333333333
dense_utility_v2,cosmos_value,Position,24,0.21537030061207998,0.007246079811434499,0.08333333333333333
dense_utility_v2,factor_oof_candidate_ridge,Environment,11,0.22279202308568322,0.0018424782178198729,0.09090909090909091
dense_utility_v2,factor_oof_candidate_ridge,Object,12,0.3511049338591587,0.00021298982029961666,0.5833333333333334
dense_utility_v2,factor_oof_candidate_ridge,Position,24,0.21792739610725478,0.00468898431625969,0.125
dense_utility_v2,grouped_oof_candidate_ridge,Environment,11,0.21984114478116706,0.0047933565223360055,0.0
dense_utility_v2,grouped_oof_candidate_ridge,Object,12,0.3509560723484388,0.00036185133101952066,0.3333333333333333
dense_utility_v2,grouped_oof_candidate_ridge,Position,24,0.21687416950454844,0.005742210918966037,0.25
dense_utility_v2,oracle,Environment,11,0.22463450130350307,0.0,1.0
dense_utility_v2,oracle,Object,12,0.3513179236794583,0.0,1.0
dense_utility_v2,oracle,Position,24,0.22261638042351448,0.0,1.0
dense_utility_v2,random,Environment,11,0.2222543093299789,0.002380191973524199,0.09090909090909091
dense_utility_v2,random,Object,12,0.34786343292431127,0.0034544907551470327,0.16666666666666666
dense_utility_v2,random,Position,24,0.21661090990986917,0.006005470513645306,0.125
dense_utility_v2,value_minus_internal_action,Environment,11,0.22316836107350857,0.0014661402299945099,0.2727272727272727
dense_utility_v2,value_minus_internal_action,Object,12,0.3486153930509058,0.0027025306285524686,0.25
dense_utility_v2,value_minus_internal_action,Position,24,0.2155418696192866,0.007074510804227896,0.16666666666666666
h32_dense_utility_v2,cosmos_value,Environment,11,0.33896606220368963,0.0033314717639286364,0.18181818181818182
h32_dense_utility_v2,cosmos_value,Object,12,0.5154013234959162,0.0016972841300102227,0.25
h32_dense_utility_v2,cosmos_value,Position,24,0.3607257148483136,0.0014180522006799615,0.7083333333333334
h32_dense_utility_v2,factor_oof_candidate_ridge,Environment,11,0.3392490590947215,0.0030484748728967365,0.2727272727272727
h32_dense_utility_v2,factor_oof_candidate_ridge,Object,12,0.5156099873791484,0.0014886202467779945,0.3333333333333333
h32_dense_utility_v2,factor_oof_candidate_ridge,Position,24,0.3611406770009255,0.0010030900480681247,0.75
h32_dense_utility_v2,grouped_oof_candidate_ridge,Environment,11,0.3389807062802475,0.0033168276873707632,0.09090909090909091
h32_dense_utility_v2,grouped_oof_candidate_ridge,Object,12,0.5153297821554583,0.0017688254704681106,0.25
h32_dense_utility_v2,grouped_oof_candidate_ridge,Position,24,0.36036338818732827,0.001780378861665317,0.6666666666666666
h32_dense_utility_v2,oracle,Environment,11,0.3422975339676182,0.0,1.0
h32_dense_utility_v2,oracle,Object,12,0.5170986076259264,0.0,1.0
h32_dense_utility_v2,oracle,Position,24,0.3621437670489936,0.0,1.0
h32_dense_utility_v2,random,Environment,11,0.33995678617604386,0.0023407477915743783,0.2727272727272727
h32_dense_utility_v2,random,Object,12,0.5149285424360622,0.002170065189864232,0.25
h32_dense_utility_v2,random,Position,24,0.3587319088744989,0.0034118581744946586,0.5
h32_dense_utility_v2,value_minus_internal_action,Environment,11,0.3393885183459386,0.002909015621679677,0.36363636363636365
h32_dense_utility_v2,value_minus_internal_action,Object,12,0.5155174929948068,0.0015811146311196557,0.3333333333333333
h32_dense_utility_v2,value_minus_internal_action,Position,24,0.35875704197130315,0.003386725077690419,0.5416666666666666
terminal_utility_v1,cosmos_value,Object,1,3.0,0.0,1.0
terminal_utility_v1,oracle,Object,1,3.0,0.0,1.0
terminal_utility_v1,random,Object,1,3.0,0.0,1.0
terminal_utility_v1,value_minus_internal_action,Object,1,3.0,0.0,1.0
