target,factor,phase,states,mean_vof,median_vof,positive_rate,negative_rate
local_vof,Environment,approach,6,0.0,0.0,0.0,0.0
local_vof,Environment,grasp,2,0.0,0.0,0.0,0.0
local_vof,Environment,transport,3,0.0,0.0,0.0,0.0
local_vof,Object,approach,4,0.0,0.0,0.0,0.0
local_vof,Object,grasp,4,0.0,0.0,0.0,0.0
local_vof,Object,transport,4,0.0,0.0,0.0,0.0
local_vof,Position,approach,18,0.0,0.0,0.0,0.0
local_vof,Position,grasp,3,0.0,0.0,0.0,0.0
local_vof,Position,transport,3,0.0,0.0,0.0,0.0
dense_vof_v2,Environment,approach,6,-0.04052520484460677,-0.05487482920513459,0.3333333333333333,0.6666666666666666
dense_vof_v2,Environment,grasp,2,0.020998260278176285,0.020998260278176285,1.0,0.0
dense_vof_v2,Environment,transport,3,0.013732771914580296,0.006519770369836753,1.0,0.0
dense_vof_v2,Object,approach,4,-0.02210834052960127,-0.026558810014754963,0.25,0.75
dense_vof_v2,Object,grasp,4,-0.0569465630684316,0.0013957907269656067,0.5,0.5
dense_vof_v2,Object,transport,4,-0.048884058222319504,-0.010127395771843573,0.0,1.0
dense_vof_v2,Position,approach,18,-0.010529524550984572,-0.002814885376455495,0.3888888888888889,0.6111111111111112
dense_vof_v2,Position,grasp,3,-0.02587026811754087,0.0031900008819015224,0.6666666666666666,0.3333333333333333
dense_vof_v2,Position,transport,3,0.001840597652069731,0.008243021412285056,0.6666666666666666,0.3333333333333333
h32_dense_vof_v2,Environment,approach,6,0.007060437795817581,-0.05450623465207893,0.3333333333333333,0.6666666666666666
h32_dense_vof_v2,Environment,grasp,2,-0.0489949489082507,-0.0489949489082507,0.0,1.0
h32_dense_vof_v2,Environment,transport,3,0.01841540155266319,0.0107944080656448,1.0,0.0
h32_dense_vof_v2,Object,approach,4,7.023665176131288e-07,0.0,0.25,0.0
h32_dense_vof_v2,Object,grasp,4,0.08778031749025138,0.055033553968396764,1.0,0.0
h32_dense_vof_v2,Object,transport,4,-0.10880641569317545,-0.015813193745523257,0.0,1.0
h32_dense_vof_v2,Position,approach,18,-0.012258412233843287,0.0,0.0,0.4444444444444444
h32_dense_vof_v2,Position,grasp,3,0.0158329836760905,0.0018004414697039978,0.6666666666666666,0.3333333333333333
h32_dense_vof_v2,Position,transport,3,0.02119530173030676,-0.01200879208107164,0.3333333333333333,0.6666666666666666
terminal_vof,Object,approach,1,0.0,0.0,0.0,0.0
