factor,target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
Position,local_vof,grouped_oof_ridge,0.1,2,1,0.0,0.0,0.0,
Position,local_vof,grouped_oof_ridge,0.2,2,1,0.0,0.0,0.0,
Position,local_vof,grouped_oof_ridge,0.3,2,1,0.0,0.0,0.0,
Position,local_vof,random,0.1,2,1,0.0,0.0,0.0,
Position,local_vof,random,0.2,2,1,0.0,0.0,0.0,
Position,local_vof,random,0.3,2,1,0.0,0.0,0.0,
Position,local_vof,oracle,0.1,2,1,0.0,0.0,0.0,
Position,local_vof,oracle,0.2,2,1,0.0,0.0,0.0,
Position,local_vof,oracle,0.3,2,1,0.0,0.0,0.0,
Position,local_vof,factor_phase_oof_mean,0.1,2,1,0.0,0.0,0.0,
Position,local_vof,factor_phase_oof_mean,0.2,2,1,0.0,0.0,0.0,
Position,local_vof,factor_phase_oof_mean,0.3,2,1,0.0,0.0,0.0,
Position,local_vof,value_range,0.1,2,1,0.0,0.0,0.0,
Position,local_vof,value_range,0.2,2,1,0.0,0.0,0.0,
Position,local_vof,value_range,0.3,2,1,0.0,0.0,0.0,
Position,local_vof,action_first_step_l2_std,0.1,2,1,0.0,0.0,0.0,
Position,local_vof,action_first_step_l2_std,0.2,2,1,0.0,0.0,0.0,
Position,local_vof,action_first_step_l2_std,0.3,2,1,0.0,0.0,0.0,
Position,local_vof,planning_predicted_proprio_error,0.1,2,1,0.0,0.0,0.0,
Position,local_vof,planning_predicted_proprio_error,0.2,2,1,0.0,0.0,0.0,
Position,local_vof,planning_predicted_proprio_error,0.3,2,1,0.0,0.0,0.0,
Position,dense_vof_v2,grouped_oof_ridge,0.1,2,1,0.010322696537391984,0.005161348268695992,1.0,
Position,dense_vof_v2,grouped_oof_ridge,0.2,2,1,0.010322696537391984,0.005161348268695992,1.0,
Position,dense_vof_v2,grouped_oof_ridge,0.3,2,1,0.010322696537391984,0.005161348268695992,1.0,
Position,dense_vof_v2,random,0.1,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,random,0.2,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,random,0.3,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,oracle,0.1,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,oracle,0.2,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,oracle,0.3,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,factor_phase_oof_mean,0.1,2,1,0.010322696537391984,0.005161348268695992,1.0,
Position,dense_vof_v2,factor_phase_oof_mean,0.2,2,1,0.010322696537391984,0.005161348268695992,1.0,
Position,dense_vof_v2,factor_phase_oof_mean,0.3,2,1,0.010322696537391984,0.005161348268695992,1.0,
Position,dense_vof_v2,value_range,0.1,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,value_range,0.2,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,value_range,0.3,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,action_first_step_l2_std,0.1,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,action_first_step_l2_std,0.2,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,action_first_step_l2_std,0.3,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,planning_predicted_proprio_error,0.1,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,planning_predicted_proprio_error,0.2,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,dense_vof_v2,planning_predicted_proprio_error,0.3,2,1,0.011748918551877135,0.005874459275938567,1.0,
Position,h32_dense_vof_v2,grouped_oof_ridge,0.1,2,1,0.09039455347768183,0.045197276738840914,1.0,1.0
Position,h32_dense_vof_v2,grouped_oof_ridge,0.2,2,1,0.09039455347768183,0.045197276738840914,1.0,1.0
Position,h32_dense_vof_v2,grouped_oof_ridge,0.3,2,1,0.09039455347768183,0.045197276738840914,1.0,1.0
Position,h32_dense_vof_v2,random,0.1,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,random,0.2,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,random,0.3,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,oracle,0.1,2,1,0.09039455347768183,0.045197276738840914,1.0,1.0
Position,h32_dense_vof_v2,oracle,0.2,2,1,0.09039455347768183,0.045197276738840914,1.0,1.0
Position,h32_dense_vof_v2,oracle,0.3,2,1,0.09039455347768183,0.045197276738840914,1.0,1.0
Position,h32_dense_vof_v2,factor_phase_oof_mean,0.1,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,factor_phase_oof_mean,0.2,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,factor_phase_oof_mean,0.3,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,value_range,0.1,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,value_range,0.2,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,value_range,0.3,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,action_first_step_l2_std,0.1,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,action_first_step_l2_std,0.2,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,action_first_step_l2_std,0.3,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,planning_predicted_proprio_error,0.1,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,planning_predicted_proprio_error,0.2,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
Position,h32_dense_vof_v2,planning_predicted_proprio_error,0.3,2,1,-0.01284166551294065,-0.006420832756470325,0.0,0.0
