target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
local_vof,grouped_oof_ridge,0.1,47,5,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.2,47,10,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.3,47,15,0.0,0.0,0.0,
local_vof,random,0.1,47,5,0.0,0.0,0.0,
local_vof,random,0.2,47,10,0.0,0.0,0.0,
local_vof,random,0.3,47,15,0.0,0.0,0.0,
local_vof,oracle,0.1,47,5,0.0,0.0,0.0,
local_vof,oracle,0.2,47,10,0.0,0.0,0.0,
local_vof,oracle,0.3,47,15,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.1,47,5,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.2,47,10,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.3,47,15,0.0,0.0,0.0,
local_vof,value_range,0.1,47,5,0.0,0.0,0.0,
local_vof,value_range,0.2,47,10,0.0,0.0,0.0,
local_vof,value_range,0.3,47,15,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.1,47,5,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.2,47,10,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.3,47,15,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.1,47,5,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.2,47,10,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.3,47,15,0.0,0.0,0.0,
dense_vof_v2,grouped_oof_ridge,0.1,47,5,-0.005315746942003933,-0.0005655049938302056,0.2,0.5201465201465202
dense_vof_v2,grouped_oof_ridge,0.2,47,10,-0.004461726832385944,-0.0009493035813587115,0.4,0.5201465201465202
dense_vof_v2,grouped_oof_ridge,0.3,47,15,-0.01389638594571208,-0.004435016791184706,0.26666666666666666,0.5201465201465202
dense_vof_v2,random,0.1,47,5,-0.018018810273968837,-0.0019168947099966849,0.6,0.5622710622710623
dense_vof_v2,random,0.2,47,10,-0.012175497207130537,-0.0025905313206660715,0.6,0.5622710622710623
dense_vof_v2,random,0.3,47,15,-0.016609453356533462,-0.005300889369106424,0.4666666666666667,0.5622710622710623
dense_vof_v2,oracle,0.1,47,5,0.04679764823826888,0.004978473216837115,1.0,1.0
dense_vof_v2,oracle,0.2,47,10,0.029102881551101266,0.006192102457681121,1.0,1.0
dense_vof_v2,oracle,0.3,47,15,0.021228665705426,0.006775106076199787,1.0,1.0
dense_vof_v2,factor_phase_oof_mean,0.1,47,5,-0.08358366484542905,-0.008891879238875432,0.6,0.4734432234432234
dense_vof_v2,factor_phase_oof_mean,0.2,47,10,-0.05177012293496861,-0.011014919773397577,0.4,0.4734432234432234
dense_vof_v2,factor_phase_oof_mean,0.3,47,15,-0.04300450157568548,-0.013724840928410259,0.5333333333333333,0.4734432234432234
dense_vof_v2,value_range,0.1,47,5,-0.03911314774178386,-0.004160973164019559,0.4,0.5366300366300366
dense_vof_v2,value_range,0.2,47,10,-0.0180753496841988,-0.0038458190817444254,0.5,0.5366300366300366
dense_vof_v2,value_range,0.3,47,15,-0.01359370908195363,-0.004338417792112861,0.6,0.5366300366300366
dense_vof_v2,action_first_step_l2_std,0.1,47,5,0.0055625663427281,0.0005917623768859681,1.0,0.6336996336996337
dense_vof_v2,action_first_step_l2_std,0.2,47,10,-0.018217733251074834,-0.003876113457675497,0.7,0.6336996336996337
dense_vof_v2,action_first_step_l2_std,0.3,47,15,-0.01821855567948111,-0.005814432663664185,0.6,0.6336996336996337
dense_vof_v2,planning_predicted_proprio_error,0.1,47,5,-0.11816828977265122,-0.012571094656665022,0.4,0.6007326007326007
dense_vof_v2,planning_predicted_proprio_error,0.2,47,10,-0.053785872218700834,-0.011443802599723583,0.7,0.6007326007326007
dense_vof_v2,planning_predicted_proprio_error,0.3,47,15,-0.0355621826568985,-0.011349632762839948,0.6,0.6007326007326007
h32_dense_vof_v2,grouped_oof_ridge,0.1,47,5,-0.06876635488029764,-0.00731556966811677,0.2,0.5429864253393665
