target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
local_vof,grouped_oof_ridge,0.1,48,5,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.2,48,10,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.3,48,15,0.0,0.0,0.0,
local_vof,random,0.1,48,5,0.0,0.0,0.0,
local_vof,random,0.2,48,10,0.0,0.0,0.0,
local_vof,random,0.3,48,15,0.0,0.0,0.0,
local_vof,oracle,0.1,48,5,0.0,0.0,0.0,
local_vof,oracle,0.2,48,10,0.0,0.0,0.0,
local_vof,oracle,0.3,48,15,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.1,48,5,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.2,48,10,0.0,0.0,0.0,
local_vof,factor_phase_oof_mean,0.3,48,15,0.0,0.0,0.0,
local_vof,value_range,0.1,48,5,0.0,0.0,0.0,
local_vof,value_range,0.2,48,10,0.0,0.0,0.0,
local_vof,value_range,0.3,48,15,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.1,48,5,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.2,48,10,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.3,48,15,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.1,48,5,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.2,48,10,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.3,48,15,0.0,0.0,0.0,
dense_vof_v2,grouped_oof_ridge,0.1,48,5,-0.005315746942003933,-0.0005537236397920763,0.2,0.513986013986014
dense_vof_v2,grouped_oof_ridge,0.2,48,10,-0.015212848636101043,-0.003169343465854384,0.3,0.513986013986014
dense_vof_v2,grouped_oof_ridge,0.3,48,15,-0.016252421380604887,-0.005078881681439028,0.3333333333333333,0.513986013986014
dense_vof_v2,random,0.1,48,5,-0.002759067377381239,-0.00028740285181054573,0.8,0.5804195804195804
dense_vof_v2,random,0.2,48,10,-0.010256977870326808,-0.0021368703896514183,0.7,0.5804195804195804
dense_vof_v2,random,0.3,48,15,-0.012861898098113694,-0.0040193431556605295,0.5333333333333333,0.5804195804195804
dense_vof_v2,oracle,0.1,48,5,0.04679764823826888,0.004874755024819675,1.0,1.0
dense_vof_v2,oracle,0.2,48,10,0.030244156193007375,0.006300865873543203,1.0,1.0
dense_vof_v2,oracle,0.3,48,15,0.022152254762144115,0.006922579613170036,1.0,1.0
dense_vof_v2,factor_phase_oof_mean,0.1,48,5,-0.05808398341709405,-0.00605041493928063,0.8,0.5690559440559441
dense_vof_v2,factor_phase_oof_mean,0.2,48,10,-0.036276132140996134,-0.007557527529374194,0.7,0.5690559440559441
dense_vof_v2,factor_phase_oof_mean,0.3,48,15,-0.027921339815704382,-0.00872541869240762,0.6,0.5690559440559441
dense_vof_v2,value_range,0.1,48,5,-0.03911314774178386,-0.004074286223102485,0.4,0.5174825174825175
dense_vof_v2,value_range,0.2,48,10,-0.0180753496841988,-0.0037656978508747497,0.5,0.5174825174825175
dense_vof_v2,value_range,0.3,48,15,-0.01359370908195363,-0.00424803408811051,0.6,0.5174825174825175
dense_vof_v2,action_first_step_l2_std,0.1,48,5,0.0055625663427281,0.0005794339940341771,1.0,0.6153846153846154
dense_vof_v2,action_first_step_l2_std,0.2,48,10,-0.018217733251074834,-0.0037953610939739243,0.7,0.6153846153846154
dense_vof_v2,action_first_step_l2_std,0.3,48,15,-0.01821855567948111,-0.005693298649837847,0.6,0.6153846153846154
dense_vof_v2,planning_predicted_proprio_error,0.1,48,5,-0.11816828977265122,-0.012309196851317835,0.4,0.6118881118881119
dense_vof_v2,planning_predicted_proprio_error,0.2,48,10,-0.053785872218700834,-0.011205390045562674,0.7,0.6118881118881119
dense_vof_v2,planning_predicted_proprio_error,0.3,48,15,-0.03363672763077311,-0.010511477384616599,0.6666666666666666,0.6118881118881119
h32_dense_vof_v2,grouped_oof_ridge,0.1,48,5,-0.011660386436951942,-0.001214623587182494,0.0,0.5406593406593406
h32_dense_vof_v2,grouped_oof_ridge,0.2,48,10,0.005185148412376689,0.0010802392525784768,0.3,0.5406593406593406
h32_dense_vof_v2,grouped_oof_ridge,0.3,48,15,-0.0029238734621280906,-0.0009137104569150283,0.2,0.5406593406593406
h32_dense_vof_v2,random,0.1,48,5,-0.0031401730036139594,-0.00032710135454312077,0.2,0.3098901098901099
h32_dense_vof_v2,random,0.2,48,10,0.002791645427386921,0.0005815927973722752,0.3,0.3098901098901099
h32_dense_vof_v2,random,0.3,48,15,-0.005515294733328274,-0.0017235296041650857,0.2,0.3098901098901099
h32_dense_vof_v2,oracle,0.1,48,5,0.144609813003121,0.015063522187825105,1.0,1.0
h32_dense_vof_v2,oracle,0.2,48,10,0.08402823468608231,0.017505882226267148,1.0,1.0
h32_dense_vof_v2,oracle,0.3,48,15,0.05621712808263874,0.017567852525824604,0.8666666666666667,1.0
h32_dense_vof_v2,factor_phase_oof_mean,0.1,48,5,0.04353848317063417,0.0045352586636077255,0.6,0.7362637362637363
h32_dense_vof_v2,factor_phase_oof_mean,0.2,48,10,0.03667171608192929,0.007639940850401935,0.7,0.7362637362637363
h32_dense_vof_v2,factor_phase_oof_mean,0.3,48,15,0.022037718293647136,0.00688678696676473,0.5333333333333333,0.7362637362637363
h32_dense_vof_v2,value_range,0.1,48,5,-0.011083463239270907,-0.001154527420757386,0.4,0.4
h32_dense_vof_v2,value_range,0.2,48,10,0.004537460650205871,0.0009453043021262231,0.3,0.4
h32_dense_vof_v2,value_range,0.3,48,15,-0.0005210178812618427,-0.00016281808789432584,0.2,0.4
