target,factor,phase,states,mean_vof,median_vof,positive_rate,negative_rate
local_vof,Environment,approach,40,0.0,0.0,0.0,0.0
local_vof,Environment,grasp,40,0.0,0.0,0.0,0.0
local_vof,Environment,transport,20,0.0,0.0,0.0,0.0
local_vof,Object,approach,36,0.0,0.0,0.0,0.0
local_vof,Object,grasp,35,0.0,0.0,0.0,0.0
local_vof,Object,release,1,0.0,0.0,0.0,0.0
local_vof,Object,transport,28,0.0,0.0,0.0,0.0
local_vof,Position,approach,40,0.0,0.0,0.0,0.0
local_vof,Position,grasp,17,0.0,0.0,0.0,0.0
local_vof,Position,transport,15,0.0,0.0,0.0,0.0
terminal_vof,Environment,approach,8,0.4375,0.0,0.25,0.0
terminal_vof,Environment,grasp,8,0.0625,0.0,0.125,0.0
terminal_vof,Environment,transport,4,0.0,0.0,0.0,0.0
terminal_vof,Object,approach,8,-0.4375,0.0,0.0,0.25
terminal_vof,Object,grasp,5,-0.1,0.0,0.0,0.2
terminal_vof,Object,transport,6,0.0,0.0,0.0,0.0
terminal_vof,Position,approach,8,0.0,0.0,0.0,0.0
terminal_vof,Position,grasp,2,0.0,0.0,0.0,0.0
terminal_vof,Position,transport,3,0.0,0.0,0.0,0.0
