target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
local_vof,grouped_oof_ridge,0.1,272,28,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.2,272,55,0.0,0.0,0.0,
local_vof,grouped_oof_ridge,0.3,272,82,0.0,0.0,0.0,
local_vof,random,0.1,272,28,0.0,0.0,0.0,
local_vof,random,0.2,272,55,0.0,0.0,0.0,
local_vof,random,0.3,272,82,0.0,0.0,0.0,
local_vof,oracle,0.1,272,28,0.0,0.0,0.0,
local_vof,oracle,0.2,272,55,0.0,0.0,0.0,
local_vof,oracle,0.3,272,82,0.0,0.0,0.0,
local_vof,value_range,0.1,272,28,0.0,0.0,0.0,
local_vof,value_range,0.2,272,55,0.0,0.0,0.0,
local_vof,value_range,0.3,272,82,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.1,272,28,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.2,272,55,0.0,0.0,0.0,
local_vof,action_first_step_l2_std,0.3,272,82,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.1,272,28,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.2,272,55,0.0,0.0,0.0,
local_vof,planning_predicted_proprio_error,0.3,272,82,0.0,0.0,0.0,
terminal_vof,grouped_oof_ridge,0.1,52,6,0.6666666666666666,0.07692307692307693,0.5,0.9795918367346939
terminal_vof,grouped_oof_ridge,0.2,52,11,0.36363636363636365,0.07692307692307693,0.2727272727272727,0.9795918367346939
terminal_vof,grouped_oof_ridge,0.3,52,16,0.25,0.07692307692307693,0.1875,0.9795918367346939
terminal_vof,random,0.1,52,6,0.0,0.0,0.16666666666666666,0.5918367346938775
terminal_vof,random,0.2,52,11,-0.045454545454545456,-0.009615384615384616,0.09090909090909091,0.5918367346938775
terminal_vof,random,0.3,52,16,-0.03125,-0.009615384615384616,0.0625,0.5918367346938775
terminal_vof,oracle,0.1,52,6,0.6666666666666666,0.07692307692307693,0.5,1.0
terminal_vof,oracle,0.2,52,11,0.36363636363636365,0.07692307692307693,0.2727272727272727,1.0
terminal_vof,oracle,0.3,52,16,0.25,0.07692307692307693,0.1875,1.0
terminal_vof,value_range,0.1,52,6,-0.08333333333333333,-0.009615384615384616,0.0,0.6258503401360545
terminal_vof,value_range,0.2,52,11,-0.3181818181818182,-0.0673076923076923,0.0,0.6258503401360545
terminal_vof,value_range,0.3,52,16,-0.03125,-0.009615384615384616,0.0625,0.6258503401360545
terminal_vof,action_first_step_l2_std,0.1,52,6,-0.08333333333333333,-0.009615384615384616,0.16666666666666666,0.7278911564625851
terminal_vof,action_first_step_l2_std,0.2,52,11,-0.045454545454545456,-0.009615384615384616,0.09090909090909091,0.7278911564625851
terminal_vof,action_first_step_l2_std,0.3,52,16,0.0,0.0,0.125,0.7278911564625851
terminal_vof,planning_predicted_proprio_error,0.1,52,6,0.08333333333333333,0.009615384615384616,0.16666666666666666,0.5102040816326531
terminal_vof,planning_predicted_proprio_error,0.2,52,11,0.0,0.0,0.09090909090909091,0.5102040816326531
terminal_vof,planning_predicted_proprio_error,0.3,52,16,0.0,0.0,0.0625,0.5102040816326531
