id,factor,seed_group,arm,selected,count,fraction
Environment_base_t0_i0_g0,Environment,0,action_medoid,0,7,0.3888888888888889
Environment_base_t0_i0_g0,Environment,0,action_medoid,1,8,0.4444444444444444
Environment_base_t0_i0_g0,Environment,0,action_medoid,2,3,0.16666666666666666
Environment_base_t0_i0_g0,Environment,0,decoder_medoid,0,3,0.16666666666666666
Environment_base_t0_i0_g0,Environment,0,decoder_medoid,1,14,0.7777777777777778
Environment_base_t0_i0_g0,Environment,0,decoder_medoid,2,1,0.05555555555555555
Environment_base_t0_i0_g0,Environment,0,first,0,18,1.0
Environment_base_t0_i0_g0,Environment,0,max_value,0,2,0.1111111111111111
Environment_base_t0_i0_g0,Environment,0,max_value,1,5,0.2777777777777778
Environment_base_t0_i0_g0,Environment,0,max_value,2,11,0.6111111111111112
Environment_base_t0_i0_g1,Environment,1,action_medoid,0,9,0.5
Environment_base_t0_i0_g1,Environment,1,action_medoid,1,8,0.4444444444444444
Environment_base_t0_i0_g1,Environment,1,action_medoid,2,1,0.05555555555555555
Environment_base_t0_i0_g1,Environment,1,decoder_medoid,0,11,0.6111111111111112
Environment_base_t0_i0_g1,Environment,1,decoder_medoid,1,7,0.3888888888888889
Environment_base_t0_i0_g1,Environment,1,first,0,18,1.0
Environment_base_t0_i0_g1,Environment,1,max_value,0,1,0.05555555555555555
Environment_base_t0_i0_g1,Environment,1,max_value,1,14,0.7777777777777778
Environment_base_t0_i0_g1,Environment,1,max_value,2,3,0.16666666666666666
Environment_base_t0_i0_g2,Environment,2,action_medoid,0,7,0.3888888888888889
Environment_base_t0_i0_g2,Environment,2,action_medoid,1,5,0.2777777777777778
Environment_base_t0_i0_g2,Environment,2,action_medoid,2,6,0.3333333333333333
Environment_base_t0_i0_g2,Environment,2,decoder_medoid,0,9,0.5
Environment_base_t0_i0_g2,Environment,2,decoder_medoid,1,2,0.1111111111111111
Environment_base_t0_i0_g2,Environment,2,decoder_medoid,2,7,0.3888888888888889
Environment_base_t0_i0_g2,Environment,2,first,0,18,1.0
Environment_base_t0_i0_g2,Environment,2,max_value,0,7,0.3888888888888889
Environment_base_t0_i0_g2,Environment,2,max_value,1,11,0.6111111111111112
Environment_base_t0_i1_g0,Environment,0,action_medoid,1,16,0.8888888888888888
Environment_base_t0_i1_g0,Environment,0,action_medoid,2,2,0.1111111111111111
Environment_base_t0_i1_g0,Environment,0,decoder_medoid,1,18,1.0
Environment_base_t0_i1_g0,Environment,0,first,0,18,1.0
Environment_base_t0_i1_g0,Environment,0,max_value,0,1,0.05555555555555555
Environment_base_t0_i1_g0,Environment,0,max_value,1,13,0.7222222222222222
Environment_base_t0_i1_g0,Environment,0,max_value,2,4,0.2222222222222222
Environment_base_t0_i1_g1,Environment,1,action_medoid,0,5,0.2777777777777778
Environment_base_t0_i1_g1,Environment,1,action_medoid,1,10,0.5555555555555556
Environment_base_t0_i1_g1,Environment,1,action_medoid,2,3,0.16666666666666666
Environment_base_t0_i1_g1,Environment,1,decoder_medoid,0,8,0.4444444444444444
Environment_base_t0_i1_g1,Environment,1,decoder_medoid,1,10,0.5555555555555556
Environment_base_t0_i1_g1,Environment,1,first,0,18,1.0
