factor,seed_group,arm,count,sum,mean
Environment,0,action_medoid,20,8,0.4
Environment,0,decoder_medoid,20,9,0.45
Environment,0,first,20,8,0.4
Environment,0,max_value,20,8,0.4
Environment,1,action_medoid,20,8,0.4
Environment,1,decoder_medoid,20,8,0.4
Environment,1,first,20,8,0.4
Environment,1,max_value,20,8,0.4
Environment,2,action_medoid,20,8,0.4
Environment,2,decoder_medoid,20,9,0.45
Environment,2,first,20,8,0.4
Environment,2,max_value,20,8,0.4
Object,0,action_medoid,20,19,0.95
Object,0,decoder_medoid,20,19,0.95
Object,0,first,20,19,0.95
Object,0,max_value,20,20,1.0
Object,1,action_medoid,20,19,0.95
Object,1,decoder_medoid,20,19,0.95
Object,1,first,20,19,0.95
Object,1,max_value,20,18,0.9
Object,2,action_medoid,20,19,0.95
Object,2,decoder_medoid,20,19,0.95
Object,2,first,20,18,0.9
Object,2,max_value,20,19,0.95
Position,0,action_medoid,20,9,0.45
Position,0,decoder_medoid,20,9,0.45
Position,0,first,20,10,0.5
Position,0,max_value,20,10,0.5
Position,1,action_medoid,20,9,0.45
Position,1,decoder_medoid,20,10,0.5
Position,1,first,20,6,0.3
Position,1,max_value,20,10,0.5
Position,2,action_medoid,20,11,0.55
Position,2,decoder_medoid,20,10,0.5
Position,2,first,20,9,0.45
Position,2,max_value,20,11,0.55
