factor,level,task_id,arm,count,sum,mean
Environment,,0,action_medoid,6,0,0.0
Environment,,0,decoder_medoid,6,0,0.0
Environment,,0,first,6,0,0.0
Environment,,0,max_value,6,0,0.0
Environment,,1,action_medoid,6,6,1.0
Environment,,1,decoder_medoid,6,6,1.0
Environment,,1,first,6,6,1.0
Environment,,1,max_value,6,6,1.0
Environment,,2,action_medoid,6,0,0.0
Environment,,2,decoder_medoid,6,0,0.0
Environment,,2,first,6,0,0.0
Environment,,2,max_value,6,0,0.0
Environment,,3,action_medoid,6,6,1.0
Environment,,3,decoder_medoid,6,6,1.0
Environment,,3,first,6,6,1.0
Environment,,3,max_value,6,6,1.0
Environment,,4,action_medoid,6,3,0.5
Environment,,4,decoder_medoid,6,3,0.5
Environment,,4,first,6,3,0.5
Environment,,4,max_value,6,3,0.5
Environment,,5,action_medoid,6,6,1.0
Environment,,5,decoder_medoid,6,6,1.0
Environment,,5,first,6,6,1.0
Environment,,5,max_value,6,6,1.0
Environment,,6,action_medoid,6,0,0.0
Environment,,6,decoder_medoid,6,0,0.0
Environment,,6,first,6,0,0.0
Environment,,6,max_value,6,0,0.0
Environment,,7,action_medoid,6,0,0.0
Environment,,7,decoder_medoid,6,0,0.0
Environment,,7,first,6,0,0.0
Environment,,7,max_value,6,0,0.0
Environment,,8,action_medoid,6,0,0.0
Environment,,8,decoder_medoid,6,0,0.0
Environment,,8,first,6,0,0.0
Environment,,8,max_value,6,0,0.0
Environment,,9,action_medoid,6,3,0.5
Environment,,9,decoder_medoid,6,5,0.8333333333333334
Environment,,9,first,6,3,0.5
Environment,,9,max_value,6,3,0.5
Object,,0,action_medoid,6,3,0.5
Object,,0,decoder_medoid,6,3,0.5
Object,,0,first,6,2,0.3333333333333333
Object,,0,max_value,6,3,0.5
Object,,1,action_medoid,6,6,1.0
Object,,1,decoder_medoid,6,6,1.0
Object,,1,first,6,6,1.0
Object,,1,max_value,6,6,1.0
Object,,2,action_medoid,6,6,1.0
Object,,2,decoder_medoid,6,6,1.0
Object,,2,first,6,6,1.0
Object,,2,max_value,6,6,1.0
Object,,3,action_medoid,6,6,1.0
Object,,3,decoder_medoid,6,6,1.0
Object,,3,first,6,6,1.0
Object,,3,max_value,6,6,1.0
Object,,4,action_medoid,6,6,1.0
Object,,4,decoder_medoid,6,6,1.0
Object,,4,first,6,6,1.0
Object,,4,max_value,6,6,1.0
Object,,5,action_medoid,6,6,1.0
Object,,5,decoder_medoid,6,6,1.0
Object,,5,first,6,6,1.0
Object,,5,max_value,6,6,1.0
Object,,6,action_medoid,6,6,1.0
Object,,6,decoder_medoid,6,6,1.0
Object,,6,first,6,6,1.0
Object,,6,max_value,6,6,1.0
Object,,7,action_medoid,6,6,1.0
Object,,7,decoder_medoid,6,6,1.0
Object,,7,first,6,6,1.0
Object,,7,max_value,6,6,1.0
Object,,8,action_medoid,6,6,1.0
Object,,8,decoder_medoid,6,6,1.0
Object,,8,first,6,6,1.0
Object,,8,max_value,6,6,1.0
Object,,9,action_medoid,6,6,1.0
Object,,9,decoder_medoid,6,6,1.0
Object,,9,first,6,6,1.0
Object,,9,max_value,6,6,1.0
Position,x0.2,0,action_medoid,3,0,0.0
Position,x0.2,0,decoder_medoid,3,0,0.0
Position,x0.2,0,first,3,0,0.0
Position,x0.2,0,max_value,3,0,0.0
Position,x0.2,1,action_medoid,3,3,1.0
Position,x0.2,1,decoder_medoid,3,3,1.0
Position,x0.2,1,first,3,2,0.6666666666666666
Position,x0.2,1,max_value,3,3,1.0
Position,x0.2,2,action_medoid,3,2,0.6666666666666666
Position,x0.2,2,decoder_medoid,3,1,0.3333333333333333
Position,x0.2,2,first,3,3,1.0
Position,x0.2,2,max_value,3,2,0.6666666666666666
Position,x0.2,3,action_medoid,3,0,0.0
Position,x0.2,3,decoder_medoid,3,0,0.0
Position,x0.2,3,first,3,0,0.0
Position,x0.2,3,max_value,3,0,0.0
Position,x0.2,4,action_medoid,3,0,0.0
Position,x0.2,4,decoder_medoid,3,1,0.3333333333333333
Position,x0.2,4,first,3,0,0.0
Position,x0.2,4,max_value,3,2,0.6666666666666666
Position,x0.2,5,action_medoid,3,2,0.6666666666666666
Position,x0.2,5,decoder_medoid,3,2,0.6666666666666666
Position,x0.2,5,first,3,3,1.0
Position,x0.2,5,max_value,3,2,0.6666666666666666
Position,x0.2,6,action_medoid,3,3,1.0
Position,x0.2,6,decoder_medoid,3,3,1.0
Position,x0.2,6,first,3,3,1.0
Position,x0.2,6,max_value,3,3,1.0
Position,x0.2,7,action_medoid,3,0,0.0
Position,x0.2,7,decoder_medoid,3,0,0.0
Position,x0.2,7,first,3,0,0.0
Position,x0.2,7,max_value,3,0,0.0
Position,x0.2,8,action_medoid,3,0,0.0
Position,x0.2,8,decoder_medoid,3,0,0.0
Position,x0.2,8,first,3,0,0.0
Position,x0.2,8,max_value,3,0,0.0
Position,x0.2,9,action_medoid,3,1,0.3333333333333333
Position,x0.2,9,decoder_medoid,3,1,0.3333333333333333
Position,x0.2,9,first,3,1,0.3333333333333333
Position,x0.2,9,max_value,3,2,0.6666666666666666
Position,y0.2,0,action_medoid,3,3,1.0
Position,y0.2,0,decoder_medoid,3,3,1.0
Position,y0.2,0,first,3,3,1.0
Position,y0.2,0,max_value,3,2,0.6666666666666666
Position,y0.2,1,action_medoid,3,3,1.0
Position,y0.2,1,decoder_medoid,3,3,1.0
Position,y0.2,1,first,3,2,0.6666666666666666
Position,y0.2,1,max_value,3,3,1.0
Position,y0.2,2,action_medoid,3,1,0.3333333333333333
Position,y0.2,2,decoder_medoid,3,0,0.0
Position,y0.2,2,first,3,0,0.0
Position,y0.2,2,max_value,3,0,0.0
Position,y0.2,3,action_medoid,3,0,0.0
Position,y0.2,3,decoder_medoid,3,0,0.0
Position,y0.2,3,first,3,0,0.0
Position,y0.2,3,max_value,3,0,0.0
Position,y0.2,4,action_medoid,3,2,0.6666666666666666
Position,y0.2,4,decoder_medoid,3,2,0.6666666666666666
Position,y0.2,4,first,3,1,0.3333333333333333
Position,y0.2,4,max_value,3,2,0.6666666666666666
Position,y0.2,5,action_medoid,3,3,1.0
Position,y0.2,5,decoder_medoid,3,3,1.0
Position,y0.2,5,first,3,2,0.6666666666666666
Position,y0.2,5,max_value,3,3,1.0
