factor,arm,n,successes,micro_sr,mean_steps,mean_seconds,mean_candidate_calls,task_balanced_sr
Environment,decoder_full_h8,30,12,0.4,226.13333333333333,63.34574679931005,85.2,0.4
Environment,decoder_medoid,30,15,0.5,206.96666666666667,54.910314581543204,40.2,0.5
Environment,decoder_prefix_h8,30,12,0.4,225.13333333333333,63.27693600803614,84.9,0.4
Environment,max_value,30,15,0.5,206.16666666666666,54.33704795626303,40.2,0.5
Environment,max_value_h8,30,13,0.43333333333333335,219.53333333333333,61.78653206527233,83.1,0.4333333333333333
Object,decoder_full_h8,30,27,0.9,150.4,40.8630090970546,57.1,0.9
Object,decoder_medoid,30,30,1.0,138.73333333333332,34.42356860041618,27.4,1.0
Object,decoder_prefix_h8,30,27,0.9,152.0,41.41113237986962,57.8,0.9
Object,max_value,30,28,0.9333333333333333,146.53333333333333,36.53656558692455,29.0,0.9333333333333333
Object,max_value_h8,30,28,0.9333333333333333,146.36666666666667,40.027591013535854,55.9,0.9333333333333333
Position,decoder_full_h8,60,26,0.43333333333333335,247.26666666666668,66.58860951556514,93.5,0.4333333333333333
Position,decoder_medoid,60,29,0.48333333333333334,242.61666666666667,60.0561691056937,46.9,0.4833333333333333
Position,decoder_prefix_h8,60,29,0.48333333333333334,241.31666666666666,65.00320028426746,91.25,0.4833333333333333
Position,max_value,60,31,0.5166666666666667,241.43333333333334,59.69939429728935,46.75,0.5166666666666667
Position,max_value_h8,60,25,0.4166666666666667,249.86666666666667,67.3070517991359,94.3,0.41666666666666663
