factor,arm,n,successes,micro_sr,mean_steps,mean_seconds,mean_candidate_calls,task_balanced_sr
Environment,action_medoid,60,24,0.4,220.68333333333334,58.640679543092844,42.85,0.4
Environment,decoder_medoid,60,26,0.43333333333333335,216.06666666666666,57.459670263653,41.9,0.4333333333333333
Environment,first,60,24,0.4,220.9,42.410939002844195,14.266666666666667,0.4
Environment,fixed_candidate_1,60,25,0.4166666666666667,217.81666666666666,39.387336972231665,14.1,0.4166666666666667
Environment,fixed_candidate_2,60,24,0.4,220.31666666666666,39.71592349043737,14.3,0.4
Environment,max_value,60,24,0.4,220.25,58.29376852822801,42.75,0.4
Object,action_medoid,60,57,0.95,143.76666666666668,35.45383894760162,28.2,0.95
Object,decoder_medoid,60,57,0.95,143.35,35.57524246604492,28.25,0.95
Object,first,60,56,0.9333333333333333,144.51666666666668,25.702006548953552,9.466666666666667,0.9333333333333333
Object,fixed_candidate_1,60,57,0.95,142.38333333333333,24.141441528188686,9.283333333333333,0.95
Object,fixed_candidate_2,60,56,0.9333333333333333,145.2,24.80619078464806,9.55,0.9333333333333333
Object,max_value,60,57,0.95,145.73333333333332,36.13054522325595,28.8,0.95
Position,action_medoid,60,29,0.48333333333333334,237.31666666666666,58.337279066008826,45.8,0.4833333333333333
Position,decoder_medoid,60,29,0.48333333333333334,242.61666666666667,60.0561691056937,46.9,0.4833333333333333
Position,first,60,25,0.4166666666666667,248.73333333333332,43.78914123140275,16.033333333333335,0.4166666666666667
Position,fixed_candidate_1,60,28,0.4666666666666667,237.08333333333334,41.0196498548612,15.266666666666667,0.4666666666666667
Position,fixed_candidate_2,60,29,0.48333333333333334,241.41666666666666,41.75021953762819,15.533333333333333,0.4833333333333333
Position,max_value,60,31,0.5166666666666667,241.43333333333334,59.69939429728935,46.75,0.5166666666666667
