planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value_gripper_requery,0.0,libero_object_env,1,40,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,1,41,1,1,1.0,268.0,0.0
max_value_gripper_requery,0.0,libero_object_env,1,42,1,1,1.0,113.0,0.0
max_value_gripper_requery,0.0,libero_object_env,1,43,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,1,44,1,1,1.0,117.0,0.0
max_value_gripper_requery,0.0,libero_object_env,1,45,1,1,1.0,183.0,0.0
max_value_gripper_requery,0.0,libero_object_env,1,46,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,1,47,1,1,1.0,174.0,0.0
max_value_gripper_requery,0.0,libero_object_env,1,48,1,1,1.0,119.0,0.0
max_value_gripper_requery,0.0,libero_object_env,1,49,1,1,1.0,117.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,40,1,1,1.0,120.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,41,1,1,1.0,143.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,42,1,1,1.0,120.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,43,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,44,1,1,1.0,127.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,45,1,1,1.0,138.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,46,1,1,1.0,120.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,47,1,1,1.0,120.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,48,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,3,49,1,1,1.0,160.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,40,1,1,1.0,226.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,41,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,42,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,43,1,1,1.0,177.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,44,1,1,1.0,241.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,45,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,46,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,47,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,48,1,0,0.0,280.0,0.0
max_value_gripper_requery,0.0,libero_object_env,4,49,1,0,0.0,280.0,0.0
