method,factor,case_id,suite,task_id,init_state_id,rollout_seed,success,final_t,query_count,h16_reference_queries,query_multiplier,requery_count,trigger_rate,max_value_selected_rate,timeout,time_to_success,target_drop_candidate,wrong_object_interaction,official_safety_violation,state_key
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,40,8200000,True,151,10,10,1.0,0,0.0,1.0,False,151.0,False,False,False,Environment|libero_object_env|task1|init40|seed8200000
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,41,8210000,True,151,10,10,1.0,0,0.0,1.0,False,151.0,False,True,False,Environment|libero_object_env|task1|init41|seed8210000
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,42,8220000,True,117,8,8,1.0,0,0.0,1.0,False,117.0,False,False,False,Environment|libero_object_env|task1|init42|seed8220000
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,43,8230000,True,154,10,10,1.0,0,0.0,1.0,False,154.0,False,False,False,Environment|libero_object_env|task1|init43|seed8230000
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,44,8240000,True,117,8,8,1.0,0,0.0,1.0,False,117.0,False,False,False,Environment|libero_object_env|task1|init44|seed8240000
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,45,8250000,True,175,11,11,1.0,0,0.0,1.0,False,175.0,False,False,False,Environment|libero_object_env|task1|init45|seed8250000
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,46,8260000,True,152,10,10,1.0,0,0.0,1.0,False,152.0,False,False,False,Environment|libero_object_env|task1|init46|seed8260000
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,47,8270000,True,151,10,10,1.0,0,0.0,1.0,False,151.0,False,False,False,Environment|libero_object_env|task1|init47|seed8270000
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,48,8280000,True,120,8,8,1.0,0,0.0,1.0,False,120.0,False,False,False,Environment|libero_object_env|task1|init48|seed8280000
maxV-H16,Environment,route_transfer_environment,libero_object_env,1,49,8290000,True,117,8,8,1.0,0,0.0,1.0,False,117.0,False,False,False,Environment|libero_object_env|task1|init49|seed8290000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,40,8300000,True,120,8,8,1.0,0,0.0,1.0,False,120.0,False,False,False,Environment|libero_object_env|task3|init40|seed8300000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,41,8310000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task3|init41|seed8310000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,42,8320000,True,120,8,8,1.0,0,0.0,1.0,False,120.0,False,False,False,Environment|libero_object_env|task3|init42|seed8320000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,43,8330000,True,151,10,10,1.0,0,0.0,1.0,False,151.0,False,False,False,Environment|libero_object_env|task3|init43|seed8330000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,44,8340000,True,115,8,8,1.0,0,0.0,1.0,False,115.0,False,False,False,Environment|libero_object_env|task3|init44|seed8340000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,45,8350000,True,119,8,8,1.0,0,0.0,1.0,False,119.0,False,False,False,Environment|libero_object_env|task3|init45|seed8350000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,46,8360000,True,120,8,8,1.0,0,0.0,1.0,False,120.0,False,False,False,Environment|libero_object_env|task3|init46|seed8360000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,47,8370000,True,116,8,8,1.0,0,0.0,1.0,False,116.0,False,False,False,Environment|libero_object_env|task3|init47|seed8370000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,48,8380000,True,112,7,7,1.0,0,0.0,1.0,False,112.0,False,False,False,Environment|libero_object_env|task3|init48|seed8380000
maxV-H16,Environment,route_transfer_environment,libero_object_env,3,49,8390000,True,120,8,8,1.0,0,0.0,1.0,False,120.0,False,False,False,Environment|libero_object_env|task3|init49|seed8390000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,40,8400000,True,227,15,15,1.0,0,0.0,1.0,False,227.0,False,False,False,Environment|libero_object_env|task4|init40|seed8400000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,41,8410000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task4|init41|seed8410000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,42,8420000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task4|init42|seed8420000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,43,8430000,True,186,12,12,1.0,0,0.0,1.0,False,186.0,False,False,False,Environment|libero_object_env|task4|init43|seed8430000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,44,8440000,True,277,18,18,1.0,0,0.0,1.0,False,277.0,False,False,False,Environment|libero_object_env|task4|init44|seed8440000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,45,8450000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task4|init45|seed8450000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,46,8460000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task4|init46|seed8460000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,47,8470000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task4|init47|seed8470000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,48,8480000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task4|init48|seed8480000
maxV-H16,Environment,route_transfer_environment,libero_object_env,4,49,8490000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task4|init49|seed8490000
maxV-H16,Object,route_transfer_object,libero_object_object,1,40,8100000,True,119,8,8,1.0,0,0.0,1.0,False,119.0,False,False,False,Object|libero_object_object|task1|init40|seed8100000
