feature,episodes,failures,cases,raw_auc_high_predicts_fail,case_controlled_auc_high_predicts_fail,case_controlled_oriented_auc,risk_direction
latent_action_first_step_copy_l2_std_mean_over_samples__delta,168,68,7,0.7342647058823529,0.5745588235294118,0.5745588235294118,high
candidate_action_internal_consistency_mean__delta,168,68,7,0.7342647058823529,0.5745588235294118,0.5745588235294118,high
candidate_action_consensus_first_mean__delta,168,68,7,0.4516176470588235,0.5504411764705882,0.5504411764705882,high
action_first_step_l2_std__delta,168,68,7,0.4486764705882353,0.5497058823529412,0.5497058823529412,high
value_range__mean,168,68,7,0.5801470588235295,0.45426470588235296,0.545735294117647,low
value_std__mean,168,68,7,0.5920588235294117,0.4632352941176471,0.5367647058823529,low
value_range__max,168,68,7,0.5754411764705882,0.46544117647058825,0.5345588235294118,low
candidate_action_consensus_first_mean__max,168,68,7,0.5654411764705882,0.46705882352941175,0.5329411764705883,low
action_first_step_l2_std__max,168,68,7,0.5673529411764706,0.47352941176470587,0.5264705882352941,low
planning_predicted_proprio_error__delta,168,68,7,0.7544117647058823,0.5258823529411765,0.5258823529411765,high
candidate_action_consensus_first_mean__mean,168,68,7,0.5780882352941177,0.4772058823529412,0.5227941176470587,low
candidate_value_mean__delta,168,68,7,0.7464705882352941,0.5222058823529412,0.5222058823529412,high
latent_action_copy_std_mean_mean_over_samples__delta,168,68,7,0.7963235294117647,0.5197058823529411,0.5197058823529411,high
latent_action_first_step_copy_l2_std_mean_over_samples__mean,168,68,7,0.49529411764705883,0.519264705882353,0.519264705882353,high
candidate_action_internal_consistency_mean__mean,168,68,7,0.49529411764705883,0.519264705882353,0.519264705882353,high
value_std__max,168,68,7,0.5920588235294117,0.4808823529411765,0.5191176470588235,low
action_first_step_l2_std__mean,168,68,7,0.5770588235294117,0.4819117647058824,0.5180882352941176,low
candidate_value_mean__max,168,68,7,0.6992647058823529,0.5166176470588235,0.5166176470588235,high
latent_action_copy_std_mean_mean_over_samples__max,168,68,7,0.48558823529411765,0.5155882352941177,0.5155882352941177,high
latent_value_element_std_mean_mean_over_samples__max,168,68,7,0.2933823529411765,0.48867647058823527,0.5113235294117647,low
planning_predicted_proprio_error__max,168,68,7,0.6777941176470588,0.5104411764705883,0.5104411764705883,high
planning_predicted_proprio_error__mean,168,68,7,0.6554411764705882,0.5095588235294117,0.5095588235294117,high
latent_action_copy_std_mean_mean_over_samples__mean,168,68,7,0.47058823529411764,0.5091176470588236,0.5091176470588236,high
candidate_action_internal_consistency_mean__max,168,68,7,0.47941176470588237,0.5058823529411764,0.5058823529411764,high
latent_action_first_step_copy_l2_std_mean_over_samples__max,168,68,7,0.47941176470588237,0.5058823529411764,0.5058823529411764,high
value_range__delta,168,68,7,0.5008823529411764,0.5054411764705883,0.5054411764705883,high
candidate_value_mean__mean,168,68,7,0.6802941176470588,0.5030882352941176,0.5030882352941176,high
value_std__delta,168,68,7,0.49264705882352944,0.49823529411764705,0.5017647058823529,low
latent_value_element_std_mean_mean_over_samples__delta,168,68,7,0.6341176470588236,0.5013235294117647,0.5013235294117647,high
latent_value_element_std_mean_mean_over_samples__mean,168,68,7,0.2616176470588235,0.5004411764705883,0.5004411764705883,high
