source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,planning_surrogate_error_threshold,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,surrogate_alarm_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160000,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,155,12,success,False,False,12,0.33333333333333337,0.0,0.3333333333333333,0.08333333333333333,13.333333333333334,10.0,1.2
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160097,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,160,12,success,False,False,12,0.33333333333333337,0.0,0.3333333333333333,0.0,13.333333333333334,10.0,1.2
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160194,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,170,14,success,False,False,14,0.4285714285714286,0.0,0.42857142857142855,0.07142857142857142,12.571428571428571,11.0,1.2727272727272727
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160291,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,154,11,success,False,False,11,0.09090909090909094,0.0,0.09090909090909091,0.09090909090909091,15.272727272727273,10.0,1.1
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160388,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,135,12,success,False,False,12,0.5833333333333333,0.0,0.5833333333333334,0.0,11.333333333333334,9.0,1.3333333333333333
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160485,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,False,320,28,target_drop_candidate,True,False,28,0.5357142857142857,0.0,0.5357142857142857,0.35714285714285715,11.714285714285714,20.0,1.4
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160582,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,162,13,success,False,False,13,0.3846153846153846,0.0,0.38461538461538464,0.15384615384615385,12.923076923076923,11.0,1.1818181818181819
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160679,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,127,10,success,False,False,10,0.4,0.0,0.4,0.0,12.8,8.0,1.25
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160776,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,130,11,success,False,False,11,0.4545454545454546,0.0,0.45454545454545453,0.0,12.363636363636363,9.0,1.2222222222222223
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160873,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,176,13,success,False,False,13,0.3076923076923077,0.0,0.3076923076923077,0.07692307692307693,13.538461538461538,11.0,1.1818181818181819
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160970,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,281,22,success,False,False,22,0.36363636363636365,0.0,0.36363636363636365,0.09090909090909091,13.090909090909092,18.0,1.2222222222222223
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161067,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,167,14,success,False,False,14,0.4285714285714286,0.0,0.42857142857142855,0.07142857142857142,12.571428571428571,11.0,1.2727272727272727
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161164,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,130,12,success,False,False,12,0.5,0.0,0.5,0.08333333333333333,12.0,9.0,1.3333333333333333
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161261,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,161,13,success,False,False,13,0.3076923076923077,0.0,0.3076923076923077,0.15384615384615385,13.538461538461538,11.0,1.1818181818181819
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161358,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,137,12,success,False,False,12,0.41666666666666663,0.0,0.4166666666666667,0.16666666666666666,12.666666666666666,9.0,1.3333333333333333
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161455,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,127,12,success,False,False,12,0.6666666666666667,0.0,0.6666666666666666,0.0,10.666666666666666,8.0,1.5
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161552,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,160,12,success,False,False,12,0.25,0.0,0.25,0.0,14.0,10.0,1.2
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161649,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,155,13,success,False,False,13,0.3846153846153846,0.0,0.38461538461538464,0.0,12.923076923076923,10.0,1.3
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161746,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,174,15,success,False,False,15,0.5333333333333333,0.0,0.5333333333333333,0.0,11.733333333333333,11.0,1.3636363636363635
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161843,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,159,13,success,False,False,13,0.46153846153846156,0.0,0.46153846153846156,0.0,12.307692307692308,10.0,1.3
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161940,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,150,12,success,False,False,12,0.41666666666666663,0.0,0.4166666666666667,0.3333333333333333,12.666666666666666,10.0,1.2
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162037,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,147,14,success,False,False,14,0.5714285714285714,0.0,0.5714285714285714,0.14285714285714285,11.428571428571429,10.0,1.4
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162134,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,False,320,24,timeout_no_goal,False,False,24,0.29166666666666663,0.0,0.2916666666666667,0.2916666666666667,13.666666666666666,20.0,1.2
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162231,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,152,13,success,False,False,13,0.5384615384615384,0.0,0.5384615384615384,0.0,11.692307692307692,10.0,1.3
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160000,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,132,9,success,False,False,9,0.0,0.0,0.0,0.0,16.0,9.0,1.0
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160097,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,166,11,success,False,False,11,0.0,0.0,0.0,0.09090909090909091,16.0,11.0,1.0
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160194,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,154,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160291,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,156,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160388,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,173,11,success,False,False,11,0.0,0.0,0.0,0.09090909090909091,16.0,11.0,1.0
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160485,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,155,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160582,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,163,11,success,False,False,11,0.0,0.0,0.0,0.09090909090909091,16.0,11.0,1.0
factorial_selection_horizon_20260820/factorial_selection_horizon_20260820__goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160679,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,137,9,success,False,False,9,0.0,0.0,0.0,0.0,16.0,9.0,1.0
