case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_surrogate_alarm_rate,mean_selected_open_loop_steps
goal_mug_task9_init0_factorial,max_value,action_l1,24,23,19,0.9583333333333334,0.7916666666666666,-0.16666666666666666,1,5,18,0.21875,10.541666666666666,12.041666666666666,1.0,1.1422924901185771,0.41645622895622897,0.0,0.0,0.11447811447811447,16.0
goal_mug_task9_init0_factorial,max_value,horizon_only_l1_h8,24,23,19,0.9583333333333334,0.7916666666666666,-0.16666666666666666,1,5,18,0.21875,10.541666666666666,15.375,1.2808186026936028,1.458498023715415,0.0,0.0,0.4251607304732305,0.10389685545935545,12.598714156214157
goal_mug_task9_init0_factorial,max_value,requery_l1_h8,24,23,22,0.9583333333333334,0.9166666666666666,-0.041666666666666664,1,2,21,1.0,10.541666666666666,14.041666666666666,1.2687079124579126,1.33201581027668,0.41595800033300034,0.0,0.41595800033300034,0.09031766844266843,12.672335997335997
long_milk_task9_init0_factorial,max_value,action_l1,24,17,18,0.7083333333333334,0.75,0.041666666666666664,4,3,17,1.0,21.333333333333332,20.625,1.0,0.966796875,0.44932319518716585,0.0,0.0,0.1121045008912656,16.0
long_milk_task9_init0_factorial,max_value,horizon_only_l1_h8,24,17,18,0.7083333333333334,0.75,0.041666666666666664,5,4,15,1.0,21.333333333333332,25.25,1.244933712121212,1.18359375,0.0,0.0,0.388333171428636,0.11363888075778077,12.893334628570912
long_milk_task9_init0_factorial,max_value,requery_l1_h8,24,17,20,0.7083333333333334,0.8333333333333334,0.125,4,1,19,0.375,21.333333333333332,23.958333333333332,1.2423035502079618,1.123046875,0.3904640223116103,0.0,0.3904640223116103,0.111346813339753,12.876287821507114
long_mug_task4_init0_factorial,max_value,action_l1,24,21,18,0.875,0.75,-0.125,2,5,17,0.453125,17.166666666666668,19.5,1.0,1.1359223300970873,0.3777777777777778,0.0,0.0,0.056313131313131315,16.0
long_mug_task4_init0_factorial,max_value,horizon_only_l1_h8,24,21,22,0.875,0.9166666666666666,0.041666666666666664,3,2,19,1.0,17.166666666666668,19.958333333333332,1.2717005217005217,1.1626213592233008,0.0,0.0,0.42984723086501014,0.024616105452108766,12.561222153079918
long_mug_task4_init0_factorial,max_value,requery_l1_h8,24,21,22,0.875,0.9166666666666666,0.041666666666666664,3,2,19,1.0,17.166666666666668,19.916666666666668,1.260515873015873,1.1601941747572815,0.4183086950888808,0.0,0.4183086950888808,0.025012397303418976,12.653530439288952
milk_task5_init0_factorial,max_value,action_l1,24,10,10,0.4166666666666667,0.4166666666666667,0.0,2,2,20,1.0,11.833333333333334,11.791666666666666,1.0,0.9964788732394365,0.43743386243386234,0.0,0.0,0.27566137566137566,16.0
