baseline_strategy_id,strategy_id,event,paired_rollouts,baseline_event_count,strategy_event_count,baseline_event_rate,strategy_event_rate,delta_event_rate,event_reduced,event_increased,event_unchanged,mcnemar_exact_p
max_value,action_l1,target_drop_candidate,168,66,71,0.39285714285714285,0.4226190476190476,0.029761904761904767,13,18,137,0.47312965989112854
max_value,action_l1,wrong_object_interaction_candidate,168,1,2,0.005952380952380952,0.011904761904761904,0.005952380952380952,1,2,165,1.0
max_value,action_l1,timeout_no_goal,168,18,21,0.10714285714285714,0.125,0.017857142857142863,7,10,151,0.629058837890625
max_value,action_l1,kinematic_deadlock_candidate,168,4,3,0.023809523809523808,0.017857142857142856,-0.005952380952380952,4,3,161,1.0
max_value,horizon_only_l1_h8,target_drop_candidate,168,66,35,0.39285714285714285,0.20833333333333334,-0.1845238095238095,38,7,123,3.1213096463034162e-06
max_value,horizon_only_l1_h8,wrong_object_interaction_candidate,168,1,1,0.005952380952380952,0.005952380952380952,0.0,1,1,166,1.0
max_value,horizon_only_l1_h8,timeout_no_goal,168,18,35,0.10714285714285714,0.20833333333333334,0.1011904761904762,12,29,127,0.011507789735333063
max_value,horizon_only_l1_h8,kinematic_deadlock_candidate,168,4,0,0.023809523809523808,0.0,-0.023809523809523808,4,0,164,0.125
max_value,requery_l1_h8,target_drop_candidate,168,66,37,0.39285714285714285,0.22023809523809523,-0.17261904761904762,35,6,127,4.873598300036974e-06
max_value,requery_l1_h8,wrong_object_interaction_candidate,168,1,1,0.005952380952380952,0.005952380952380952,0.0,0,0,168,1.0
max_value,requery_l1_h8,timeout_no_goal,168,18,29,0.10714285714285714,0.17261904761904762,0.06547619047619048,10,21,137,0.07075554598122835
max_value,requery_l1_h8,kinematic_deadlock_candidate,168,4,2,0.023809523809523808,0.011904761904761904,-0.011904761904761904,3,1,164,0.625
