case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_surrogate_alarm_rate,mean_selected_open_loop_steps
goal_mug_task9_init0_factorial,action_l1,horizon_only_l1_h8,24,19,19,0.7916666666666666,0.7916666666666666,0.0,1,1,22,1.0,12.041666666666666,15.375,1.2808186026936028,1.2768166089965398,0.0,0.0,0.4251607304732305,0.10389685545935545,12.598714156214157
goal_mug_task9_init0_factorial,action_l1,max_value,24,19,23,0.7916666666666666,0.9583333333333334,0.16666666666666666,5,1,18,0.21875,12.041666666666666,10.541666666666666,1.0,0.8754325259515571,0.0,0.0,0.0,0.0775462962962963,16.0
goal_mug_task9_init0_factorial,action_l1,requery_l1_h8,24,19,22,0.7916666666666666,0.9166666666666666,0.125,4,1,19,0.375,12.041666666666666,14.041666666666666,1.2687079124579126,1.166089965397924,0.41595800033300034,0.0,0.41595800033300034,0.09031766844266843,12.672335997335997
long_milk_task9_init0_factorial,action_l1,horizon_only_l1_h8,24,18,18,0.75,0.75,0.0,4,4,16,1.0,20.625,25.25,1.244933712121212,1.2242424242424241,0.0,0.0,0.388333171428636,0.11363888075778077,12.893334628570912
long_milk_task9_init0_factorial,action_l1,max_value,24,18,17,0.75,0.7083333333333334,-0.041666666666666664,3,4,17,1.0,20.625,21.333333333333332,1.0,1.0343434343434343,0.0,0.0,0.0,0.13081643642305407,16.0
long_milk_task9_init0_factorial,action_l1,requery_l1_h8,24,18,20,0.75,0.8333333333333334,0.08333333333333333,3,1,20,0.625,20.625,23.958333333333332,1.2423035502079618,1.1616161616161615,0.3904640223116103,0.0,0.3904640223116103,0.111346813339753,12.876287821507114
long_mug_task4_init0_factorial,action_l1,horizon_only_l1_h8,24,18,22,0.75,0.9166666666666666,0.16666666666666666,5,1,18,0.21875,19.5,19.958333333333332,1.2717005217005217,1.0235042735042734,0.0,0.0,0.42984723086501014,0.024616105452108766,12.561222153079918
long_mug_task4_init0_factorial,action_l1,max_value,24,18,21,0.75,0.875,0.125,5,2,17,0.453125,19.5,17.166666666666668,1.0,0.8803418803418804,0.0,0.0,0.0,0.0650974025974026,16.0
long_mug_task4_init0_factorial,action_l1,requery_l1_h8,24,18,22,0.75,0.9166666666666666,0.16666666666666666,5,1,18,0.21875,19.5,19.916666666666668,1.260515873015873,1.0213675213675215,0.4183086950888808,0.0,0.4183086950888808,0.025012397303418976,12.653530439288952
milk_task5_init0_factorial,action_l1,horizon_only_l1_h8,24,10,9,0.4166666666666667,0.375,-0.041666666666666664,7,8,9,1.0,11.791666666666666,15.333333333333334,1.299323361823362,1.3003533568904595,0.0,0.0,0.42503956061425097,0.24485390680727367,12.59968351508599
