case_id,suite,task_id,init_state_id,rollout_seed,success__baseline,queries__baseline,success__selection_only,queries__selection_only,success__horizon_only,queries__horizon_only,success__combined,queries__combined,effect__selection_at_full_horizon,effect__horizon_with_max_value,effect__horizon_with_risk_selection,effect__selection_at_adaptive_horizon,effect__combined_vs_baseline,effect__factorial_interaction
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160000,1,9,1,10,1,9,1,12,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160097,1,11,1,9,1,12,1,12,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160194,1,10,0,20,0,26,1,14,-1.0,-1.0,1.0,1.0,0.0,2.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160291,1,10,1,10,1,11,1,11,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160388,1,11,1,10,1,14,1,12,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160485,1,10,1,10,1,9,0,28,0.0,0.0,-1.0,-1.0,-1.0,-1.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160582,1,11,0,20,1,16,1,13,-1.0,0.0,1.0,0.0,0.0,1.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160679,1,9,1,11,1,11,1,10,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160776,1,10,0,20,0,25,1,11,-1.0,-1.0,1.0,1.0,0.0,2.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160873,1,10,1,11,1,13,1,13,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1160970,1,10,1,9,1,11,1,22,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161067,1,10,1,11,1,13,1,14,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161164,1,10,1,10,1,14,1,12,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161261,1,11,1,9,1,12,1,13,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161358,1,11,1,11,1,11,1,12,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161455,1,11,1,11,1,12,1,12,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161552,1,9,1,10,1,15,1,12,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161649,1,11,1,9,1,15,1,13,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161746,1,11,1,10,1,18,1,15,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161843,0,20,1,9,1,11,1,13,1.0,1.0,0.0,0.0,1.0,-1.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1161940,1,9,1,9,0,27,1,12,0.0,-1.0,0.0,1.0,0.0,1.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162037,1,10,1,10,1,13,1,14,0.0,0.0,0.0,0.0,0.0,0.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162134,1,9,0,20,0,24,0,24,-1.0,-1.0,0.0,0.0,-1.0,1.0
goal_mug_task9_init0_factorial,libero_goal_with_mug,9,0,1162231,1,10,0,20,0,27,1,13,-1.0,-1.0,1.0,1.0,0.0,2.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150000,0,33,0,33,1,18,1,18,0.0,1.0,1.0,0.0,1.0,0.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150097,1,16,1,16,1,18,1,17,0.0,0.0,0.0,0.0,0.0,0.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150194,1,17,1,16,1,19,1,21,0.0,0.0,0.0,0.0,0.0,0.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150291,1,17,1,16,0,38,1,19,0.0,-1.0,0.0,1.0,0.0,1.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150388,1,17,1,17,1,22,1,22,0.0,0.0,0.0,0.0,0.0,0.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150485,1,17,1,17,1,20,1,19,0.0,0.0,0.0,0.0,0.0,0.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150582,1,17,1,16,1,20,1,19,0.0,0.0,0.0,0.0,0.0,0.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150679,0,33,0,33,1,20,0,41,0.0,1.0,0.0,-1.0,0.0,-1.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150776,0,33,1,17,1,22,1,22,1.0,1.0,0.0,0.0,1.0,-1.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150873,1,17,1,17,1,22,1,21,0.0,0.0,0.0,0.0,0.0,0.0
long_milk_task9_init0_factorial,libero_10_with_milk,9,0,1150970,1,16,1,17,1,18,1,21,0.0,0.0,0.0,0.0,0.0,0.0
