cell,arm,n,successes,sr,drop_proxy,final_t,logical_suffix_candidates,logical_requery_candidates
object_q4,fresh_continuity_k4,8,6,0.75,0.0,207.25,33.5,4.0
object_q4,fresh_k1,8,6,0.75,0.0,201.625,32.0,1.0
object_q4,fresh_k4,8,6,0.75,0.0,209.0,34.0,4.0
object_q4,open16,8,4,0.5,0.0,230.625,39.5,0.0
object_q4,stale_k4,8,2,0.25,0.25,256.25,46.0,4.0
position_x_q3,fresh_continuity_k4,8,7,0.875,0.0,201.625,36.0,4.0
position_x_q3,fresh_k1,8,7,0.875,0.0,203.5,36.0,1.0
position_x_q3,fresh_k4,8,7,0.875,0.0,201.625,36.0,4.0
position_x_q3,open16,8,7,0.875,0.0,199.375,35.0,0.0
position_x_q3,stale_k4,8,7,0.875,0.0,203.125,36.0,4.0
position_y_q3,fresh_continuity_k4,8,0,0.0,0.0,280.0,56.0,4.0
position_y_q3,fresh_k1,8,0,0.0,0.0,280.0,56.0,1.0
position_y_q3,fresh_k4,8,0,0.0,0.0,280.0,56.0,4.0
position_y_q3,open16,8,4,0.5,0.0,233.5,44.5,0.0
position_y_q3,stale_k4,8,5,0.625,0.125,246.75,48.0,4.0
