planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
frozen_factor_ridge,0.0,libero_object_env,7,5,8,0,0.0,280.0,0.7708333333333333
max_value,0.0,libero_object_env,7,5,8,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_env,7,6,8,0,0.0,280.0,0.7638888888888888
max_value,0.0,libero_object_env,7,6,8,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_env,7,7,8,0,0.0,280.0,0.7777777777777778
max_value,0.0,libero_object_env,7,7,8,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_env,7,8,8,0,0.0,280.0,0.7430555555555556
max_value,0.0,libero_object_env,7,8,8,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_env,7,9,8,0,0.0,280.0,0.7361111111111112
max_value,0.0,libero_object_env,7,9,8,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_env,8,5,8,0,0.0,280.0,0.7430555555555556
max_value,0.0,libero_object_env,8,5,8,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_env,8,6,8,0,0.0,280.0,0.6319444444444444
max_value,0.0,libero_object_env,8,6,8,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_env,8,7,8,7,0.875,226.75,0.7005623461505814
max_value,0.0,libero_object_env,8,7,8,7,0.875,213.0,0.0
frozen_factor_ridge,0.0,libero_object_env,8,8,8,0,0.0,280.0,0.8194444444444444
max_value,0.0,libero_object_env,8,8,8,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_env,8,9,8,0,0.0,280.0,0.6736111111111112
max_value,0.0,libero_object_env,8,9,8,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_env,9,5,8,8,1.0,114.625,0.71875
max_value,0.0,libero_object_env,9,5,8,8,1.0,118.25,0.0
frozen_factor_ridge,0.0,libero_object_env,9,6,8,8,1.0,116.125,0.71875
max_value,0.0,libero_object_env,9,6,8,8,1.0,115.75,0.0
max_value,0.0,libero_object_env,9,7,8,8,1.0,111.75,0.0
frozen_factor_ridge,0.0,libero_object_env,9,7,8,7,0.875,132.875,0.7152777777777778
frozen_factor_ridge,0.0,libero_object_env,9,8,8,8,1.0,117.75,0.7159090909090909
max_value,0.0,libero_object_env,9,8,8,8,1.0,110.0,0.0
max_value,0.0,libero_object_env,9,9,8,6,0.75,153.25,0.0
frozen_factor_ridge,0.0,libero_object_env,9,9,8,3,0.375,216.625,0.7579365079365079
