planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
frozen_factor_ridge,0.0,libero_object_object,8,5,12,12,1.0,147.33333333333334,0.7333333333333334
max_value,0.0,libero_object_object,8,5,12,12,1.0,147.0,0.0
frozen_factor_ridge,0.0,libero_object_object,8,6,12,12,1.0,138.16666666666666,0.7037037037037037
max_value,0.0,libero_object_object,8,6,12,12,1.0,138.25,0.0
frozen_factor_ridge,0.0,libero_object_object,8,7,12,12,1.0,138.58333333333334,0.7129629629629629
max_value,0.0,libero_object_object,8,7,12,12,1.0,141.5,0.0
frozen_factor_ridge,0.0,libero_object_object,8,8,12,12,1.0,152.16666666666666,0.6833333333333332
max_value,0.0,libero_object_object,8,8,12,12,1.0,152.08333333333334,0.0
frozen_factor_ridge,0.0,libero_object_object,8,9,12,12,1.0,144.58333333333334,0.6481481481481481
max_value,0.0,libero_object_object,8,9,12,12,1.0,143.75,0.0
frozen_factor_ridge,0.0,libero_object_object,9,5,12,12,1.0,121.25,0.6574074074074074
max_value,0.0,libero_object_object,9,5,12,12,1.0,122.33333333333333,0.0
frozen_factor_ridge,0.0,libero_object_object,9,6,12,12,1.0,126.5,0.6851851851851851
max_value,0.0,libero_object_object,9,6,12,12,1.0,127.66666666666667,0.0
frozen_factor_ridge,0.0,libero_object_object,9,7,12,12,1.0,123.58333333333333,0.7129629629629629
max_value,0.0,libero_object_object,9,7,12,12,1.0,125.91666666666667,0.0
frozen_factor_ridge,0.0,libero_object_object,9,8,12,12,1.0,119.25,0.5625
max_value,0.0,libero_object_object,9,8,12,12,1.0,120.08333333333333,0.0
frozen_factor_ridge,0.0,libero_object_object,9,9,12,12,1.0,119.75,0.6458333333333334
max_value,0.0,libero_object_object,9,9,12,12,1.0,121.16666666666667,0.0
