planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
frozen_factor_ridge,0.0,libero_object_temp,4,5,6,0,0.0,280.0,0.9537037037037037
max_value,0.0,libero_object_temp,4,5,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,4,6,6,0,0.0,280.0,0.9351851851851851
max_value,0.0,libero_object_temp,4,6,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,4,7,6,0,0.0,280.0,0.9351851851851851
max_value,0.0,libero_object_temp,4,7,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,4,8,6,0,0.0,280.0,0.9166666666666666
max_value,0.0,libero_object_temp,4,8,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,4,9,6,0,0.0,280.0,0.9351851851851851
max_value,0.0,libero_object_temp,4,9,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,5,5,6,0,0.0,280.0,0.9444444444444443
max_value,0.0,libero_object_temp,5,5,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,5,6,6,0,0.0,280.0,0.9629629629629629
max_value,0.0,libero_object_temp,5,6,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,5,7,6,0,0.0,280.0,0.9444444444444443
max_value,0.0,libero_object_temp,5,7,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,5,8,6,0,0.0,280.0,0.9351851851851851
max_value,0.0,libero_object_temp,5,8,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,5,9,6,0,0.0,280.0,0.9629629629629629
max_value,0.0,libero_object_temp,5,9,6,0,0.0,280.0,0.0
