planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
frozen_factor_ridge,0.0,libero_object_temp,8,5,6,0,0.0,280.0,0.9166666666666666
max_value,0.0,libero_object_temp,8,5,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,8,6,6,0,0.0,280.0,0.9259259259259259
max_value,0.0,libero_object_temp,8,6,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,8,7,6,1,0.16666666666666666,276.1666666666667,0.89760348583878
max_value,0.0,libero_object_temp,8,7,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,8,8,6,0,0.0,280.0,0.9166666666666666
max_value,0.0,libero_object_temp,8,8,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,8,9,6,0,0.0,280.0,0.9351851851851851
max_value,0.0,libero_object_temp,8,9,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,9,5,6,1,0.16666666666666666,273.0,0.9444444444444443
max_value,0.0,libero_object_temp,9,5,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,9,6,6,0,0.0,280.0,0.9074074074074074
max_value,0.0,libero_object_temp,9,6,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,9,7,6,1,0.16666666666666666,271.1666666666667,0.9907407407407408
max_value,0.0,libero_object_temp,9,7,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,9,8,6,0,0.0,280.0,0.9537037037037037
max_value,0.0,libero_object_temp,9,8,6,0,0.0,280.0,0.0
frozen_factor_ridge,0.0,libero_object_temp,9,9,6,0,0.0,280.0,0.9351851851851851
max_value,0.0,libero_object_temp,9,9,6,0,0.0,280.0,0.0
