factor,case_id,suite,task_id,init_state_id,rollout_seed,candidate_first_actions_json__frozen_factor_ridge,candidate_first_actions_json__max_value,candidate_frozen_ranker_scores_json__frozen_factor_ridge,candidate_frozen_ranker_scores_json__max_value,candidate_values_json__frozen_factor_ridge,candidate_values_json__max_value,max_value_sample_idx__frozen_factor_ridge,max_value_sample_idx__max_value,num_samples__frozen_factor_ridge,num_samples__max_value,planning_frozen_ranker_payload_sha256__frozen_factor_ridge,planning_frozen_ranker_payload_sha256__max_value,selected_sample_idx__frozen_factor_ridge,selected_sample_idx__max_value,candidate_values_json_max_abs_diff,candidate_values_json_match,candidate_frozen_ranker_scores_json_max_abs_diff,candidate_frozen_ranker_scores_json_match,candidate_first_actions_json_max_abs_diff,candidate_first_actions_json_match,baseline_selected_argmax_value,frozen_selected_argmax_score,selectors_disagree
Environment,frozen_closed_loop__Environment,libero_object_env,7,5,5200000,"[[0.20442533493041992, -0.003125946968793869, 0.0065759941935539246, -0.007958715781569481, 0.01333540678024292, -0.009440495632588863, -1.0038533210754395], [0.16713929176330566, 0.004407428205013275, 0.006755255162715912, -0.011200379580259323, 0.00814962387084961, -0.008433216251432896, -1.0017457008361816], [0.17468400299549103, 0.0011465325951576233, 0.006951615214347839, -0.011507924646139145, 0.012338340282440186, -0.007537752389907837, -0.9994349479675293], [0.18251749873161316, 0.0006761401891708374, 0.004851892590522766, -0.010316036641597748, 0.009340435266494751, -0.0089110117405653, -1.0019334554672241], [0.18098048865795135, 0.0029756873846054077, 0.0067751482129096985, -0.01071039866656065, 0.00999113917350769, -0.010891991667449474, -1.001627802848816], [0.15413403511047363, 0.0012302398681640625, 0.006097666919231415, -0.008027748204767704, 0.0049224793910980225, -0.006501501426100731, -0.9998223185539246]]","[[0.20442533493041992, -0.003125946968793869, 0.0065759941935539246, -0.007958715781569481, 0.01333540678024292, -0.009440495632588863, -1.0038533210754395], [0.16713929176330566, 0.004407428205013275, 0.006755255162715912, -0.011200379580259323, 0.00814962387084961, -0.008433216251432896, -1.0017457008361816], [0.17468400299549103, 0.0011465325951576233, 0.006951615214347839, -0.011507924646139145, 0.012338340282440186, -0.007537752389907837, -0.9994349479675293], [0.18251749873161316, 0.0006761401891708374, 0.004851892590522766, -0.010316036641597748, 0.009340435266494751, -0.0089110117405653, -1.0019334554672241], [0.18098048865795135, 0.0029756873846054077, 0.0067751482129096985, -0.01071039866656065, 0.00999113917350769, -0.010891991667449474, -1.001627802848816], [0.15413403511047363, 0.0012302398681640625, 0.006097666919231415, -0.008027748204767704, 0.0049224793910980225, -0.006501501426100731, -0.9998223185539246]]","[0.002573612545511717, -0.001621688724691162, 0.001966854607538067, 0.0011659306086700162, 0.0013373292388157492, -0.005422038275844493]","[0.002573612545511717, -0.001621688724691162, 0.001966854607538067, 0.0011659306086700162, 0.0013373292388157492, -0.005422038275844493]","[0.3042658269405365, 0.3041991889476776, 0.306585431098938, 0.30574434995651245, 0.30579525232315063, 0.3054633140563965]","[0.3042658269405365, 0.3041991889476776, 0.306585431098938, 0.30574434995651245, 0.30579525232315063, 0.3054633140563965]",2.0,2.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,0.0,2.0,0.0,True,0.0,True,0.0,True,True,True,True
Environment,frozen_closed_loop__Environment,libero_object_env,7,5,5200097,"[[0.19332289695739746, 0.00012561678886413574, 0.005687400698661804, -0.009078003466129303, 0.01267021894454956, -0.013264885172247887, -1.0019166469573975], [0.19590362906455994, 0.0005012378096580505, 0.007462911307811737, -0.011781512759625912, 0.003961801528930664, -0.008987332694232464, -1.0015231370925903], [0.1697792410850525, -0.0012841634452342987, 0.008010417222976685, -0.007635526359081268, 0.004319250583648682, -0.008287537842988968, -1.001159429550171], [0.18437951803207397, 0.0004953145980834961, 0.005477741360664368, -0.009881896898150444, 0.011222586035728455, -0.010534493252635002, -1.0008795261383057], [0.1766778826713562, 0.0013355165719985962, 0.005460754036903381, -0.007935972884297371, 0.006893724203109741, -0.007524731568992138, -1.001516342163086], [0.16435694694519043, 0.0036922842264175415, 0.005470588803291321, -0.009949777275323868, 0.009246602654457092, -0.008970566093921661, -1.0000596046447754]]","[[0.19332289695739746, 0.00012561678886413574, 0.005687400698661804, -0.009078003466129303, 0.01267021894454956, -0.013264885172247887, -1.0019166469573975], [0.19590362906455994, 0.0005012378096580505, 0.007462911307811737, -0.011781512759625912, 0.003961801528930664, -0.008987332694232464, -1.0015231370925903], [0.1697792410850525, -0.0012841634452342987, 0.008010417222976685, -0.007635526359081268, 0.004319250583648682, -0.008287537842988968, -1.001159429550171], [0.18437951803207397, 0.0004953145980834961, 0.005477741360664368, -0.009881896898150444, 0.011222586035728455, -0.010534493252635002, -1.0008795261383057], [0.1766778826713562, 0.0013355165719985962, 0.005460754036903381, -0.007935972884297371, 0.006893724203109741, -0.007524731568992138, -1.001516342163086], [0.16435694694519043, 0.0036922842264175415, 0.005470588803291321, -0.009949777275323868, 0.009246602654457092, -0.008970566093921661, -1.0000596046447754]]","[4.578223547565879e-05, 0.005320387387522994, -0.0014571602888395524, -0.0006369666024949872, -0.0010289225271143793, -0.00224312020454989]","[4.578223547565879e-05, 0.005320387387522994, -0.0014571602888395524, -0.0006369666024949872, -0.0010289225271143793, -0.00224312020454989]","[0.30410894751548767, 0.30849796533584595, 0.3025713562965393, 0.304934024810791, 0.30743372440338135, 0.3102107644081116]","[0.30410894751548767, 0.30849796533584595, 0.3025713562965393, 0.304934024810791, 0.30743372440338135, 0.3102107644081116]",5.0,5.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,1.0,5.0,0.0,True,0.0,True,0.0,True,True,True,True
Environment,frozen_closed_loop__Environment,libero_object_env,7,5,5200194,"[[0.1832905411720276, 0.002874433994293213, 0.00422157347202301, -0.01020036544650793, 0.008340999484062195, -0.006658328231424093, -0.9994184374809265], [0.14963117241859436, 0.001580938696861267, 0.0067030638456344604, -0.010959451086819172, 0.005340144038200378, -0.007976087741553783, -0.9983779788017273], [0.1594667136669159, 0.0015555694699287415, 0.004265047609806061, -0.009859099984169006, 0.007836252450942993, -0.007797228638082743, -1.0016306638717651], [0.1676531434059143, 0.00025469809770584106, 0.005350559949874878, -0.008963302709162235, 0.0070667266845703125, -0.008440046571195126, -0.9991967678070068], [0.19749976694583893, -2.173706889152527e-05, 0.007373280823230743, -0.008453983813524246, 0.01104019582271576, -0.006576984189450741, -1.0015524625778198], [0.18043768405914307, 0.001232251524925232, 0.006105154752731323, -0.01280183531343937, 0.011937618255615234, -0.01142140943557024, -1.00175142288208]]","[[0.1832905411720276, 0.002874433994293213, 0.00422157347202301, -0.01020036544650793, 0.008340999484062195, -0.006658328231424093, -0.9994184374809265], [0.14963117241859436, 0.001580938696861267, 0.0067030638456344604, -0.010959451086819172, 0.005340144038200378, -0.007976087741553783, -0.9983779788017273], [0.1594667136669159, 0.0015555694699287415, 0.004265047609806061, -0.009859099984169006, 0.007836252450942993, -0.007797228638082743, -1.0016306638717651], [0.1676531434059143, 0.00025469809770584106, 0.005350559949874878, -0.008963302709162235, 0.0070667266845703125, -0.008440046571195126, -0.9991967678070068], [0.19749976694583893, -2.173706889152527e-05, 0.007373280823230743, -0.008453983813524246, 0.01104019582271576, -0.006576984189450741, -1.0015524625778198], [0.18043768405914307, 0.001232251524925232, 0.006105154752731323, -0.01280183531343937, 0.011937618255615234, -0.01142140943557024, -1.00175142288208]]","[0.0006354767697811186, -0.006228598368769331, -0.003554699339205183, -0.0006726630325994284, 0.005611844129575597, 0.004208639841217064]","[0.0006354767697811186, -0.006228598368769331, -0.003554699339205183, -0.0006726630325994284, 0.005611844129575597, 0.004208639841217064]","[0.3038712739944458, 0.30436718463897705, 0.3047703504562378, 0.30163800716400146, 0.3068912625312805, 0.30790233612060547]","[0.3038712739944458, 0.30436718463897705, 0.3047703504562378, 0.30163800716400146, 0.3068912625312805, 0.30790233612060547]",5.0,5.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,4.0,5.0,0.0,True,0.0,True,0.0,True,True,True,True
Environment,frozen_closed_loop__Environment,libero_object_env,7,5,5200291,"[[0.1530841737985611, 0.00035293400287628174, 0.005567483603954315, -0.0076989601366221905, 0.0056877583265304565, -0.005617361981421709, -1.001747727394104], [0.1838192641735077, 0.00047497451305389404, 0.006879754364490509, -0.01106064859777689, 0.009565919637680054, -0.011411339975893497, -1.0002192258834839], [0.1661929190158844, 0.00022474676370620728, 0.007076449692249298, -0.008908248506486416, 0.0056471675634384155, -0.00867248885333538, -1.001798391342163], [0.18294677138328552, -0.004178658127784729, 0.007075443863868713, -0.011925176717340946, 0.006068140268325806, -0.009552662260830402, -1.0010617971420288], [0.16194316744804382, -0.0009384937584400177, 0.005623809993267059, -0.009447519667446613, 0.007910683751106262, -0.0074099646881222725, -1.0034970045089722], [0.198773592710495, -0.00020585954189300537, 0.007657259702682495, -0.015759794041514397, 0.007988959550857544, -0.006710743065923452, -1.0013248920440674]]","[[0.1530841737985611, 0.00035293400287628174, 0.005567483603954315, -0.0076989601366221905, 0.0056877583265304565, -0.005617361981421709, -1.001747727394104], [0.1838192641735077, 0.00047497451305389404, 0.006879754364490509, -0.01106064859777689, 0.009565919637680054, -0.011411339975893497, -1.0002192258834839], [0.1661929190158844, 0.00022474676370620728, 0.007076449692249298, -0.008908248506486416, 0.0056471675634384155, -0.00867248885333538, -1.001798391342163], [0.18294677138328552, -0.004178658127784729, 0.007075443863868713, -0.011925176717340946, 0.006068140268325806, -0.009552662260830402, -1.0010617971420288], [0.16194316744804382, -0.0009384937584400177, 0.005623809993267059, -0.009447519667446613, 0.007910683751106262, -0.0074099646881222725, -1.0034970045089722], [0.198773592710495, -0.00020585954189300537, 0.007657259702682495, -0.015759794041514397, 0.007988959550857544, -0.006710743065923452, -1.0013248920440674]]","[-0.0016422824252668605, 0.0015723076457802845, -0.0028962983764704935, 0.00095147832038697, -0.0003953019136223416, 0.002410096749192382]","[-0.0016422824252668605, 0.0015723076457802845, -0.0028962983764704935, 0.00095147832038697, -0.0003953019136223416, 0.002410096749192382]","[0.3094841241836548, 0.3019533157348633, 0.30853837728500366, 0.3066554665565491, 0.30288511514663696, 0.3048461675643921]","[0.3094841241836548, 0.3019533157348633, 0.30853837728500366, 0.3066554665565491, 0.30288511514663696, 0.3048461675643921]",0.0,0.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,5.0,0.0,0.0,True,0.0,True,0.0,True,True,True,True
Environment,frozen_closed_loop__Environment,libero_object_env,7,5,5200388,"[[0.17770516872406006, 0.0008699297904968262, 0.006343871355056763, -0.010333088226616383, 0.011050030589103699, -0.00964138749986887, -1.001288652420044], [0.17949464917182922, 0.0029717758297920227, 0.006113201379776001, -0.009264994412660599, 0.00466078519821167, -0.0064444150775671005, -1.002123236656189], [0.17433375120162964, 0.0015039369463920593, 0.007075108587741852, -0.007712023798376322, 0.008402824401855469, -0.006518885027617216, -1.0014259815216064], [0.16694101691246033, 0.002550557255744934, 0.006764084100723267, -0.007519233506172895, 0.008048638701438904, -0.008212671615183353, -1.0018682479858398], [0.17588764429092407, -0.00023519620299339294, 0.0064599886536598206, -0.01110810972750187, 0.0051889121532440186, -0.00986713171005249, -1.0000834465026855], [0.17506298422813416, 0.0012573972344398499, 0.006067156791687012, -0.009196034632623196, 0.0034577250480651855, -0.007582676596939564, -1.0020081996917725]]","[[0.17770516872406006, 0.0008699297904968262, 0.006343871355056763, -0.010333088226616383, 0.011050030589103699, -0.00964138749986887, -1.001288652420044], [0.17949464917182922, 0.0029717758297920227, 0.006113201379776001, -0.009264994412660599, 0.00466078519821167, -0.0064444150775671005, -1.002123236656189], [0.17433375120162964, 0.0015039369463920593, 0.007075108587741852, -0.007712023798376322, 0.008402824401855469, -0.006518885027617216, -1.0014259815216064], [0.16694101691246033, 0.002550557255744934, 0.006764084100723267, -0.007519233506172895, 0.008048638701438904, -0.008212671615183353, -1.0018682479858398], [0.17588764429092407, -0.00023519620299339294, 0.0064599886536598206, -0.01110810972750187, 0.0051889121532440186, -0.00986713171005249, -1.0000834465026855], [0.17506298422813416, 0.0012573972344398499, 0.006067156791687012, -0.009196034632623196, 0.0034577250480651855, -0.007582676596939564, -1.0020081996917725]]","[0.0017503925410580743, 0.0038890683240396257, -0.0055969935257572465, -0.00029586649610969953, 0.0013649051720658928, -0.0011115060152966654]","[0.0017503925410580743, 0.0038890683240396257, -0.0055969935257572465, -0.00029586649610969953, 0.0013649051720658928, -0.0011115060152966654]","[0.30346015095710754, 0.30692556500434875, 0.30412375926971436, 0.3062365651130676, 0.3063398599624634, 0.304282009601593]","[0.30346015095710754, 0.30692556500434875, 0.30412375926971436, 0.3062365651130676, 0.3063398599624634, 0.304282009601593]",1.0,1.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,1.0,1.0,0.0,True,0.0,True,0.0,True,True,True,False
Environment,frozen_closed_loop__Environment,libero_object_env,7,5,5200485,"[[0.17548508942127228, 0.001673474907875061, 0.004353560507297516, -0.011582556180655956, 0.004876479506492615, -0.010268430225551128, -0.9999825358390808], [0.19632083177566528, -0.002902429550886154, 0.005843862891197205, -0.008009195327758789, 0.009509235620498657, -0.01265753898769617, -1.0014801025390625], [0.1650472730398178, 0.0023180991411209106, 0.0058712437748909, -0.010363680310547352, 0.010698303580284119, -0.007430762983858585, -1.0022168159484863], [0.1797793060541153, 0.0024364516139030457, 0.006697475910186768, -0.010029604658484459, 0.00766986608505249, -0.007506069727241993, -1.0010201930999756], [0.1673445850610733, 0.0006946921348571777, 0.006539002060890198, -0.010975058190524578, 0.007592529058456421, -0.007663028780370951, -1.0007823705673218], [0.17568446695804596, 0.0029274076223373413, 0.004064328968524933, -0.0062944479286670685, 0.008230850100517273, -0.007840808480978012, -1.0014395713806152]]","[[0.17548508942127228, 0.001673474907875061, 0.004353560507297516, -0.011582556180655956, 0.004876479506492615, -0.010268430225551128, -0.9999825358390808], [0.19632083177566528, -0.002902429550886154, 0.005843862891197205, -0.008009195327758789, 0.009509235620498657, -0.01265753898769617, -1.0014801025390625], [0.1650472730398178, 0.0023180991411209106, 0.0058712437748909, -0.010363680310547352, 0.010698303580284119, -0.007430762983858585, -1.0022168159484863], [0.1797793060541153, 0.0024364516139030457, 0.006697475910186768, -0.010029604658484459, 0.00766986608505249, -0.007506069727241993, -1.0010201930999756], [0.1673445850610733, 0.0006946921348571777, 0.006539002060890198, -0.010975058190524578, 0.007592529058456421, -0.007663028780370951, -1.0007823705673218], [0.17568446695804596, 0.0029274076223373413, 0.004064328968524933, -0.0062944479286670685, 0.008230850100517273, -0.007840808480978012, -1.0014395713806152]]","[0.0006243693377905853, 0.0025901218184004628, -0.003643229647074744, 0.005167526509975072, -0.003311010290824664, -0.0014277777282668356]","[0.0006243693377905853, 0.0025901218184004628, -0.003643229647074744, 0.005167526509975072, -0.003311010290824664, -0.0014277777282668356]","[0.3050837516784668, 0.30491840839385986, 0.3023756444454193, 0.3027915358543396, 0.3029704689979553, 0.3064364492893219]","[0.3050837516784668, 0.30491840839385986, 0.3023756444454193, 0.3027915358543396, 0.3029704689979553, 0.3064364492893219]",5.0,5.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,3.0,5.0,0.0,True,0.0,True,0.0,True,True,True,True
Environment,frozen_closed_loop__Environment,libero_object_env,7,5,5200582,"[[0.1873815804719925, -0.001664143055677414, 0.00657152384519577, -0.010073918849229813, 0.00770433247089386, -0.007374778855592012, -1.0013304948806763], [0.2029455453157425, 0.000552646815776825, 0.0052388012409210205, -0.010010155849158764, 0.009044721722602844, -0.009621183387935162, -1.0034661293029785], [0.1798110455274582, 5.2638351917266846e-05, 0.005765408277511597, -0.0098278122022748, 0.005770772695541382, -0.008940953761339188, -1.0017623901367188], [0.1845615804195404, 0.0011056289076805115, 0.0051290541887283325, -0.007533486466854811, 0.008263617753982544, -0.006500289309769869, -0.9997604489326477], [0.1758843958377838, 0.00048235058784484863, 0.005820505321025848, -0.01022579800337553, 0.00824439525604248, -0.008506870828568935, -1.0013422966003418], [0.16742515563964844, 0.0004496052861213684, 0.007103048264980316, -0.009801886044442654, 0.008751288056373596, -0.009355053305625916, -0.9995813965797424]]","[[0.1873815804719925, -0.001664143055677414, 0.00657152384519577, -0.010073918849229813, 0.00770433247089386, -0.007374778855592012, -1.0013304948806763], [0.2029455453157425, 0.000552646815776825, 0.0052388012409210205, -0.010010155849158764, 0.009044721722602844, -0.009621183387935162, -1.0034661293029785], [0.1798110455274582, 5.2638351917266846e-05, 0.005765408277511597, -0.0098278122022748, 0.005770772695541382, -0.008940953761339188, -1.0017623901367188], [0.1845615804195404, 0.0011056289076805115, 0.0051290541887283325, -0.007533486466854811, 0.008263617753982544, -0.006500289309769869, -0.9997604489326477], [0.1758843958377838, 0.00048235058784484863, 0.005820505321025848, -0.01022579800337553, 0.00824439525604248, -0.008506870828568935, -1.0013422966003418], [0.16742515563964844, 0.0004496052861213684, 0.007103048264980316, -0.009801886044442654, 0.008751288056373596, -0.009355053305625916, -0.9995813965797424]]","[0.0046376333075309195, 0.005195153530711444, -0.0012252758827987456, -0.0017798868379183298, -0.004750202784198196, -0.0020774213333271405]","[0.0046376333075309195, 0.005195153530711444, -0.0012252758827987456, -0.0017798868379183298, -0.004750202784198196, -0.0020774213333271405]","[0.2993287444114685, 0.3075096607208252, 0.30635225772857666, 0.3081309199333191, 0.3026267886161804, 0.3004773259162903]","[0.2993287444114685, 0.3075096607208252, 0.30635225772857666, 0.3081309199333191, 0.3026267886161804, 0.3004773259162903]",3.0,3.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,1.0,3.0,0.0,True,0.0,True,0.0,True,True,True,True
Environment,frozen_closed_loop__Environment,libero_object_env,7,5,5200679,"[[0.16616922616958618, 0.0008514896035194397, 0.007590204477310181, -0.00868726335465908, 0.005146443843841553, -0.006385390181094408, -1.0006917715072632], [0.16961809992790222, -0.0014533661305904388, 0.006510503590106964, -0.006352539174258709, 0.0053391605615615845, -0.0057868133299052715, -1.0017766952514648], [0.16219183802604675, 0.0024224817752838135, 0.005558095872402191, -0.007755898870527744, 0.011866495013237, -0.009386141784489155, -1.0006126165390015], [0.19056972861289978, -0.0007019564509391785, 0.00885017216205597, -0.013088321313261986, 0.009000599384307861, -0.012642226181924343, -1.0005676746368408], [0.160896897315979, -0.0005931034684181213, 0.004689395427703857, -0.0058080353774130344, 0.00627569854259491, -0.008943267166614532, -1.000882625579834], [0.18164488673210144, 0.0023317337036132812, 0.005341283977031708, -0.010575389489531517, 0.011061608791351318, -0.008510109968483448, -1.0037215948104858]]","[[0.16616922616958618, 0.0008514896035194397, 0.007590204477310181, -0.00868726335465908, 0.005146443843841553, -0.006385390181094408, -1.0006917715072632], [0.16961809992790222, -0.0014533661305904388, 0.006510503590106964, -0.006352539174258709, 0.0053391605615615845, -0.0057868133299052715, -1.0017766952514648], [0.16219183802604675, 0.0024224817752838135, 0.005558095872402191, -0.007755898870527744, 0.011866495013237, -0.009386141784489155, -1.0006126165390015], [0.19056972861289978, -0.0007019564509391785, 0.00885017216205597, -0.013088321313261986, 0.009000599384307861, -0.012642226181924343, -1.0005676746368408], [0.160896897315979, -0.0005931034684181213, 0.004689395427703857, -0.0058080353774130344, 0.00627569854259491, -0.008943267166614532, -1.000882625579834], [0.18164488673210144, 0.0023317337036132812, 0.005341283977031708, -0.010575389489531517, 0.011061608791351318, -0.008510109968483448, -1.0037215948104858]]","[-0.0012934146533068922, -0.0045055125958408685, -0.0015242439708155714, 0.005929627937223348, 0.0014509281460244013, -5.7384863284385687e-05]","[-0.0012934146533068922, -0.0045055125958408685, -0.0015242439708155714, 0.005929627937223348, 0.0014509281460244013, -5.7384863284385687e-05]","[0.3071187138557434, 0.3053222596645355, 0.30505749583244324, 0.3054389953613281, 0.3078517019748688, 0.30165427923202515]","[0.3071187138557434, 0.3053222596645355, 0.30505749583244324, 0.3054389953613281, 0.3078517019748688, 0.30165427923202515]",4.0,4.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,3.0,4.0,0.0,True,0.0,True,0.0,True,True,True,True
Environment,frozen_closed_loop__Environment,libero_object_env,7,6,5210000,"[[0.13758257031440735, -0.01842878758907318, 0.007051751017570496, -0.016045676544308662, 0.01023942232131958, -0.0025169802829623222, -1.0007920265197754], [0.14681316912174225, -0.009405501186847687, 0.006158016622066498, -0.013294706121087074, 0.00667668879032135, -0.002365132560953498, -1.0033411979675293], [0.11176317930221558, -0.013729054480791092, 0.007078573107719421, -0.014235932379961014, 0.007275179028511047, -0.0034807447809726, -0.9999586939811707], [0.15649549663066864, -0.03768011927604675, 0.006065145134925842, -0.007784825749695301, 0.011262282729148865, -0.003714685095474124, -1.0019820928573608], [0.15238970518112183, -0.017821993678808212, 0.006926357746124268, -0.010485059581696987, 0.008690178394317627, -0.0019684608560055494, -1.002817988395691], [0.1661592721939087, -0.02909420058131218, 0.003800801932811737, -0.0062607089057564735, 0.010209783911705017, -0.0029057643841952085, -1.0014363527297974]]","[[0.13758257031440735, -0.01842878758907318, 0.007051751017570496, -0.016045676544308662, 0.01023942232131958, -0.0025169802829623222, -1.0007920265197754], [0.14681316912174225, -0.009405501186847687, 0.006158016622066498, -0.013294706121087074, 0.00667668879032135, -0.002365132560953498, -1.0033411979675293], [0.11176317930221558, -0.013729054480791092, 0.007078573107719421, -0.014235932379961014, 0.007275179028511047, -0.0034807447809726, -0.9999586939811707], [0.15649549663066864, -0.03768011927604675, 0.006065145134925842, -0.007784825749695301, 0.011262282729148865, -0.003714685095474124, -1.0019820928573608], [0.15238970518112183, -0.017821993678808212, 0.006926357746124268, -0.010485059581696987, 0.008690178394317627, -0.0019684608560055494, -1.002817988395691], [0.1661592721939087, -0.02909420058131218, 0.003800801932811737, -0.0062607089057564735, 0.010209783911705017, -0.0029057643841952085, -1.0014363527297974]]","[-0.0037195642548599702, 0.0018205198433017358, -0.005627500838090702, -0.00099586458435741, 0.0018331214526279788, 0.006689288381378207]","[-0.0037195642548599702, 0.0018205198433017358, -0.005627500838090702, -0.00099586458435741, 0.0018331214526279788, 0.006689288381378207]","[0.12145590782165527, 0.19170904159545898, 0.17876163125038147, 0.15588214993476868, 0.1470089554786682, 0.1841784417629242]","[0.12145590782165527, 0.19170904159545898, 0.17876163125038147, 0.15588214993476868, 0.1470089554786682, 0.1841784417629242]",1.0,1.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,5.0,1.0,0.0,True,0.0,True,0.0,True,True,True,True
Environment,frozen_closed_loop__Environment,libero_object_env,7,6,5210097,"[[0.15673834085464478, -0.029988382011651993, 0.006256364285945892, -0.008978837169706821, 0.012000873684883118, -0.004075069446116686, -1.0038785934448242], [0.11437375098466873, -0.0005403533577919006, 0.00725816935300827, -0.011640007607638836, 0.008069291710853577, -0.0031908201053738594, -1.0046333074569702], [0.13218921422958374, -0.024483148008584976, 0.005757138133049011, -0.011545267887413502, 0.009747818112373352, -0.002092459239065647, -1.000730037689209], [0.1450619101524353, -0.013954751193523407, 0.006989613175392151, -0.014985119923949242, 0.009010165929794312, -0.0035841651260852814, -1.0016587972640991], [0.10718140751123428, -0.002722218632698059, 0.006279498338699341, -0.01591677777469158, 0.006584152579307556, -0.0023362261708825827, -1.0036401748657227], [0.16276516020298004, -0.01839369535446167, 0.005843304097652435, -0.010760238394141197, 0.010197758674621582, -0.002728160936385393, -1.0014303922653198]]","[[0.15673834085464478, -0.029988382011651993, 0.006256364285945892, -0.008978837169706821, 0.012000873684883118, -0.004075069446116686, -1.0038785934448242], [0.11437375098466873, -0.0005403533577919006, 0.00725816935300827, -0.011640007607638836, 0.008069291710853577, -0.0031908201053738594, -1.0046333074569702], [0.13218921422958374, -0.024483148008584976, 0.005757138133049011, -0.011545267887413502, 0.009747818112373352, -0.002092459239065647, -1.000730037689209], [0.1450619101524353, -0.013954751193523407, 0.006989613175392151, -0.014985119923949242, 0.009010165929794312, -0.0035841651260852814, -1.0016587972640991], [0.10718140751123428, -0.002722218632698059, 0.006279498338699341, -0.01591677777469158, 0.006584152579307556, -0.0023362261708825827, -1.0036401748657227], [0.16276516020298004, -0.01839369535446167, 0.005843304097652435, -0.010760238394141197, 0.010197758674621582, -0.002728160936385393, -1.0014303922653198]]","[0.006234029118142435, -0.006014107935175434, 0.001853405523152587, -0.0012898598813177822, -0.00792653367967383, 0.007143066854871946]","[0.006234029118142435, -0.006014107935175434, 0.001853405523152587, -0.0012898598813177822, -0.00792653367967383, 0.007143066854871946]","[0.1480628252029419, 0.1275167465209961, 0.11906519532203674, 0.10225039720535278, 0.09334126114845276, 0.17612484097480774]","[0.1480628252029419, 0.1275167465209961, 0.11906519532203674, 0.10225039720535278, 0.09334126114845276, 0.17612484097480774]",5.0,5.0,6.0,6.0,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,086dfebd71040c3b8512d9e9cc25151dd95fdc19d68b60a3a990f563924cfbbb,5.0,5.0,0.0,True,0.0,True,0.0,True,True,True,False
