source_trace,suite,task_id,init_state_id,pair_id,rollout_id,rollout_seed,failure,action_first_step_std,action_chunk_std,value_std,value_range,negative_mean_value,negative_selected_value,latent_action_copy_std,latent_future_proprio_copy_std,latent_value_element_std,selected_overlap_rmse,selected_overlap_all_rmse,overlap_cosine_distance,future_proprio_error,overlap_rotation_rmse,overlap_normalized_shift,future_image_error
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,0,1900000,False,0.007084997370839119,0.0028067382518202066,0.0024238426703959703,0.006545990705490112,-0.14389902353286743,-0.1456739902496338,0.008688624249771237,0.007665616576559842,0.007909391541033983,0.07920492775522686,0.07333894740715816,0.08182801294812693,0.3241316080093384,0.04546706030407289,15.421707999999182,983.4862670898438
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,1,1900097,True,0.007002342026680708,0.0025880669709295034,0.0018111481331288815,0.004358112812042236,-0.1387036144733429,-0.14042240381240845,0.008724091574549675,0.007681699586100876,0.008403361309319735,0.06905497066345946,0.06394165124005137,0.06302232188405171,0.3221434950828552,0.04296985596502824,16.338151063131548,983.5728149414062
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,2,1900194,False,0.006884903181344271,0.0026533231139183044,0.004383313003927469,0.011667490005493164,-0.13754987716674805,-0.1384144425392151,0.008706550812348723,0.007576178060844541,0.00847037835046649,0.0644581073907539,0.059681620945547145,0.05145428861807852,0.32690298557281494,0.03515954187222511,14.335168893004276,961.4396362304688
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,3,1900291,False,0.008398456498980522,0.002833012491464615,0.0017500810790807009,0.004932492971420288,-0.14022181928157806,-0.1413477063179016,0.008775865193456411,0.007635729620233178,0.008321232395246625,0.07277842705675437,0.06738823863759154,0.06822322711141404,0.32433146238327026,0.042890761430864545,15.663682881728164,984.5175170898438
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,4,1900388,True,0.006394478492438793,0.0022346049081534147,0.004168763291090727,0.009095370769500732,-0.14153212308883667,-0.14360785484313965,0.008636173326522112,0.007620609947480261,0.008453063201159239,0.06822744920527285,0.06317115160582093,0.05809848700425378,0.32536789774894714,0.04136618799059127,18.22000973648996,973.6998291015625
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,5,1900485,False,0.007679439149796963,0.00301215797662735,0.0034585969988256693,0.009751111268997192,-0.14588701725006104,-0.1482619047164917,0.008690515998750925,0.007599549717269838,0.00811123545281589,0.06920877114741443,0.06408384606477949,0.06039209572127273,0.3269360065460205,0.041931534225449756,17.06550599149932,977.7952880859375
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,6,1900582,False,0.008322043344378471,0.0027638892643153667,0.0023837483022361994,0.006408989429473877,-0.141610786318779,-0.14513203501701355,0.00881271786056459,0.007672127103433013,0.008388417772948742,0.06627755895596504,0.06136735029683561,0.054203112548443566,0.3208916485309601,0.03721919472960743,16.37844675710593,975.1275634765625
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,7,1900679,False,0.009085563942790031,0.0024544622283428907,0.002015338046476245,0.005045086145401001,-0.13598984479904175,-0.13635262846946716,0.008731087436899543,0.007648159749805927,0.008344480069354177,0.07025637333907653,0.06505427053384993,0.06269675563238562,0.32456669211387634,0.040172885173012436,19.359189279247424,973.4114379882812
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,8,1900776,False,0.009173710830509663,0.0028188894502818584,0.002987854415550828,0.00734284520149231,-0.135259747505188,-0.1380796730518341,0.0088442696724087,0.007719668792560697,0.00836401735432446,0.07386651717148482,0.06839297445375658,0.06772702711562262,0.32384341955184937,0.04164757922208097,17.899382082392577,978.23046875
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,9,1900873,True,0.007011973299086094,0.0024039989802986383,0.001460065832361579,0.004043310880661011,-0.1364774852991104,-0.13691377639770508,0.008668976835906506,0.007696871645748615,0.008228297345340252,0.0735790909193151,0.06813047902178798,0.07011086882144439,0.32650214433670044,0.042356493031636536,22.040032842937784,981.130126953125
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,10,1900970,False,0.007409328129142523,0.0023530428297817707,0.002421002835035324,0.006595999002456665,-0.1406489908695221,-0.1445825695991516,0.008664464578032494,0.007583188125863671,0.008376763900741935,0.07384452437310803,0.06837244096130764,0.06628250518721718,0.3257180452346802,0.04137164068886189,15.74339884524723,969.06884765625
ground_truth_boundary_screening_20260824__known_goal_mug_task9__libero_goal_with_mug__task9__init0__max_value__l0__query_traces.parquet,libero_goal_with_mug,9,0,0,11,1901067,True,0.006125226151198149,0.0022112024016678333,0.002147871069610119,0.0056411027908325195,-0.14192545413970947,-0.1435607671737671,0.008717444026842713,0.007716007297858596,0.008267765864729881,0.0727370787055655,0.06735366307107633,0.06699065428867254,0.32442522048950195,0.041239072375480045,18.089412224035392,981.519775390625
ground_truth_boundary_screening_20260824__known_long_milk_task9__libero_10_with_milk__task9__init0__max_value__l0__query_traces.parquet,libero_10_with_milk,9,0,0,0,2000000,False,0.009808594360947609,0.003410525619983673,0.0006157131865620613,0.0017333030700683594,-0.09005668759346008,-0.09086528420448303,0.007589253480546176,0.0074802672024816275,0.007509977091103792,0.07894121213476964,0.07309648256394212,0.6263562559341309,0.2004428654909134,0.017821488212726586,7.92833226137186,1444.4366455078125
ground_truth_boundary_screening_20260824__known_long_milk_task9__libero_10_with_milk__task9__init0__max_value__l0__query_traces.parquet,libero_10_with_milk,9,0,0,1,2000097,True,0.010542917996644974,0.0038407486863434315,0.0005309786647558212,0.0014252066612243652,-0.0905173197388649,-0.09122017025947571,0.00763994175940752,0.007447044248692691,0.007462439592927694,0.07839611276441585,0.07258346426055538,0.5957221430756562,0.20209597051143646,0.019480081610625626,13.241186289502346,1429.888671875
ground_truth_boundary_screening_20260824__known_long_milk_task9__libero_10_with_milk__task9__init0__max_value__l0__query_traces.parquet,libero_10_with_milk,9,0,0,2,2000194,False,0.019446177408099174,0.008671825751662254,0.0008464251877740026,0.002300649881362915,-0.09086274355649948,-0.09184831380844116,0.007711139624007046,0.007567444001324475,0.00755997805390507,0.09100324420026977,0.08425502356760446,0.6754585031306698,0.2024129182100296,0.019740009698084513,4.351087291147339,1432.6533203125
ground_truth_boundary_screening_20260824__known_long_milk_task9__libero_10_with_milk__task9__init0__max_value__l0__query_traces.parquet,libero_10_with_milk,9,0,0,3,2000291,True,0.02532946690917015,0.007881099358201027,0.0004935680772177875,0.001309216022491455,-0.09119848161935806,-0.09166193008422852,0.007860094192437828,0.007557005272246897,0.007653211243450642,0.09645288905773475,0.0892998526796422,0.3711786679104303,0.1939016431570053,0.020295824201179306,6.930546396690416,1536.659912109375
ground_truth_boundary_screening_20260824__known_long_milk_task9__libero_10_with_milk__task9__init0__max_value__l0__query_traces.parquet,libero_10_with_milk,9,0,0,4,2000388,True,0.012685481458902359,0.007065147627145052,0.0004165341379120946,0.0010355710983276367,-0.09053356945514679,-0.09121137857437134,0.007636151858605444,0.00744009530171752,0.007429614081047475,0.08469984243102999,0.07842007011904688,0.5776543714956109,0.2029419243335724,0.020053829285947494,4.892856482489533,1441.4193115234375
ground_truth_boundary_screening_20260824__known_long_milk_task9__libero_10_with_milk__task9__init0__max_value__l0__query_traces.parquet,libero_10_with_milk,9,0,0,5,2000485,True,0.011246622540056705,0.004482892341911793,0.0005612139357253909,0.0015043020248413086,-0.09023245424032211,-0.09102225303649902,0.007738453685306013,0.0075082259718328714,0.007515441393479705,0.08701691108697511,0.08056478807667007,0.6264317296793831,0.2023880034685135,0.019042052868053452,8.563022022227049,1455.5865478515625
ground_truth_boundary_screening_20260824__known_long_milk_task9__libero_10_with_milk__task9__init0__max_value__l0__query_traces.parquet,libero_10_with_milk,9,0,0,6,2000582,False,0.007456681225448847,0.0033504243474453688,0.0005203233449719846,0.001433342695236206,-0.09096262603998184,-0.09174737334251404,0.007609214750118554,0.007444864953868091,0.007439265609718859,0.084414218849396,0.07815573935534467,0.5739323488411419,0.20337052643299103,0.020421289534554184,10.478985604361172,1436.8795166015625
ground_truth_boundary_screening_20260824__known_long_milk_task9__libero_10_with_milk__task9__init0__max_value__l0__query_traces.parquet,libero_10_with_milk,9,0,0,7,2000679,True,0.011405632831156254,0.0031849632505327463,0.0005394279141910374,0.0013539791107177734,-0.091084785759449,-0.0916604995727539,0.0076977957505732775,0.0075587129686027765,0.007584567065350711,0.08138966539187537,0.07535573317324401,0.6568906581565276,0.20339933037757874,0.019920191470805454,10.560983395865783,1430.77490234375
ground_truth_boundary_screening_20260824__known_long_milk_task9__libero_10_with_milk__task9__init0__max_value__l0__query_traces.parquet,libero_10_with_milk,9,0,0,8,2000776,True,0.013884668238461018,0.004408704582601786,0.0005741336499340832,0.0015081465244293213,-0.09061703085899353,-0.09078991413116455,0.007670874823816121,0.007441839901730418,0.00759270996786654,0.11109865584736782,0.1028585179147682,0.5342233225570358,0.20044709742069244,0.02082521875996655,7.360689951225825,1450.1544189453125
