family,deployable,feature_count,target_variant,alpha,scheme,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative,True,80,direct_success,0.01,leave_one_task,0.2,0.0109375,0.0059375,17,10,0.5058510638297873,0.0268100532960646,-0.05625,0.3999999999999999,0.0078125
relative,True,80,direct_terminal_utility,0.01,leave_one_task,0.2,0.0015625,-0.0034374999999999,15,14,0.4904255319148936,0.0073479709523854,-0.0824999999999999,-0.1999999999999999,-0.03125
relative,True,80,direct_grounded,0.01,leave_one_task,0.2,0.0,-0.0049999999999999,15,15,0.4867021276595745,0.0071101977907339,-0.1337499999999999,-0.1999999999999999,-0.0234375
relative,True,80,potential_success,0.01,leave_one_task,0.2,0.0109375,0.0059375,16,9,0.6533244680851064,0.1401424337568355,-0.0262499999999999,0.7,0.1953125
relative,True,80,direct_success,0.01,leave_one_level,0.2,-0.0171875,-0.0221874999999999,13,24,0.3998670212765957,-0.088613827531358,-0.2099999999999999,-0.8720815992723809,-0.1328125
relative,True,80,direct_terminal_utility,0.01,leave_one_level,0.2,-0.01875,-0.0237499999999999,15,27,0.3779255319148936,-0.112569781564075,-0.2093749999999999,-0.6,-0.1484375
relative,True,80,direct_grounded,0.01,leave_one_level,0.2,-0.0234375,-0.0284374999999999,13,28,0.3789893617021276,-0.1115792653880758,-0.2087499999999999,-0.8999999999999998,-0.1640625
relative,True,80,potential_success,0.01,leave_one_level,0.2,-0.0078125,-0.0128125,12,17,0.4156914893617021,-0.0701541705548488,-0.15875,-0.7999999999999999,-0.078125
relative,True,80,direct_success,0.01,leave_one_cell,0.2,0.003125,-0.0018749999999999,13,11,0.4525265957446808,-0.0284375058688195,-0.105625,-0.3,-0.03125
relative,True,80,direct_terminal_utility,0.01,leave_one_cell,0.2,0.0,-0.0049999999999999,13,13,0.4253989361702128,-0.0568286069582493,-0.1062499999999999,-0.3,-0.0703125
relative,True,80,direct_grounded,0.01,leave_one_cell,0.2,-0.0015625,-0.0065624999999999,13,14,0.4279255319148936,-0.0543613510770705,-0.1131249999999999,-0.4999999999999999,-0.078125
relative,True,80,potential_success,0.01,leave_one_cell,0.2,0.003125,-0.0018749999999999,13,11,0.5457446808510639,0.0477997974037226,-0.0618749999999999,0.3,0.1171875
relative,True,80,direct_success,0.1,leave_one_task,0.2,0.009375,0.004375,16,10,0.5234042553191489,0.0399894213044984,-0.05625,0.3,0.0234375
relative,True,80,direct_terminal_utility,0.1,leave_one_task,0.2,-0.0015625,-0.0065624999999999,14,15,0.5055851063829787,0.0206916036666234,-0.0824999999999999,0.1538967528127731,-0.03125
relative,True,80,direct_grounded,0.1,leave_one_task,0.2,0.003125,-0.0018749999999999,14,12,0.5022606382978724,0.0195438040348167,-0.1081249999999999,0.0,-0.0078125
relative,True,80,potential_success,0.1,leave_one_task,0.2,0.0078125,0.0028125,19,14,0.6098404255319149,0.1012026639224258,-0.1131249999999999,0.8999999999999998,0.140625
relative,True,80,direct_success,0.1,leave_one_level,0.2,-0.0171875,-0.0221874999999999,12,23,0.3957446808510638,-0.0926116198088672,-0.2099999999999999,-1.0,-0.1328125
relative,True,80,direct_terminal_utility,0.1,leave_one_level,0.2,-0.0203125,-0.0253124999999999,14,27,0.3706117021276596,-0.116341299209339,-0.2093749999999999,-0.8720815992723809,-0.15625
relative,True,80,direct_grounded,0.1,leave_one_level,0.2,-0.0203125,-0.0253124999999999,14,27,0.3719414893617021,-0.1159844341359794,-0.2087499999999999,-0.8999999999999998,-0.1640625
relative,True,80,potential_success,0.1,leave_one_level,0.2,0.0,-0.0049999999999999,15,15,0.4131648936170213,-0.0743318326852136,-0.1137499999999999,-0.0999999999999999,-0.1328125
relative,True,80,direct_success,0.1,leave_one_cell,0.2,0.0015625,-0.0034374999999999,13,12,0.4550531914893617,-0.0261538157963769,-0.105625,-0.4999999999999999,-0.046875
relative,True,80,direct_terminal_utility,0.1,leave_one_cell,0.2,-0.0046875,-0.0096874999999999,13,16,0.4320478723404255,-0.0531141712982523,-0.105625,-0.4999999999999999,-0.1015625
relative,True,80,direct_grounded,0.1,leave_one_cell,0.2,-0.0015625,-0.0065624999999999,13,14,0.4337765957446808,-0.0511705091668244,-0.1125,-0.4999999999999999,-0.0703125
relative,True,80,potential_success,0.1,leave_one_cell,0.2,0.0046875,-0.0003124999999999,15,12,0.5364361702127659,0.0414776595390842,-0.0618749999999999,0.5642880936468347,0.015625
