family,scheme,target,kind,positives,negatives,spearman,auc,rmse
relative,leave_one_task,commit_target_lift,continuous,,,0.4241005707260673,,0.030833270027181
relative,leave_one_task,feedback_target_lift,continuous,,,0.3778752609246019,,0.0323821520178371
relative,leave_one_task,lift_advantage,continuous,,,-0.1014990995441005,,0.006213205551968
relative,leave_one_task,commit_target_eef_distance,continuous,,,0.5307973621761772,,0.0520332292730731
relative,leave_one_task,feedback_target_eef_distance,continuous,,,0.5260520808156272,,0.0528619052278317
relative,leave_one_task,distance_advantage,continuous,,,0.5089772343993859,,0.003958363305987
relative,leave_one_task,commit_target_contact_count,continuous,,,0.4864932893857464,,27.558622000524803
relative,leave_one_task,feedback_target_contact_count,continuous,,,0.4760847239990616,,31.083458807518284
relative,leave_one_task,commit_target_contact,binary,141.0,499.0,,0.6663539845648744,0.3577554643717971
relative,leave_one_task,feedback_target_contact,binary,126.0,514.0,,0.734729170526836,0.3271946209534204
relative,leave_one_task,commit_drop,binary,29.0,611.0,,0.6408375190473503,0.209842174430168
relative,leave_one_task,feedback_drop,binary,16.0,624.0,,0.4276842948717949,0.1601709960418066
relative,leave_one_task,commit_wrong,binary,21.0,619.0,,0.5025001923224863,0.1841322665792949
relative,leave_one_task,feedback_wrong,binary,39.0,601.0,,0.5577883015487008,0.2555801993656233
relative,leave_one_task,commit_deadlock,binary,35.0,605.0,,0.6384415584415585,0.2263252570178112
relative,leave_one_task,feedback_deadlock,binary,83.0,557.0,,0.2144015920053643,0.3660544240187522
relative,leave_one_level,commit_target_lift,continuous,,,0.4188961077777241,,0.0309255172317512
relative,leave_one_level,feedback_target_lift,continuous,,,0.3515552647263341,,0.0327601407656097
relative,leave_one_level,lift_advantage,continuous,,,-0.136019306234964,,0.0065458519722239
relative,leave_one_level,commit_target_eef_distance,continuous,,,0.2123277888862033,,0.0718693504108556
relative,leave_one_level,feedback_target_eef_distance,continuous,,,0.2005442823346737,,0.0731507628617456
relative,leave_one_level,distance_advantage,continuous,,,0.4302132156429222,,0.0040370580071139
relative,leave_one_level,commit_target_contact_count,continuous,,,0.4406850964053651,,28.87620021900465
relative,leave_one_level,feedback_target_contact_count,continuous,,,0.444455412815506,,32.32932087522558
relative,leave_one_level,commit_target_contact,binary,141.0,499.0,,0.6355405847155303,0.3674654032764329
relative,leave_one_level,feedback_target_contact,binary,126.0,514.0,,0.7094682230869002,0.3212869319381402
