task_id,phase_at_snapshot,states,independent_groups,open_success_rate,feedback_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,net_rescues,discordance_rate,both_success,both_fail,mean_query_cost,always_requery_adjusted_delta,discordance_pvalue,strict_integrity_states
1,grasp,16,9,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,16,0,0.025,-0.025,,16
1,transport,4,3,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,4,0,0.025,-0.025,,4
2,transport,20,10,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,20,0,0.025000000000000005,-0.025000000000000005,,20
3,grasp,12,6,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,12,0,0.025000000000000005,-0.025000000000000005,,12
3,transport,8,4,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,8,0,0.025,-0.025,,8
4,grasp,14,7,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,14,0,0.025000000000000005,-0.025000000000000005,,14
4,transport,6,3,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,6,0,0.024999999999999998,-0.024999999999999998,,6
5,grasp,16,8,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,16,0,0.025,-0.025,,16
5,transport,4,2,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,4,0,0.025,-0.025,,4
6,grasp,4,2,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,4,0,0.025,-0.025,,4
6,transport,16,8,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,16,0,0.025,-0.025,,14
7,approach,2,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,2,0,0.025,-0.025,,2
7,transport,18,9,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,18,0,0.025000000000000005,-0.025000000000000005,,17
8,grasp,4,2,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,4,0,0.025,-0.025,,4
8,transport,16,8,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,16,0,0.025,-0.025,,16
9,grasp,5,3,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,5,0,0.025,-0.025,,5
9,transport,15,8,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,15,0,0.02500000000000001,-0.02500000000000001,,15
