state_key,init_state_id,rollout_seed,baseline_success,method_success,baseline_queries,method_queries,method_requeries,baseline_failure_type,method_failure_type,strict_prefix,delta,delta_after_cost,terminal_outcome
libero_object_object|task0|init0|seed13100000,0,13100000,False,True,18,15,1,target_drop_candidate,success,False,1,0.975,rescue
libero_object_object|task0|init0|seed13100097,0,13100097,True,True,8,12,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init1|seed13110000,1,13110000,False,False,18,19,1,target_drop_candidate,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init1|seed13110097,1,13110097,True,False,16,19,1,success,timeout_no_goal,False,-1,-1.025,harm
libero_object_object|task0|init2|seed13120000,2,13120000,True,True,9,10,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init2|seed13120097,2,13120097,True,True,8,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init3|seed13130000,3,13130000,True,False,8,19,1,success,timeout_no_goal,False,-1,-1.025,harm
libero_object_object|task0|init3|seed13130097,3,13130097,True,True,8,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init4|seed13140000,4,13140000,True,True,8,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init4|seed13140097,4,13140097,False,True,18,9,1,target_drop_candidate,success,False,1,0.975,rescue
libero_object_object|task0|init5|seed13150000,5,13150000,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init5|seed13150097,5,13150097,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init6|seed13160000,6,13160000,True,True,9,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init6|seed13160097,6,13160097,False,True,18,9,1,timeout_no_goal,success,False,1,0.975,rescue
libero_object_object|task0|init7|seed13170000,7,13170000,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init7|seed13170097,7,13170097,False,True,18,16,1,timeout_no_goal,success,False,1,0.975,rescue
libero_object_object|task0|init8|seed13180000,8,13180000,True,True,10,10,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init8|seed13180097,8,13180097,True,True,9,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init9|seed13190000,9,13190000,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init9|seed13190097,9,13190097,True,True,9,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init10|seed13200000,10,13200000,True,True,8,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init10|seed13200097,10,13200097,True,False,8,19,1,success,kinematic_deadlock_candidate,False,-1,-1.025,harm
libero_object_object|task0|init11|seed13210000,11,13210000,True,True,11,11,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init11|seed13210097,11,13210097,False,True,18,12,1,timeout_no_goal,success,False,1,0.975,rescue
libero_object_object|task0|init12|seed13220000,12,13220000,True,True,17,12,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init12|seed13220097,12,13220097,False,True,18,14,1,timeout_no_goal,success,False,1,0.975,rescue
libero_object_object|task0|init13|seed13230000,13,13230000,True,False,17,19,1,success,timeout_no_goal,False,-1,-1.025,harm
libero_object_object|task0|init13|seed13230097,13,13230097,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init14|seed13240000,14,13240000,False,False,18,19,1,target_drop_candidate,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init14|seed13240097,14,13240097,False,False,18,19,1,target_drop_candidate,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init15|seed13250000,15,13250000,True,True,8,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init15|seed13250097,15,13250097,True,False,16,19,1,success,timeout_no_goal,False,-1,-1.025,harm
libero_object_object|task0|init16|seed13260000,16,13260000,True,True,10,15,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init16|seed13260097,16,13260097,False,True,18,16,1,target_drop_candidate,success,False,1,0.975,rescue
