planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value,0.0,libero_object_object,0,10,2,2,1.0,126.5,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,10,2,1,0.5,203.5,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,11,2,2,1.0,157.5,0.0
max_value,0.0,libero_object_object,0,11,2,1,0.5,227.5,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,12,2,2,1.0,185.0,0.0
max_value,0.0,libero_object_object,0,12,2,1,0.5,270.5,0.0
max_value,0.0,libero_object_object,0,13,2,1,0.5,275.5,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,13,2,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,14,2,0,0.0,280.0,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,14,2,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,15,2,2,1.0,186.0,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,15,2,1,0.5,199.0,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,16,2,2,1.0,227.0,0.0
max_value,0.0,libero_object_object,0,16,2,1,0.5,218.5,0.0
max_value,0.0,libero_object_object,0,17,2,1,0.5,277.5,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,17,2,0,0.0,280.0,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,18,2,2,1.0,229.5,0.0
max_value,0.0,libero_object_object,0,18,2,0,0.0,280.0,0.0
max_value,0.0,libero_object_object,0,19,2,0,0.0,280.0,0.0
max_value_scheduled_requery,0.0,libero_object_object,0,19,2,0,0.0,280.0,0.0
