init_state_id,pairs,baseline_success_rate,method_success_rate,success_delta,strict_prefix
0,2,0.5,0.5,0.0,0
1,2,0.0,0.5,0.5,0
2,2,1.0,1.0,0.0,0
3,2,1.0,1.0,0.0,0
4,2,0.5,1.0,0.5,0
5,2,0.0,0.0,0.0,0
6,2,0.5,1.0,0.5,0
7,2,0.0,0.0,0.0,0
8,2,0.5,0.5,0.0,0
9,2,0.5,0.0,-0.5,0
10,2,1.0,1.0,0.0,0
11,2,0.0,1.0,1.0,0
12,2,0.0,1.0,1.0,0
13,2,0.0,0.0,0.0,0
14,2,1.0,1.0,0.0,0
15,2,0.0,0.5,0.5,0
16,2,0.5,1.0,0.5,2
17,2,0.0,0.0,0.0,2
18,2,0.5,0.5,0.0,2
19,2,0.0,0.5,0.5,2
20,2,1.0,1.0,0.0,2
21,2,0.0,0.0,0.0,2
22,2,0.0,0.0,0.0,2
23,2,0.0,0.5,0.5,2
24,2,0.5,0.5,0.0,2
25,2,0.5,1.0,0.5,0
26,2,1.0,1.0,0.0,0
27,2,0.5,1.0,0.5,0
28,2,0.0,0.0,0.0,0
29,2,0.0,0.5,0.5,0
30,2,0.0,0.0,0.0,0
31,2,0.0,1.0,1.0,0
32,2,0.0,0.5,0.5,0
33,2,0.5,1.0,0.5,2
34,2,1.0,0.5,-0.5,2
35,2,1.0,1.0,0.0,2
36,2,0.0,0.5,0.5,2
37,2,1.0,0.5,-0.5,2
38,2,0.0,0.5,0.5,2
39,2,0.0,0.5,0.5,2
40,2,1.0,1.0,0.0,2
41,2,0.5,1.0,0.5,0
42,2,0.5,0.0,-0.5,0
43,2,0.5,0.5,0.0,0
44,2,0.0,0.5,0.5,0
45,2,0.0,0.0,0.0,0
46,2,0.0,0.0,0.0,0
47,2,0.0,0.0,0.0,0
48,2,0.5,0.5,0.0,0
49,2,0.0,0.0,0.0,0
