state_key,init_state_id,rollout_seed,baseline_success,method_success,baseline_queries,method_queries,method_requeries,baseline_failure_type,method_failure_type,strict_prefix,delta,delta_after_cost,terminal_outcome
libero_object_object|task0|init0|seed14100000,0,14100000,False,True,18,15,1,timeout_no_goal,success,False,1,0.975,rescue
libero_object_object|task0|init0|seed14100097,0,14100097,True,False,18,19,1,success,target_drop_candidate,False,-1,-1.025,harm
libero_object_object|task0|init1|seed14110000,1,14110000,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init1|seed14110097,1,14110097,False,True,18,18,1,timeout_no_goal,success,False,1,0.975,rescue
libero_object_object|task0|init2|seed14120000,2,14120000,True,True,10,18,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init2|seed14120097,2,14120097,True,True,9,10,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init3|seed14130000,3,14130000,True,True,8,11,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init3|seed14130097,3,14130097,True,True,8,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init4|seed14140000,4,14140000,False,True,18,13,1,target_drop_candidate,success,False,1,0.975,rescue
libero_object_object|task0|init4|seed14140097,4,14140097,True,True,11,14,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init5|seed14150000,5,14150000,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init5|seed14150097,5,14150097,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init6|seed14160000,6,14160000,False,True,18,9,1,kinematic_deadlock_candidate,success,False,1,0.975,rescue
libero_object_object|task0|init6|seed14160097,6,14160097,True,True,8,9,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init7|seed14170000,7,14170000,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
libero_object_object|task0|init7|seed14170097,7,14170097,False,False,18,19,1,wrong_object_interaction_candidate,target_drop_candidate,False,0,-0.025,both_fail
libero_object_object|task0|init8|seed14200000,8,14200000,False,False,18,19,1,target_drop_candidate,kinematic_deadlock_candidate,False,0,-0.025,both_fail
libero_object_object|task0|init8|seed14200097,8,14200097,True,True,9,10,1,success,success,False,0,-0.025,both_success
libero_object_object|task0|init9|seed14210000,9,14210000,False,False,18,19,1,timeout_no_goal,timeout_no_goal,False,0,-0.025,both_fail
