init_state_id,states,independent_groups,open_success_rate,feedback_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,net_rescues,discordance_rate,both_success,both_fail,mean_query_cost,always_requery_adjusted_delta,discordance_pvalue,strict_integrity_states
0,2,1,0.0,1.0,1.0,1.0,1.0,2,0,2,1.0,0,0,0.025,0.975,0.5,2
1,2,1,0.5,0.5,0.0,0.0,0.0,1,1,0,1.0,0,0,0.025,-0.024999999999999967,1.0,2
2,2,1,1.0,0.5,-0.5,-0.5,-0.5,0,1,-1,0.5,1,0,0.025,-0.5249999999999999,1.0,2
3,2,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,2,0,0.025,-0.025,,2
4,2,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,2,0,0.025,-0.025,,2
5,2,1,0.5,0.0,-0.5,-0.5,-0.5,0,1,-1,0.5,0,1,0.025,-0.5249999999999999,1.0,2
6,2,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,2,0,0.025,-0.025,,2
7,2,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2,0.025,-0.025,,2
8,2,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,2,0,0.025,-0.025,,2
9,2,1,1.0,0.5,-0.5,-0.5,-0.5,0,1,-1,0.5,1,0,0.025,-0.5249999999999999,1.0,2
10,2,1,0.0,1.0,1.0,1.0,1.0,2,0,2,1.0,0,0,0.025,0.975,0.5,2
11,2,1,0.5,1.0,0.5,0.5,0.5,1,0,1,0.5,1,0,0.025,0.475,1.0,2
12,2,1,0.5,1.0,0.5,0.5,0.5,1,0,1,0.5,1,0,0.025,0.475,1.0,2
13,2,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2,0.025,-0.025,,2
14,2,1,0.0,1.0,1.0,1.0,1.0,2,0,2,1.0,0,0,0.025,0.975,0.5,2
15,2,1,0.5,0.5,0.0,0.0,0.0,0,0,0,0.0,1,1,0.025,-0.025,,2
16,2,1,0.5,1.0,0.5,0.5,0.5,1,0,1,0.5,1,0,0.025,0.475,1.0,2
