variant,metric,factor,roc_auc,balanced_average_precision,id_groups,ood_groups
p4_original,epistemic_mean,Environment,0.8769270298047277,0.79539411404657,56,139
p4_original,epistemic_mean,Object,0.5883204633204633,0.5581235716403139,56,37
p4_original,epistemic_mean,Position,0.28095238095238095,0.3866318178051791,56,75
p4_original,epistemic_mean,All OOD,0.6563033579965851,0.6483645968759296,56,251
p4_original,predicted_mean_residual_rms,Environment,0.4723792394655704,0.4735473545072855,56,139
p4_original,predicted_mean_residual_rms,Object,0.222007722007722,0.3595537006506752,56,37
p4_original,predicted_mean_residual_rms,Position,0.1438095238095238,0.3327317062293018,56,75
p4_original,predicted_mean_residual_rms,All OOD,0.33729368241320434,0.4031590108225842,56,251
p4_original,mean_plus_epistemic_rms,Environment,0.618191161356629,0.5906544171310095,56,139
p4_original,mean_plus_epistemic_rms,Object,0.2446911196911197,0.3650575321640233,56,37
p4_original,mean_plus_epistemic_rms,Position,0.15119047619047618,0.33522367577649126,56,75
p4_original,mean_plus_epistemic_rms,All OOD,0.42359134889015365,0.46865768128340135,56,251
p4_original,expected_residual_rms,Environment,0.2209660842754368,0.3527499767060178,56,139
p4_original,expected_residual_rms,Object,0.2668918918918919,0.3744708074795121,56,37
p4_original,expected_residual_rms,Position,0.604047619047619,0.6693965428017451,56,75
p4_original,expected_residual_rms,All OOD,0.34220261809903246,0.45645428641023533,56,251
p4_original,epistemic_snr,Environment,0.8408273381294964,0.8165165054098522,56,139
p4_original,epistemic_snr,Object,0.5767374517374517,0.6046346707096151,56,37
p4_original,epistemic_snr,Position,0.10976190476190475,0.3259522353842963,56,75
p4_original,epistemic_snr,All OOD,0.583451906659078,0.6502412180526355,56,251
p4_original,common_covariance_jrd,Environment,0.8933067831449126,0.6746899491382122,56,139
p4_original,common_covariance_jrd,Object,0.7166988416988417,0.5992055849745576,56,37
p4_original,common_covariance_jrd,Position,0.22976190476190475,0.3601915877056814,56,75
p4_original,common_covariance_jrd,All OOD,0.669002561183836,0.5731288340265801,56,251
p4_original,mc_predictive_mi,Environment,0.6344424460431655,0.5276365411045625,56,139
p4_original,mc_predictive_mi,Object,0.49903474903474904,0.4650360629417963,56,37
p4_original,mc_predictive_mi,Position,0.09619047619047619,0.3208102761423069,56,75
p4_original,mc_predictive_mi,All OOD,0.45364968696642005,0.4437107718043589,56,251
hetero_earlystop,epistemic_mean,Environment,0.1211459403905447,0.325414175921965,56,139
