variant,metric,risk_lambda,candidate_spearman,snapshots,selection_change_rate,baseline_residual_mean,selected_residual_mean,pooled_residual_delta,pooled_relative_delta,environment_residual_delta,object_residual_delta,position_residual_delta,worst_factor_residual_delta
p4_original,epistemic_mean,0.25,0.6137083620853175,391,0.10741687979539642,1.0826671750039396,1.0776540220850874,-0.005013152918852199,-0.004630373058861748,-0.004337479625891776,-0.0005748263994852701,-0.0100889243577656,-0.0005748263994852701
p4_original,epistemic_mean,0.5,0.6137083620853175,391,0.21739130434782608,1.0826671750039396,1.0747021233944027,-0.007965051609536877,-0.007356879190050159,-0.006967624657833738,-0.0029006505012512205,-0.01428359307740864,-0.0029006505012512205
p4_original,epistemic_mean,1.0,0.6137083620853175,391,0.45268542199488493,1.0826671750039396,1.070467049356007,-0.012200125647932672,-0.011268583669665868,-0.006501228830933031,-0.008644951184590658,-0.02826427597748606,-0.006501228830933031
p4_original,epistemic_mean,2.0,0.6137083620853175,391,0.6138107416879796,1.0826671750039396,1.070054933695537,-0.012612241308402527,-0.011649232192115397,-0.005690594873816719,-0.011667931079864502,-0.029459684773495323,-0.005690594873816719
p4_original,predicted_mean_residual_rms,0.25,0.3809674045507454,391,0.10997442455242967,1.0826671750039396,1.0775575435070126,-0.0051096314969270125,-0.004719485004159676,-0.004428351087268122,-0.0012211211522420247,-0.009764381458884792,-0.0012211211522420247
p4_original,predicted_mean_residual_rms,0.5,0.3809674045507454,391,0.22762148337595908,1.0826671750039396,1.0745345480606685,-0.008132626943271179,-0.007511659290161434,-0.007681048833406889,-0.002788654963175456,-0.01340206547787315,-0.002788654963175456
p4_original,predicted_mean_residual_rms,1.0,0.3809674045507454,391,0.42455242966751916,1.0826671750039396,1.071267483027085,-0.011399691976854563,-0.010529267202372771,-0.009903273701128376,-0.005514042377471924,-0.019527398912530195,-0.005514042377471924
p4_original,predicted_mean_residual_rms,2.0,0.3809674045507454,391,0.59846547314578,1.0826671750039396,1.0653781172869456,-0.01728905771699403,-0.015968949753123456,-0.012375163546514727,-0.013154371579488119,-0.031984553211613705,-0.012375163546514727
p4_original,mean_plus_epistemic_rms,0.25,0.5249941420317745,391,0.10485933503836317,1.0826671750039396,1.0777400416486405,-0.004927133355299225,-0.004550921528844999,-0.004326508325688979,-0.0012211211522420247,-0.009250175952911378,-0.0012211211522420247
p4_original,mean_plus_epistemic_rms,0.5,0.5249941420317745,391,0.22506393861892582,1.0826671750039396,1.074045801863951,-0.008621373139988736,-0.007963087215567762,-0.008539978465343493,-0.002788654963175456,-0.013415500364805523,-0.002788654963175456
p4_original,mean_plus_epistemic_rms,1.0,0.5249941420317745,391,0.42455242966751916,1.0826671750039396,1.0713497417052384,-0.011317433298701215,-0.010453289394924192,-0.008890818147098316,-0.005338698228200277,-0.021682560443878174,-0.005338698228200277
p4_original,mean_plus_epistemic_rms,2.0,0.5249941420317745,391,0.6035805626598465,1.0826671750039396,1.0663666315090932,-0.016300543494846508,-0.01505591364658044,-0.011045781735381389,-0.009811843236287435,-0.033647436844675166,-0.009811843236287435
p4_original,expected_residual_rms,0.25,0.17273640528301404,391,0.08439897698209718,1.0826671750039396,1.0812696320626436,-0.0013975429412958873,-0.0012908333914259495,-0.0018278306425966288,-0.00041260639826456704,-0.0011741393490841514,-0.00041260639826456704
p4_original,expected_residual_rms,0.5,0.17273640528301404,391,0.2020460358056266,1.0826671750039396,1.0823671096731025,-0.0003000653308370839,-0.00027715380845086765,-0.0012094381168417261,0.0019016766548156738,7.720558266890677e-05,0.0019016766548156738
p4_original,expected_residual_rms,1.0,0.17273640528301404,391,0.40153452685422,1.0826671750039396,1.0831042072352242,0.00043703223128452936,0.0004036625856722211,-2.945683121141805e-05,0.00524274746576945,-0.0022717526084498354,0.00524274746576945
p4_original,expected_residual_rms,2.0,0.17273640528301404,391,0.6061381074168798,1.0826671750039396,1.0841411714968474,0.0014739964929078241,0.0013614493234289297,0.002016746889951542,0.00025440216064453124,0.0011742253052560907,0.002016746889951542
hetero_earlystop,epistemic_mean,0.25,-0.010726903461297559,391,0.10997442455242967,1.0826671750039396,1.0782972342522859,-0.004369940751653803,-0.004036273429678794,-0.003413110027485843,-0.0013625224431355794,-0.008970108785127339,-0.0013625224431355794
hetero_earlystop,epistemic_mean,0.5,-0.010726903461297559,391,0.23529411764705882,1.0826671750039396,1.0757954800525285,-0.006871694951411099,-0.0063470059036250855,-0.0055364629262173335,-0.0011228267351786295,-0.014516446464940122,-0.0011228267351786295
hetero_earlystop,epistemic_mean,1.0,-0.010726903461297559,391,0.46547314578005117,1.0826671750039396,1.073068745605781,-0.009598429398158628,-0.00886554023227286,-0.00834417046464946,-0.0009118318557739258,-0.019374071924309982,-0.0009118318557739258
