kind,job_id,candidate_idx,selected,branches,successes,sr,value,contact_steps,local_lift,local_drop,terminal_drop
neighbor,neighbor_t0_i10,0,False,10,3,0.3,0.3199161887168884,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i10,1,False,10,6,0.6,0.3188732862472534,0.0,0.0,0.0,0.1
neighbor,neighbor_t0_i10,2,False,10,2,0.2,0.3193585276603699,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i10,3,False,10,3,0.3,0.3186566233634949,0.0,0.0,0.0,0.1
neighbor,neighbor_t0_i10,4,False,10,4,0.4,0.31921565532684326,0.0,0.0,0.0,0.1
neighbor,neighbor_t0_i10,5,False,10,0,0.0,0.3205887973308563,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i10,6,False,10,1,0.1,0.3187223970890045,0.0,0.0,0.0,0.1
neighbor,neighbor_t0_i10,7,True,10,3,0.3,0.32208794355392456,0.0,0.0,0.0,0.1
neighbor,neighbor_t0_i11,0,False,10,0,0.0,0.2952080965042114,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i11,1,True,10,0,0.0,0.2983095049858093,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i11,2,False,10,0,0.0,0.29532909393310547,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i11,3,False,10,0,0.0,0.29809266328811646,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i11,4,False,10,0,0.0,0.2974202632904053,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i11,5,False,10,0,0.0,0.2946944236755371,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i11,6,False,10,0,0.0,0.29577386379241943,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i11,7,False,10,0,0.0,0.295901358127594,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i12,0,False,10,0,0.0,0.308513879776001,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i12,1,False,10,0,0.0,0.30670586228370667,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i12,2,False,10,0,0.0,0.30649012327194214,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i12,3,False,10,0,0.0,0.30675143003463745,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i12,4,False,10,0,0.0,0.30848750472068787,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i12,5,False,10,0,0.0,0.30787956714630127,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i12,6,True,10,0,0.0,0.3093011975288391,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i12,7,False,10,0,0.0,0.30767667293548584,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i9,0,False,10,5,0.5,0.3212016820907593,0.0,0.0,0.0,0.1
neighbor,neighbor_t0_i9,1,False,10,3,0.3,0.3202629089355469,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i9,2,False,10,1,0.1,0.3198905289173126,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i9,3,False,10,0,0.0,0.3218346834182739,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i9,4,True,10,0,0.0,0.32420334219932556,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i9,5,False,10,0,0.0,0.3216744065284729,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i9,6,False,10,0,0.0,0.3222280740737915,0.0,0.0,0.0,0.0
neighbor,neighbor_t0_i9,7,False,10,0,0.0,0.32291722297668457,0.0,0.0,0.0,0.0
neighbor,neighbor_t2_i10,0,False,10,10,1.0,0.5092687010765076,13.0,0.0739136893643288,0.0,0.0
neighbor,neighbor_t2_i10,1,False,10,10,1.0,0.5104241371154785,13.0,0.07682518748423595,0.0,0.0
neighbor,neighbor_t2_i10,2,False,10,10,1.0,0.5104392170906067,13.0,0.0770465923615658,0.0,0.0
