row_uid,snapshot_id,source_run,position_level,suite,task_id,init_state_id,rollout_id,rollout_seed,query_idx,snapshot_t,phase_at_snapshot,task_description,independent_group,source_commit_success,source_feedback_success,source_feedback_drop,source_feedback_wrong,source_feedback_safety,source_feedback_failure_type,source_feedback_final_t,proposal,proposal_deployable,proposal_execution_horizon,proposal_primitive,strict_replay,feedback_endpoint_replay_max_abs,common_prefix_steps,primitive_steps,continuation_queries,branch_executed_steps,video_num_frames,video_path,branch_started_at,branch_finished_at,perception_localization_used,perception_object,perception_pixel_row,perception_pixel_col,perception_world_x,perception_world_y,perception_world_z,perception_peak_probability,perception_entropy,perception_score_range,perception_confidence_pass,terminal_available,terminal_success,terminal_final_t,terminal_continuation_queries,terminal_goal_progress_max,terminal_target_drop_candidate,terminal_wrong_object_interaction_candidate,terminal_official_safety_violation,terminal_failure_type,terminal_episode_failure_type,terminal_episode_failure_event_t,terminal_episode_safe_task_success,terminal_episode_safety_terminated,terminal_episode_official_safety_violation,terminal_episode_official_safety_violation_t,terminal_episode_official_safety_cost_types,terminal_episode_target_objects,terminal_episode_goal_relevant_objects,terminal_episode_target_drop_candidate,terminal_episode_target_drop_candidate_t,terminal_episode_target_drop_candidate_object,terminal_episode_successful_target_release,terminal_episode_successful_target_release_t,terminal_episode_successful_target_release_objects,terminal_episode_wrong_object_interaction_candidate,terminal_episode_wrong_object_interaction_candidate_t,terminal_episode_kinematic_deadlock_candidate,terminal_episode_episode_goal_progress_initial,terminal_episode_episode_goal_progress_max,terminal_episode_episode_time_to_first_goal_progress,terminal_episode_episode_time_to_first_target_lift,terminal_episode_episode_target_lift_max,terminal_episode_goal_predicates_json,terminal_episode_goal_predicates_satisfied_final_json,terminal_episode_episode_eef_path_length,terminal_episode_episode_eef_net_displacement,terminal_episode_episode_eef_jerk_mean,terminal_episode_episode_eef_dimensionless_jerk_proxy,terminal_utility_v1
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init10__rollout1__query4,libero_object_temp__task5__init10__rollout1__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,10,1,20101067,4,64,grasp,pick the tomato sauce and place it in the basket,x0.2|task5|init10,False,False,True,False,False,target_drop_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T12:52:39+00:00,2026-09-04T12:53:44+00:00,True,tomato sauce,108.0,60.0,-0.2431431435318887,-0.28403344322511564,0.03839259594678879,3.437271475458993e-05,0.9945139175053975,4.055113047361374,True,True,False,280,23,0.0,True,False,False,target_drop_candidate,target_drop_candidate,88,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,True,88,tomato_sauce_1,False,-1,,False,-1,False,0.0,0.0,-1,68,0.12611791952717857,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],1.5147176315336786,0.2878998562249784,9.795771407322016,200967900.52000812,-1.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init11__rollout0__query4,libero_object_temp__task5__init11__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,11,0,20101164,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init11,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T12:53:51+00:00,2026-09-04T12:54:53+00:00,True,tomato sauce,108.0,60.0,-0.2431431435318887,-0.28403344322511564,0.03839259594678879,4.862507611528592e-05,0.9932648540057962,5.9334328174591064,True,True,False,280,23,0.0,False,True,False,wrong_object_interaction_candidate,wrong_object_interaction_candidate,149,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,True,149,False,0.0,0.0,-1,-1,0.0,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],1.3828630297917135,0.37446626853494114,6.186947080429837,127518831.5120653,-0.5
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24|libero_object_temp__task5__init15__rollout0__query4,libero_object_temp__task5__init15__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24,x0.2,libero_object_temp,5,15,0,20101940,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init15,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T12:55:00+00:00,2026-09-04T12:56:02+00:00,True,tomato sauce,108.0,60.0,-0.2431431435318887,-0.28403344322511564,0.03839259594678879,3.325975543041899e-05,0.9934238021796695,5.855847418308258,True,True,False,280,23,0.0,False,True,False,wrong_object_interaction_candidate,wrong_object_interaction_candidate,127,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,True,127,False,0.0,0.0,-1,-1,0.0,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],1.451898459209768,0.3552363123091174,5.968129592182526,104106679.79159269,-0.5
signed_vof_new_task_holdout_20260903__position_x0p2_task6_init5_14|libero_object_temp__task6__init11__rollout0__query4,libero_object_temp__task6__init11__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task6_init5_14,x0.2,libero_object_temp,6,11,0,20401164,4,64,approach,pick the butter and place it in the basket,x0.2|task6|init11,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,22,205,0,,2026-09-04T12:52:42+00:00,2026-09-04T12:53:44+00:00,True,butter,203.0,60.0,0.3073056141654149,-0.17998985550007363,0.04900136590003967,3.7618749381178975e-05,0.9964792217079046,2.7822314500808716,True,True,True,269,22,1.0,False,False,False,success,success,-1,True,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,269,170,0.315271805831885,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[1],1.6887956116688891,0.555385719462894,8.842095912578392,124146277.43109329,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24|libero_object_temp__task6__init15__rollout1__query4,libero_object_temp__task6__init15__rollout1__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24,x0.2,libero_object_temp,6,15,1,20402037,4,64,approach,pick the butter and place it in the basket,x0.2|task6|init15,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T12:53:51+00:00,2026-09-04T12:54:52+00:00,True,butter,99.0,60.0,-0.3070806051575534,-0.29482553304447273,0.04827367514371872,3.6941462552788285e-05,0.9966417718549878,3.205599069595337,True,True,False,280,23,0.0,False,False,False,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,0.0,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[0],1.5943642016688893,0.1811435167045255,9.492180818891093,165080076.19714537,0.0
signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24|libero_object_temp__task6__init20__rollout0__query4,libero_object_temp__task6__init20__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24,x0.2,libero_object_temp,6,20,0,20402910,4,64,approach,pick the butter and place it in the basket,x0.2|task6|init20,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T12:54:57+00:00,2026-09-04T12:55:59+00:00,True,butter,59.0,51.0,-0.8185242940125448,-0.442024429551212,0.048188574612140656,3.9032354368678785e-05,0.9966720657764406,3.1855251789093018,True,True,False,280,23,0.0,False,False,False,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,257,0.24787181558793858,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[0],1.836008141279481,0.29621222886777887,9.796718547080774,125320559.81540862,0.0
invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14|libero_object_temp__task9__init11__rollout0__query4,libero_object_temp__task9__init11__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14,x0.2,libero_object_temp,9,11,0,30701164,4,64,approach,pick the orange juice and place it in the basket,x0.2|task9|init11,False,False,False,False,False,kinematic_deadlock_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T12:52:40+00:00,2026-09-04T12:53:44+00:00,True,orange juice,0.0,99.0,-2.3215387810659607,-0.282837217640402,0.11595337837934494,6.316148816287988e-05,0.9944425007128377,4.643520832061768,True,True,False,280,23,0.0,False,True,False,wrong_object_interaction_candidate,wrong_object_interaction_candidate,191,False,False,False,-1,,orange_juice_1,orange_juice_1,False,-1,,False,-1,,True,191,False,0.0,0.0,-1,-1,0.004999363659478159,"[[""in"", ""orange_juice_1"", ""basket_1_contain_region""]]",[0],1.7740704608047775,0.3177445754577565,7.563524345391311,119915685.60284251,-0.5
invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14|libero_object_temp__task9__init12__rollout0__query4,libero_object_temp__task9__init12__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14,x0.2,libero_object_temp,9,12,0,30701358,4,64,approach,pick the orange juice and place it in the basket,x0.2|task9|init12,False,False,False,False,False,kinematic_deadlock_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T12:53:50+00:00,2026-09-04T12:54:53+00:00,True,orange juice,0.0,107.0,-2.2084712264374993,-0.19761844054941813,0.1347169578075409,4.616875885392024e-05,0.9945294392999318,4.037523984909058,True,True,False,280,23,0.0,False,False,False,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,orange_juice_1,orange_juice_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,203,0.18720642399253729,"[[""in"", ""orange_juice_1"", ""basket_1_contain_region""]]",[0],1.5465252972530736,0.32029353311724806,8.880323532984823,173422018.16065985,0.0
invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init15_24|libero_object_temp__task9__init15__rollout0__query4,libero_object_temp__task9__init15__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init15_24,x0.2,libero_object_temp,9,15,0,30701940,4,64,approach,pick the orange juice and place it in the basket,x0.2|task9|init15,False,False,False,False,False,kinematic_deadlock_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T12:54:59+00:00,2026-09-04T12:56:01+00:00,True,orange juice,0.0,100.0,-2.288590805673578,-0.2702884649315825,0.12142109870910645,4.918437675764104e-05,0.9950105728433034,4.570374548435211,True,True,False,280,23,0.0,False,True,False,wrong_object_interaction_candidate,wrong_object_interaction_candidate,152,False,False,False,-1,,orange_juice_1,orange_juice_1,False,-1,,False,-1,,True,152,True,0.0,0.0,-1,-1,0.002849040413443721,"[[""in"", ""orange_juice_1"", ""basket_1_contain_region""]]",[0],1.6034734807643285,0.31907239939370236,7.696841980240854,156279870.51862884,-0.5
invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14|libero_object_temp__task4__init10__rollout1__query4,libero_object_temp__task4__init10__rollout1__query4,invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14,y0.2,libero_object_temp,4,10,1,30201067,4,64,approach,pick the ketchup and place it in the basket,y0.2|task4|init10,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T12:56:52+00:00,2026-09-04T12:57:55+00:00,True,ketchup,171.0,84.0,0.3638816884302749,-0.0978457290605188,0.20547789335250854,3.9014482327674304e-05,0.9977703649244296,1.851978063583374,True,True,False,280,23,0.0,False,True,False,wrong_object_interaction_candidate,wrong_object_interaction_candidate,216,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,True,216,False,0.0,0.0,-1,-1,0.0,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.4849158001097218,0.23551126987753432,7.462973695923529,140050901.34527582,-0.5
