proposal,metric,n,successes,failures,success_mean,fail_mean,pooled_failure_auc,same_cell_failure_auc,comparable_cells,comparable_pairs,pooled_auc_strength
perception_regrasp_h8,candidate_value_std,20,1,19,0.00014765391824766994,0.0030680647407854466,0.9473684210526315,1.0,1,2,0.4473684210526315
perception_regrasp_h8,candidate_value_range,20,1,19,0.0004019737243652344,0.007954657077789307,0.9473684210526315,1.0,1,2,0.4473684210526315
perception_regrasp_h8,planning_predicted_proprio_error,20,1,19,0.04690314034643367,0.06647579064063333,0.9473684210526315,1.0,1,2,0.4473684210526315
perception_regrasp_h8,candidate_value_mean,20,1,19,0.32562315464019775,0.3888128995895386,0.8947368421052632,0.0,1,2,0.39473684210526316
perception_regrasp_h8,candidate_value_internal_consistency_mean,20,1,19,0.007185792550444603,0.007941120745320069,0.8421052631578947,0.5,1,2,0.3421052631578947
perception_regrasp_h8,candidate_action_chunk_consistency_mean,20,1,19,0.008529871702194214,0.008677141593867227,0.7894736842105263,1.0,1,2,0.2894736842105263
perception_regrasp_h8,candidate_action_consensus_first_mean,20,1,19,0.015310637652873993,0.021508206956480678,0.7894736842105263,1.0,1,2,0.2894736842105263
perception_regrasp_h8,candidate_action_consensus_chunk_mean,20,1,19,0.08983149379491806,0.5117788124633463,0.7894736842105263,1.0,1,2,0.2894736842105263
perception_regrasp_h8,candidate_action_internal_consistency_mean,20,1,19,0.022702084854245186,0.023501158446857805,0.6842105263157895,1.0,1,2,0.1842105263157895
perception_regrasp_h8,candidate_future_proprio_across_sample_std_mean,20,1,19,0.0019060570048168302,0.0051533360230295285,0.6842105263157895,1.0,1,2,0.1842105263157895
perception_regrasp_h8,candidate_future_proprio_internal_consistency_mean,20,1,19,0.008554602973163128,0.008630023166341217,0.42105263157894735,0.0,1,2,0.07894736842105265
