metric,aggregation,n,success_mean,fail_mean,failure_auc,failure_auc_strength
candidate_value_range,first,80,0.0016260420789524,0.010250154041474866,0.9644502962475313,0.4644502962475313
candidate_value_std,first,80,0.0006332540019220502,0.004061028066526858,0.9585253456221198,0.4585253456221198
candidate_value_internal_consistency_mean,mean,80,0.007289701534421503,0.008253431121277518,0.8847926267281107,0.38479262672811065
candidate_value_internal_consistency_mean,first,80,0.007001221959232067,0.008685854804371633,0.879526003949967,0.37952600394996705
planning_predicted_proprio_error,first,80,0.05257531653382999,0.09935958610491744,0.869651086240948,0.369651086240948
candidate_future_proprio_internal_consistency_mean,mean,80,0.007757272875049845,0.008056869433926965,0.8413429888084266,0.3413429888084266
candidate_future_proprio_across_sample_std_mean,first,80,0.0016780593004837936,0.0050046030289283205,0.8354180381830152,0.3354180381830152
candidate_future_proprio_internal_consistency_mean,max,80,0.008714092135125277,0.009956833966557057,0.825543120473996,0.32554312047399603
candidate_value_internal_consistency_mean,max,80,0.008171334454067508,0.011944446953073624,0.8235681369321922,0.3235681369321922
candidate_value_range,max,80,0.015330335315392941,0.05313056130563059,0.8018433179723502,0.3018433179723502
candidate_future_proprio_across_sample_std_mean,max,80,0.008244755284680168,0.015694990453700864,0.7985516787360105,0.2985516787360105
candidate_value_std,max,80,0.006086193979005044,0.02119650258757775,0.7985516787360105,0.2985516787360105
planning_predicted_proprio_error,max,80,0.11250236224021967,0.15504108424964505,0.7919684002633312,0.29196840026333115
candidate_future_proprio_internal_consistency_mean,first,80,0.008372886553026584,0.009489436754055561,0.783410138248848,0.283410138248848
candidate_value_std,mean,80,0.0012017984033010042,0.002711002845953627,0.7518104015799868,0.2518104015799868
candidate_value_range,mean,80,0.003060419492168276,0.0068630754874515,0.7518104015799868,0.2518104015799868
candidate_future_proprio_across_sample_std_mean,mean,80,0.0019674213592038208,0.0024412686893302933,0.7142857142857143,0.2142857142857143
candidate_action_internal_consistency_mean,first,80,0.02344453855588728,0.024311132729053497,0.7083607636603029,0.20836076366030287
planning_predicted_proprio_error,mean,80,0.05979398567380609,0.06986681815678933,0.6925608953258723,0.19256089532587228
candidate_action_chunk_consistency_mean,max,80,0.00903570226260594,0.00946584406999811,0.6701777485187623,0.17017774851876233
candidate_action_chunk_consistency_mean,first,80,0.008180087812396944,0.008476631911171059,0.6583278472679395,0.15832784726793947
candidate_value_mean,max,80,0.9955367385124674,0.9203631762535341,0.37656352863726134,0.12343647136273866
candidate_action_consensus_chunk_mean,max,80,1.2636379764548369,1.612758834035166,0.6214614878209348,0.1214614878209348
candidate_value_mean,first,80,0.45858417664255413,0.4854129110613177,0.6175115207373272,0.11751152073732718
candidate_action_chunk_consistency_mean,mean,80,0.00805105248236717,0.008157897739650054,0.6129032258064516,0.11290322580645162
candidate_action_internal_consistency_mean,mean,80,0.02229254988792525,0.0224147341735513,0.5964450296247531,0.0964450296247531
candidate_action_consensus_chunk_mean,mean,80,0.28540350722795044,0.31997238154751223,0.5780118499012509,0.07801184990125087
candidate_action_internal_consistency_mean,max,80,0.029318585687754105,0.02972573059941492,0.5766951942067149,0.07669519420671489
candidate_value_mean,mean,80,0.6774155569703936,0.6850209459749516,0.5701119157340355,0.07011191573403552
candidate_action_consensus_first_mean,first,80,0.09415052311342893,0.026500468082245317,0.5681369321922317,0.06813693219223171
candidate_action_consensus_first_mean,max,80,0.4357619083733583,0.3189228471488722,0.45161290322580644,0.04838709677419356
candidate_action_consensus_chunk_mean,first,80,0.2614021113104358,0.15143043631988187,0.5464121132323897,0.046412113232389696
candidate_action_consensus_first_mean,mean,80,0.06477109153010467,0.03557235113694605,0.46807109940750496,0.031928900592495035
