row_uid,snapshot_id,source_run,position_level,suite,task_id,init_state_id,rollout_id,rollout_seed,query_idx,snapshot_t,phase_at_snapshot,task_description,independent_group,source_commit_success,source_feedback_success,source_feedback_drop,source_feedback_wrong,source_feedback_safety,source_feedback_failure_type,source_feedback_final_t,proposal,proposal_deployable,proposal_execution_horizon,proposal_primitive,strict_replay,feedback_endpoint_replay_max_abs,common_prefix_steps,primitive_steps,continuation_queries,branch_executed_steps,video_num_frames,video_path,branch_started_at,branch_finished_at,perception_localization_used,perception_object,perception_pixel_row,perception_pixel_col,perception_world_x,perception_world_y,perception_world_z,perception_peak_probability,perception_entropy,perception_score_range,perception_confidence_pass,terminal_available,terminal_success,terminal_final_t,terminal_continuation_queries,terminal_goal_progress_max,terminal_target_drop_candidate,terminal_wrong_object_interaction_candidate,terminal_official_safety_violation,terminal_failure_type,terminal_episode_failure_type,terminal_episode_failure_event_t,terminal_episode_safe_task_success,terminal_episode_safety_terminated,terminal_episode_official_safety_violation,terminal_episode_official_safety_violation_t,terminal_episode_official_safety_cost_types,terminal_episode_target_objects,terminal_episode_goal_relevant_objects,terminal_episode_target_drop_candidate,terminal_episode_target_drop_candidate_t,terminal_episode_target_drop_candidate_object,terminal_episode_successful_target_release,terminal_episode_successful_target_release_t,terminal_episode_successful_target_release_objects,terminal_episode_wrong_object_interaction_candidate,terminal_episode_wrong_object_interaction_candidate_t,terminal_episode_kinematic_deadlock_candidate,terminal_episode_episode_goal_progress_initial,terminal_episode_episode_goal_progress_max,terminal_episode_episode_time_to_first_goal_progress,terminal_episode_episode_time_to_first_target_lift,terminal_episode_episode_target_lift_max,terminal_episode_goal_predicates_json,terminal_episode_goal_predicates_satisfied_final_json,terminal_episode_episode_eef_path_length,terminal_episode_episode_eef_net_displacement,terminal_episode_episode_eef_jerk_mean,terminal_episode_episode_eef_dimensionless_jerk_proxy,terminal_utility_v1
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init10__rollout1__query4,libero_object_temp__task5__init10__rollout1__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,10,1,20101067,4,64,grasp,pick the tomato sauce and place it in the basket,x0.2|task5|init10,False,False,True,False,False,target_drop_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T13:13:06+00:00,2026-09-04T13:14:11+00:00,True,tomato sauce,91.0,108.0,-0.4093823733344091,-0.09267259041990412,0.03839259594678879,0.03115624277681208,0.4141111804048982,29.866405963897705,True,True,False,280,23,0.0,False,False,False,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,68,0.14851865813982942,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],1.564738639230538,0.42244794202251035,9.302962803023131,165366084.77884573,0.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init11__rollout0__query4,libero_object_temp__task5__init11__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,11,0,20101164,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init11,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,8,91,0,,2026-09-04T13:14:18+00:00,2026-09-04T13:14:41+00:00,True,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.05811482979275262,0.38173087229356406,28.142451286315918,True,True,True,155,8,1.0,False,False,False,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,155,96,0.17913647718683975,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],0.788185300659557,0.40071004825576295,9.496690952457374,4431230.138840096,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24|libero_object_temp__task5__init15__rollout0__query4,libero_object_temp__task5__init15__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24,x0.2,libero_object_temp,5,15,0,20101940,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init15,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,8,90,0,,2026-09-04T13:14:47+00:00,2026-09-04T13:15:11+00:00,True,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.058244216869593496,0.380877881811812,29.743422508239746,True,True,True,154,8,1.0,False,False,False,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,154,96,0.18705875399163643,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],0.7936467742532844,0.4163937152354264,9.27065919608114,3960879.626941113,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task6_init5_14|libero_object_temp__task6__init11__rollout0__query4,libero_object_temp__task6__init11__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task6_init5_14,x0.2,libero_object_temp,6,11,0,20401164,4,64,approach,pick the butter and place it in the basket,x0.2|task6|init11,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,15,153,0,,2026-09-04T13:13:09+00:00,2026-09-04T13:13:52+00:00,True,butter,155.0,60.0,0.05776580300438139,-0.22999032720863802,0.019840363413095585,0.08189591910653247,0.3175644234752257,26.584924697875977,True,True,True,217,15,1.0,False,False,False,success,success,-1,True,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,217,130,0.3199792426013855,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[1],1.381966848603883,0.5550136930228152,8.887763816999103,33511687.844293617,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24|libero_object_temp__task6__init15__rollout1__query4,libero_object_temp__task6__init15__rollout1__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24,x0.2,libero_object_temp,6,15,1,20402037,4,64,approach,pick the butter and place it in the basket,x0.2|task6|init15,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,15,153,0,,2026-09-04T13:13:58+00:00,2026-09-04T13:14:38+00:00,True,butter,155.0,60.0,0.06373094030470561,-0.22835476680115482,0.02432169020175934,0.07658614519791947,0.32699272281623143,24.77422523498535,True,True,True,217,15,1.0,False,False,False,success,success,-1,True,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,217,131,0.3205857058517109,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[1],1.3874171431719078,0.561202030250287,9.326893766130608,37057545.41955961,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24|libero_object_temp__task6__init20__rollout0__query4,libero_object_temp__task6__init20__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24,x0.2,libero_object_temp,6,20,0,20402910,4,64,approach,pick the butter and place it in the basket,x0.2|task6|init20,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,15,152,0,,2026-09-04T13:14:44+00:00,2026-09-04T13:15:24+00:00,True,butter,155.0,59.0,0.054513103093885906,-0.2342774863992094,0.01739675924181938,0.060713447733550786,0.31633474738513334,26.13469886779785,True,True,True,216,15,1.0,False,False,False,success,success,-1,True,False,False,-1,,butter_1,butter_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,216,133,0.32294453041532306,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",[1],1.3565484710026543,0.5501179826598387,9.097766101733166,32832274.70305281,3.0
invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14|libero_object_temp__task9__init11__rollout0__query4,libero_object_temp__task9__init11__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14,x0.2,libero_object_temp,9,11,0,30701164,4,64,approach,pick the orange juice and place it in the basket,x0.2|task9|init11,False,False,False,False,False,kinematic_deadlock_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T13:13:05+00:00,2026-09-04T13:14:09+00:00,True,orange juice,68.0,147.0,-0.4201498770899572,0.08508957811782274,0.1462850570678711,0.012851217750285237,0.6288987394079025,11.382184505462646,True,True,False,280,23,0.0,False,False,False,kinematic_deadlock_candidate,kinematic_deadlock_candidate,280,False,False,False,-1,,orange_juice_1,orange_juice_1,False,-1,,False,-1,,False,-1,True,0.0,0.0,-1,-1,1.6614487563515468e-13,"[[""in"", ""orange_juice_1"", ""basket_1_contain_region""]]",[0],0.7952458612382558,0.3057143447174026,6.093682070555854,437853605.8562296,0.0
invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14|libero_object_temp__task9__init12__rollout0__query4,libero_object_temp__task9__init12__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14,x0.2,libero_object_temp,9,12,0,30701358,4,64,approach,pick the orange juice and place it in the basket,x0.2|task9|init12,False,False,False,False,False,kinematic_deadlock_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T13:14:16+00:00,2026-09-04T13:15:18+00:00,True,orange juice,60.0,132.0,-0.45516645569255676,0.018127655102611964,0.17099937796592712,0.01060603801419133,0.6954315714573878,10.89604926109314,True,True,False,280,23,0.0,False,True,False,wrong_object_interaction_candidate,wrong_object_interaction_candidate,161,False,False,False,-1,,orange_juice_1,orange_juice_1,False,-1,,False,-1,,True,161,True,0.0,0.0,-1,-1,6.816769371198461e-14,"[[""in"", ""orange_juice_1"", ""basket_1_contain_region""]]",[0],1.2716631232106215,0.33238393723256515,6.3031182025285295,164720211.92352164,-0.5
invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init15_24|libero_object_temp__task9__init15__rollout0__query4,libero_object_temp__task9__init15__rollout0__query4,invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init15_24,x0.2,libero_object_temp,9,15,0,30701940,4,64,approach,pick the orange juice and place it in the basket,x0.2|task9|init15,False,False,False,False,False,kinematic_deadlock_candidate,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T13:15:24+00:00,2026-09-04T13:16:25+00:00,True,orange juice,67.0,140.0,-0.4157278560953461,0.05346348541158261,0.1526595652103424,0.012979107031218464,0.593968365707436,12.034313917160034,True,True,False,280,23,0.0,False,True,False,wrong_object_interaction_candidate,wrong_object_interaction_candidate,207,False,False,False,-1,,orange_juice_1,orange_juice_1,False,-1,,False,-1,,True,207,False,0.0,0.0,-1,-1,2.02000402516056e-10,"[[""in"", ""orange_juice_1"", ""basket_1_contain_region""]]",[0],1.4490693317874528,0.32995891219179574,7.442909553658384,132456894.2127289,-0.5
invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14|libero_object_temp__task4__init10__rollout1__query4,libero_object_temp__task4__init10__rollout1__query4,invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14,y0.2,libero_object_temp,4,10,1,30201067,4,64,approach,pick the ketchup and place it in the basket,y0.2|task4|init10,False,False,False,False,False,timeout_no_goal,280,perception_regrasp_h8,True,8,perception_regrasp,True,0.0,8,25,23,216,0,,2026-09-04T13:16:03+00:00,2026-09-04T13:17:05+00:00,True,ketchup,115.0,100.0,0.11131711404909372,-0.0816897868076373,0.20547789335250854,0.21235840070662976,0.2595012059027582,38.59451770782471,True,True,False,280,23,0.0,False,False,False,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,ketchup_1,ketchup_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,-1,0.0,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",[0],1.5013440421486894,0.2562339305708743,7.588510715586201,141834715.77968636,0.0
