row_uid,independent_group,position_level,task_id,learned_success,learned_failure_type,perception_object,perception_peak_probability,perception_entropy,perception_score_range,privileged_success,privileged_failure_type
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init10__rollout1__query4,x0.2|task5|init10,x0.2,5,False,timeout_no_goal,tomato sauce,0.03115624277681208,0.4141111804048982,29.866405963897705,False,target_drop_candidate
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init11__rollout0__query4,x0.2|task5|init11,x0.2,5,True,success,tomato sauce,0.05811482979275262,0.38173087229356406,28.142451286315918,True,success
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24|libero_object_temp__task5__init15__rollout0__query4,x0.2|task5|init15,x0.2,5,True,success,tomato sauce,0.058244216869593496,0.380877881811812,29.743422508239746,True,success
signed_vof_new_task_holdout_20260903__position_x0p2_task6_init5_14|libero_object_temp__task6__init11__rollout0__query4,x0.2|task6|init11,x0.2,6,True,success,butter,0.08189591910653247,0.3175644234752257,26.584924697875977,True,success
signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24|libero_object_temp__task6__init15__rollout1__query4,x0.2|task6|init15,x0.2,6,True,success,butter,0.07658614519791947,0.32699272281623143,24.77422523498535,True,success
signed_vof_new_task_holdout_20260903__position_x0p2_task6_init15_24|libero_object_temp__task6__init20__rollout0__query4,x0.2|task6|init20,x0.2,6,True,success,butter,0.060713447733550786,0.31633474738513334,26.13469886779785,True,success
invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14|libero_object_temp__task9__init11__rollout0__query4,x0.2|task9|init11,x0.2,9,False,kinematic_deadlock_candidate,orange juice,0.012851217750285237,0.6288987394079025,11.382184505462646,True,success
invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init5_14|libero_object_temp__task9__init12__rollout0__query4,x0.2|task9|init12,x0.2,9,False,wrong_object_interaction_candidate,orange juice,0.01060603801419133,0.6954315714573878,10.89604926109314,True,success
invariant_cate_reserve_holdout_20260903__position_x0p2_task9_init15_24|libero_object_temp__task9__init15__rollout0__query4,x0.2|task9|init15,x0.2,9,False,wrong_object_interaction_candidate,orange juice,0.012979107031218464,0.593968365707436,12.034313917160034,True,success
invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14|libero_object_temp__task4__init10__rollout1__query4,y0.2|task4|init10,y0.2,4,False,timeout_no_goal,ketchup,0.21235840070662976,0.2595012059027582,38.59451770782471,False,wrong_object_interaction_candidate
invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14|libero_object_temp__task4__init11__rollout1__query4,y0.2|task4|init11,y0.2,4,False,timeout_no_goal,ketchup,0.1338300695872952,0.28231562751208567,36.18297815322876,False,timeout_no_goal
invariant_cate_reserve_holdout_20260903__position_y0p2_task4_init5_14|libero_object_temp__task4__init12__rollout0__query4,y0.2|task4|init12,y0.2,4,False,wrong_object_interaction_candidate,ketchup,0.1135520976666521,0.291217357267795,32.728864669799805,False,timeout_no_goal
invariant_cate_reserve_holdout_20260903__position_y0p2_task6_init5_14|libero_object_temp__task6__init11__rollout0__query4,y0.2|task6|init11,y0.2,6,True,success,butter,0.09546128608974457,0.35080806306227963,36.78931665420532,True,success
invariant_cate_reserve_holdout_20260903__position_y0p2_task6_init15_24|libero_object_temp__task6__init17__rollout1__query4,y0.2|task6|init17,y0.2,6,True,success,butter,0.10021487290219147,0.34868050858203775,36.39247941970825,True,success
invariant_cate_reserve_holdout_20260903__position_y0p2_task9_init5_14|libero_object_temp__task9__init10__rollout0__query4,y0.2|task9|init10,y0.2,9,True,success,orange juice,0.1873763586318667,0.24987569793842843,60.7596378326416,True,success
invariant_cate_reserve_holdout_20260903__position_y0p2_task9_init5_14|libero_object_temp__task9__init11__rollout0__query4,y0.2|task9|init11,y0.2,9,False,kinematic_deadlock_candidate,orange juice,0.18874639011988886,0.2505419638439267,60.55783462524414,True,success
invariant_cate_reserve_holdout_20260903__position_y0p3_task1_init5_14|libero_object_temp__task1__init12__rollout1__query4,y0.3|task1|init12,y0.3,1,True,success,cream cheese,0.13191000100697758,0.29534656684607935,29.754948645830154,True,success
invariant_cate_reserve_holdout_20260903__position_y0p3_task1_init5_14|libero_object_temp__task1__init14__rollout0__query4,y0.3|task1|init14,y0.3,1,True,success,cream cheese,0.1391295037909064,0.28999120074148527,32.36589574813843,True,success
signed_vof_new_task_holdout_20260903__position_y0p3_task5_init5_14|libero_object_temp__task5__init11__rollout0__query4,y0.3|task5|init11,y0.3,5,True,success,tomato sauce,0.06789795459791291,0.35922183856454226,37.178728103637695,True,success
signed_vof_new_task_holdout_20260903__position_y0p3_task5_init5_14|libero_object_temp__task5__init12__rollout0__query4,y0.3|task5|init12,y0.3,5,False,wrong_object_interaction_candidate,tomato sauce,0.06975559740463921,0.3594989090155025,36.60804462432861,False,wrong_object_interaction_candidate
