case_id,independent_group,position_level,task_id,baseline_success,method_success,baseline_final_t,method_final_t,trigger_passed,intervention_applied,method,rescued,harmed
p3c_development__x0p2__task5__init27__rollout0,x0.2|task5|init27,x0.2,5,0,1,280,163,1,1,workspace_calibrated,1,0
p3c_development__x0p2__task5__init28__rollout0,x0.2|task5|init28,x0.2,5,1,1,265,162,1,1,workspace_calibrated,0,0
p3c_development__x0p2__task5__init29__rollout0,x0.2|task5|init29,x0.2,5,1,1,232,152,1,1,workspace_calibrated,0,0
p3c_development__x0p2__task5__init30__rollout0,x0.2|task5|init30,x0.2,5,0,1,280,157,1,1,workspace_calibrated,1,0
p3c_development__x0p2__task5__init31__rollout0,x0.2|task5|init31,x0.2,5,1,1,191,225,1,1,workspace_calibrated,0,0
p3c_development__x0p2__task6__init27__rollout0,x0.2|task6|init27,x0.2,6,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__x0p2__task6__init28__rollout0,x0.2|task6|init28,x0.2,6,1,1,202,202,0,0,workspace_calibrated,0,0
p3c_development__x0p2__task6__init29__rollout0,x0.2|task6|init29,x0.2,6,1,1,192,192,0,0,workspace_calibrated,0,0
p3c_development__x0p2__task6__init30__rollout0,x0.2|task6|init30,x0.2,6,1,1,197,197,0,0,workspace_calibrated,0,0
p3c_development__x0p2__task6__init31__rollout0,x0.2|task6|init31,x0.2,6,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__x0p2__task9__init27__rollout0,x0.2|task9|init27,x0.2,9,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__x0p2__task9__init28__rollout0,x0.2|task9|init28,x0.2,9,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__x0p2__task9__init29__rollout0,x0.2|task9|init29,x0.2,9,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__x0p2__task9__init30__rollout0,x0.2|task9|init30,x0.2,9,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__x0p2__task9__init31__rollout0,x0.2|task9|init31,x0.2,9,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__y0p2__task4__init27__rollout0,y0.2|task4|init27,y0.2,4,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__y0p2__task4__init28__rollout0,y0.2|task4|init28,y0.2,4,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__y0p2__task4__init29__rollout0,y0.2|task4|init29,y0.2,4,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__y0p2__task4__init30__rollout0,y0.2|task4|init30,y0.2,4,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__y0p2__task4__init31__rollout0,y0.2|task4|init31,y0.2,4,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_development__y0p2__task6__init27__rollout0,y0.2|task6|init27,y0.2,6,0,1,280,186,1,1,workspace_calibrated,1,0
p3c_development__y0p2__task6__init28__rollout0,y0.2|task6|init28,y0.2,6,0,1,280,185,1,1,workspace_calibrated,1,0
p3c_development__y0p2__task6__init29__rollout0,y0.2|task6|init29,y0.2,6,0,1,280,179,1,1,workspace_calibrated,1,0
p3c_development__y0p2__task6__init30__rollout0,y0.2|task6|init30,y0.2,6,1,1,234,186,1,1,workspace_calibrated,0,0
p3c_development__y0p2__task6__init31__rollout0,y0.2|task6|init31,y0.2,6,0,1,280,188,1,1,workspace_calibrated,1,0
p3c_development__y0p2__task9__init27__rollout0,y0.2|task9|init27,y0.2,9,0,1,280,166,1,1,workspace_calibrated,1,0
p3c_development__y0p2__task9__init28__rollout0,y0.2|task9|init28,y0.2,9,0,1,280,168,1,1,workspace_calibrated,1,0
p3c_development__y0p2__task9__init29__rollout0,y0.2|task9|init29,y0.2,9,0,1,280,167,1,1,workspace_calibrated,1,0
p3c_development__y0p2__task9__init30__rollout0,y0.2|task9|init30,y0.2,9,0,1,280,164,1,1,workspace_calibrated,1,0
p3c_development__y0p2__task9__init31__rollout0,y0.2|task9|init31,y0.2,9,0,1,280,165,1,1,workspace_calibrated,1,0
p3c_development__y0p3__task1__init27__rollout0,y0.3|task1|init27,y0.3,1,0,1,280,202,1,1,workspace_calibrated,1,0
p3c_development__y0p3__task1__init28__rollout0,y0.3|task1|init28,y0.3,1,0,1,280,201,1,1,workspace_calibrated,1,0
p3c_development__y0p3__task1__init29__rollout0,y0.3|task1|init29,y0.3,1,0,1,280,209,1,1,workspace_calibrated,1,0
p3c_development__y0p3__task1__init30__rollout0,y0.3|task1|init30,y0.3,1,0,1,280,200,1,1,workspace_calibrated,1,0
p3c_development__y0p3__task1__init31__rollout0,y0.3|task1|init31,y0.3,1,0,1,280,201,1,1,workspace_calibrated,1,0
p3c_development__y0p3__task5__init27__rollout0,y0.3|task5|init27,y0.3,5,0,1,280,182,1,1,workspace_calibrated,1,0
p3c_development__y0p3__task5__init28__rollout0,y0.3|task5|init28,y0.3,5,0,0,280,280,1,1,workspace_calibrated,0,0
p3c_development__y0p3__task5__init29__rollout0,y0.3|task5|init29,y0.3,5,0,0,280,280,1,1,workspace_calibrated,0,0
p3c_development__y0p3__task5__init30__rollout0,y0.3|task5|init30,y0.3,5,0,0,280,280,1,1,workspace_calibrated,0,0
p3c_development__y0p3__task5__init31__rollout0,y0.3|task5|init31,y0.3,5,0,1,280,220,1,1,workspace_calibrated,1,0
