case_id,split,suite,position_level,task_id,init_state_id,rollout_id,rollout_seed,independent_group,task_description,strategy,prefix_state_sha256,snapshot_replay_max_abs,primitive_steps,intervention_applied,counterfactual_reused,video_path,trigger_localization_object,trigger_localization_pixel_row,trigger_localization_pixel_col,trigger_localization_world_x,trigger_localization_world_y,trigger_localization_world_z,trigger_localization_peak_probability,trigger_localization_entropy,trigger_localization_score_range,trigger_passed,trigger_mode,terminal_available,terminal_success,terminal_final_t,terminal_continuation_queries,terminal_goal_progress_max,terminal_target_drop_candidate,terminal_wrong_object_interaction_candidate,terminal_official_safety_violation,terminal_failure_type,terminal_episode_failure_type,terminal_episode_failure_event_t,terminal_episode_safe_task_success,terminal_episode_safety_terminated,terminal_episode_official_safety_violation,terminal_episode_official_safety_violation_t,terminal_episode_official_safety_cost_types,terminal_episode_target_objects,terminal_episode_goal_relevant_objects,terminal_episode_target_drop_candidate,terminal_episode_target_drop_candidate_t,terminal_episode_target_drop_candidate_object,terminal_episode_successful_target_release,terminal_episode_successful_target_release_t,terminal_episode_successful_target_release_objects,terminal_episode_wrong_object_interaction_candidate,terminal_episode_wrong_object_interaction_candidate_t,terminal_episode_kinematic_deadlock_candidate,terminal_episode_episode_goal_progress_initial,terminal_episode_episode_goal_progress_max,terminal_episode_episode_time_to_first_goal_progress,terminal_episode_episode_time_to_first_target_lift,terminal_episode_episode_target_lift_max,terminal_episode_goal_predicates_json,terminal_episode_goal_predicates_satisfied_final_json,terminal_episode_episode_eef_path_length,terminal_episode_episode_eef_net_displacement,terminal_episode_episode_eef_jerk_mean,terminal_episode_episode_eef_dimensionless_jerk_proxy,terminal_utility_v1,trigger_finite_pass,trigger_confidence_pass,trigger_workspace_pass,trigger_miss_distance_pass,trigger_reach_pass,trigger_estimated_target_eef_distance_m,trigger_score_threshold,perception_localization_used,perception_object,perception_pixel_row,perception_pixel_col,perception_world_x,perception_world_y,perception_world_z,perception_peak_probability,perception_entropy,perception_score_range,perception_confidence_pass,perception_guard_mode,perception_guard_passed,perception_guard_finite_pass,perception_guard_confidence_pass,perception_guard_workspace_pass,perception_guard_miss_distance_pass,perception_guard_reach_pass,perception_guard_estimated_target_eef_distance_m,perception_guard_score_threshold,perception_guard_pass
p3c_screen__x0p2__task5__init25__rollout0,screen,libero_object_temp,x0.2,5,25,0,48189255,x0.2|task5|init25,pick up the tomato sauce and place it in the basket,baseline_h8,eedd8791be834b1a112d7a130f3a43c2fd08c293f6ece9b2e025bbf62e9b05bb,0.0,0,0,0,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.09355263649986935,0.33454156771740207,37.28756809234619,0,baseline,True,1,271,25,1.0,0,0,0,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,271,174,0.185343240042537,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.6678190129490518,0.24680773204654818,4.71796520583923,158030554.6279404,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3c_screen__x0p2__task5__init25__rollout0,screen,libero_object_temp,x0.2,5,25,0,48189255,x0.2|task5|init25,pick up the tomato sauce and place it in the basket,workspace_calibrated,eedd8791be834b1a112d7a130f3a43c2fd08c293f6ece9b2e025bbf62e9b05bb,0.0,25,1,0,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.09355263649986935,0.33454156771740207,37.28756809234619,1,workspace_calibrated,True,1,162,9,1.0,0,0,0,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,162,96,0.17889701450921444,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.2473995022574011,0.2979438237001602,6.348896781298414,26743976.879859682,3.0,True,True,True,True,True,0.15491779394298133,14.163268327713011,True,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.09050547093544899,0.3341547580866652,36.31908893585205,True,workspace_calibrated,True,True,True,True,True,True,0.17141576699073785,14.163268327713011,True
p3c_screen__x0p2__task5__init25__rollout0,screen,libero_object_temp,x0.2,5,25,0,48189255,x0.2|task5|init25,pick up the tomato sauce and place it in the basket,global_conservative,eedd8791be834b1a112d7a130f3a43c2fd08c293f6ece9b2e025bbf62e9b05bb,0.0,0,0,1,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.09355263649986935,0.33454156771740207,37.28756809234619,0,global_conservative,True,1,271,25,1.0,0,0,0,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,271,174,0.185343240042537,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.6678190129490518,0.24680773204654818,4.71796520583923,158030554.6279404,3.0,True,False,True,True,True,0.15491779394298133,39.579209327697754,,,,,,,,,,,,,,,,,,,,,
p3c_screen__x0p2__task5__init25__rollout1,screen,libero_object_temp,x0.2,5,25,1,40673457,x0.2|task5|init25,pick up the tomato sauce and place it in the basket,baseline_h8,1158b6a9975f90efc25300fa4c691b0caea128c24ccf8129530f3a3633b5d063,0.0,0,0,0,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.09274468144074645,0.3354931812647032,37.7097864151001,0,baseline,True,0,280,26,0.0,0,0,0,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,173,0.1785634272550097,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],1.678435868834605,0.2531481626576617,4.790642907486096,188784486.9333596,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3c_screen__x0p2__task5__init25__rollout1,screen,libero_object_temp,x0.2,5,25,1,40673457,x0.2|task5|init25,pick up the tomato sauce and place it in the basket,workspace_calibrated,1158b6a9975f90efc25300fa4c691b0caea128c24ccf8129530f3a3633b5d063,0.0,25,1,0,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.09274468144074645,0.3354931812647032,37.7097864151001,1,workspace_calibrated,True,1,162,9,1.0,0,0,0,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,162,96,0.17909210211695697,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.255727301597023,0.298162221363261,6.520636207302007,30068282.338224147,3.0,True,True,True,True,True,0.15825056857732794,14.163268327713011,True,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.08091941249727971,0.34692378326468803,33.94488048553467,True,workspace_calibrated,True,True,True,True,True,True,0.17527260347378357,14.163268327713011,True
p3c_screen__x0p2__task5__init25__rollout1,screen,libero_object_temp,x0.2,5,25,1,40673457,x0.2|task5|init25,pick up the tomato sauce and place it in the basket,global_conservative,1158b6a9975f90efc25300fa4c691b0caea128c24ccf8129530f3a3633b5d063,0.0,0,0,1,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.09274468144074645,0.3354931812647032,37.7097864151001,0,global_conservative,True,0,280,26,0.0,0,0,0,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,173,0.1785634272550097,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],1.678435868834605,0.2531481626576617,4.790642907486096,188784486.9333596,0.0,True,False,True,True,True,0.15825056857732794,39.579209327697754,,,,,,,,,,,,,,,,,,,,,
p3c_screen__x0p2__task5__init26__rollout0,screen,libero_object_temp,x0.2,5,26,0,48956610,x0.2|task5|init26,pick up the tomato sauce and place it in the basket,baseline_h8,f4ee81f437a11a061d7fad7e3a7731d82f114e48dfeec4ccb5b73297e5e41ccf,0.0,0,0,0,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.10007590630570784,0.32876540756538497,38.24383068084717,0,baseline,True,1,244,22,1.0,0,0,0,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,244,174,0.1875512593155007,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.6772424470438834,0.29924176771858874,5.013882359913448,108940170.68935356,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3c_screen__x0p2__task5__init26__rollout0,screen,libero_object_temp,x0.2,5,26,0,48956610,x0.2|task5|init26,pick up the tomato sauce and place it in the basket,workspace_calibrated,f4ee81f437a11a061d7fad7e3a7731d82f114e48dfeec4ccb5b73297e5e41ccf,0.0,25,1,0,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.10007590630570784,0.32876540756538497,38.24383068084717,1,workspace_calibrated,True,1,154,8,1.0,0,0,0,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,154,96,0.18946973411082113,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.2541208512546584,0.31033050300761034,6.498548495825039,21474771.91658123,3.0,True,True,True,True,True,0.15552010282759446,14.163268327713011,True,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.08243954726455194,0.34569075152704687,33.84064483642578,True,workspace_calibrated,True,True,True,True,True,True,0.17224274119421035,14.163268327713011,True
p3c_screen__x0p2__task5__init26__rollout0,screen,libero_object_temp,x0.2,5,26,0,48956610,x0.2|task5|init26,pick up the tomato sauce and place it in the basket,global_conservative,f4ee81f437a11a061d7fad7e3a7731d82f114e48dfeec4ccb5b73297e5e41ccf,0.0,0,0,1,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.10007590630570784,0.32876540756538497,38.24383068084717,0,global_conservative,True,1,244,22,1.0,0,0,0,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,244,174,0.1875512593155007,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.6772424470438834,0.29924176771858874,5.013882359913448,108940170.68935356,3.0,True,False,True,True,True,0.15552010282759446,39.579209327697754,,,,,,,,,,,,,,,,,,,,,
p3c_screen__x0p2__task5__init26__rollout1,screen,libero_object_temp,x0.2,5,26,1,45424364,x0.2|task5|init26,pick up the tomato sauce and place it in the basket,baseline_h8,e5bc3b8217784d8cbe297da30fdb8f9ded607564f22c126d783408e13c85ea8d,0.0,0,0,0,,tomato sauce,124.0,100.0,-0.11407193179276764,-0.10702925776388418,0.03839259594678879,0.09042201854494007,0.3359640084828219,39.91764831542969,0,baseline,True,1,250,23,1.0,0,0,0,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,250,181,0.18684560506908895,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.7009467935343872,0.30033441968818075,5.216027486702941,111937725.55789207,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
