case_id,independent_group,position_level,task_id,baseline_success,method_success,baseline_final_t,method_final_t,trigger_passed,intervention_applied,method,rescued,harmed
p3c_screen__x0p2__task5__init25__rollout0,x0.2|task5|init25,x0.2,5,1,1,271,162,1,1,workspace_calibrated,0,0
p3c_screen__x0p2__task5__init25__rollout1,x0.2|task5|init25,x0.2,5,0,1,280,162,1,1,workspace_calibrated,1,0
p3c_screen__x0p2__task5__init26__rollout0,x0.2|task5|init26,x0.2,5,1,1,244,154,1,1,workspace_calibrated,0,0
p3c_screen__x0p2__task5__init26__rollout1,x0.2|task5|init26,x0.2,5,1,1,250,154,1,1,workspace_calibrated,0,0
p3c_screen__y0p2__task4__init25__rollout0,y0.2|task4|init25,y0.2,4,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_screen__y0p2__task4__init25__rollout1,y0.2|task4|init25,y0.2,4,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_screen__y0p2__task4__init26__rollout0,y0.2|task4|init26,y0.2,4,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_screen__y0p2__task4__init26__rollout1,y0.2|task4|init26,y0.2,4,0,0,280,280,0,0,workspace_calibrated,0,0
p3c_screen__y0p2__task6__init25__rollout0,y0.2|task6|init25,y0.2,6,1,1,245,187,1,1,workspace_calibrated,0,0
p3c_screen__y0p2__task6__init25__rollout1,y0.2|task6|init25,y0.2,6,0,1,280,186,1,1,workspace_calibrated,1,0
p3c_screen__y0p2__task6__init26__rollout0,y0.2|task6|init26,y0.2,6,0,1,280,187,1,1,workspace_calibrated,1,0
p3c_screen__y0p2__task6__init26__rollout1,y0.2|task6|init26,y0.2,6,0,1,280,185,1,1,workspace_calibrated,1,0
p3c_screen__x0p2__task5__init25__rollout0,x0.2|task5|init25,x0.2,5,1,1,271,271,0,0,global_conservative,0,0
p3c_screen__x0p2__task5__init25__rollout1,x0.2|task5|init25,x0.2,5,0,0,280,280,0,0,global_conservative,0,0
p3c_screen__x0p2__task5__init26__rollout0,x0.2|task5|init26,x0.2,5,1,1,244,244,0,0,global_conservative,0,0
p3c_screen__x0p2__task5__init26__rollout1,x0.2|task5|init26,x0.2,5,1,1,250,154,1,1,global_conservative,0,0
p3c_screen__y0p2__task4__init25__rollout0,y0.2|task4|init25,y0.2,4,0,0,280,280,0,0,global_conservative,0,0
p3c_screen__y0p2__task4__init25__rollout1,y0.2|task4|init25,y0.2,4,0,0,280,280,0,0,global_conservative,0,0
p3c_screen__y0p2__task4__init26__rollout0,y0.2|task4|init26,y0.2,4,0,0,280,280,0,0,global_conservative,0,0
p3c_screen__y0p2__task4__init26__rollout1,y0.2|task4|init26,y0.2,4,0,0,280,280,0,0,global_conservative,0,0
p3c_screen__y0p2__task6__init25__rollout0,y0.2|task6|init25,y0.2,6,1,1,245,245,0,0,global_conservative,0,0
p3c_screen__y0p2__task6__init25__rollout1,y0.2|task6|init25,y0.2,6,0,0,280,280,0,0,global_conservative,0,0
p3c_screen__y0p2__task6__init26__rollout0,y0.2|task6|init26,y0.2,6,0,0,280,280,0,0,global_conservative,0,0
p3c_screen__y0p2__task6__init26__rollout1,y0.2|task6|init26,y0.2,6,0,0,280,280,0,0,global_conservative,0,0
